nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000228971.2,-0.326812963367764,-3.19394013353747,-0.00530381550512747,0.360760522414457,5.42564866836968e-12,0.951536995886636,0.951565194220624,0,0.905170767012221
ENSG00000188641.12,0.177545857459666,-6.20620460694759,-0.0252318395837066,0.0107338975048811,2.73868910686662e-35,0.11633028547346,0.117024347626806,0,0.745098555025846
ENSG00000162627.16,-0.326798296118492,-9.57955535479534,0.116270163788686,0.158974974332293,0.785018991322843,0.0397852101002937,0.0556004088442895,0,0.688579125924002
ENSG00000099260.10,-0.161014307118688,-5.77535544116153,0.00542975526017219,0.0276003016723956,1.79103773399465e-48,0.762537549279386,0.762616754144346,0,0.885518073577871
ENSG00000162688.16,0.106519726534275,-6.32494048301843,-0.00273431264914704,0.0561704951286644,9.78780519220581e-32,0.84101485586885,0.841438906633686,0,0.892123502862798
ENSG00000117620.14,0.128432519807255,-6.60035297760365,-0.00202204367169298,0.0726748712476581,2.16022150658174e-12,0.906573037588728,0.906951595423882,0,0.898401664743949
ENSG00000156875.13,0.138007333643179,-6.94548976544819,-0.0152953495244962,0.0224420321716746,6.04729283703113e-11,0.282174216257226,0.283437429624658,0,0.818359822049215
ENSG00000137992.14,-0.180915910207915,NA,0.0229346686607169,0.120464277109504,NA,0.423426275409328,0.423342254426918,1,0.857788674618478
ENSG00000137996.12,0.499477288599031,-4.99879656838916,-0.0225437026947235,1.76453321186845e-08,2.49019817476487e-60,0.29098371357817,0.29263087265814,0,0.819827928409133
ENSG00000181656.6,0.763474547743004,NA,-0.0631446212560155,0.19119186075234,NA,0.620830558968853,0.619642458303311,1,0.875419665772001
ENSG00000162692.10,-0.195799715373364,-3.5139773260287,-0.00821829441689157,0.476198774400276,1.4301489881542e-33,0.894234992739878,0.893923900280571,0,0.897368141025682
ENSG00000162694.13,0.226042012490347,-5.62280018243979,-0.00977707999548941,0.209835026371909,1.96952619842378e-07,0.817173141569347,0.817009140797109,0,0.891715520887278
ENSG00000225938.1,0.0927240271045799,-5.50422063145048,0.0185169150291531,0.52309039762781,8.38355529798884e-06,0.585332026967857,0.586110154433671,0,0.869766113966501
ENSG00000170989.8,0.182556300594294,-5.79765891918005,-0.0192678990553293,0.00368966384059897,2.69280944866692e-91,0.194864332408202,0.197620704022211,0,0.794387977445911
ENSG00000185946.15,0.00719056901872724,-6.1282301049048,0.0244283005023348,0.951783707749627,1.12067648910499e-10,0.376775236348694,0.378409209621433,0,0.848892506285052
ENSG00000198890.7,0.0151671596208743,NA,-0.0229703646562786,0.941379452604471,NA,0.634880290352833,0.634886464426217,1,0.877108459672853
ENSG00000215912.12,-0.692613239242602,-5.03948054660309,0.126711930613763,0.0323886333277973,0.0160548981196037,0.0945282946535081,0.0950699439211175,0,0.734348279770783
ENSG00000085491.15,0.309949399992277,-4.88995772867656,-0.0346570914949367,0.00101067695587673,3.17125849088528e-64,0.119977865000454,0.121314444631438,0,0.745098555025846
ENSG00000116266.10,0.0497851659111139,-6.9823501265565,0.00298405149848318,0.474049713139606,1.37699053375335e-14,0.85093542264595,0.851075242805053,0,0.892123502862798
ENSG00000121957.12,0.0617216758079646,-5.92234681395261,0.00807593742531124,0.530593576339782,3.72273256778945e-10,0.721940742563919,0.722019432216383,0,0.879876158433468
ENSG00000085433.15,-0.16105139125916,-4.91741724983244,0.0682581245168959,0.247340533481455,1.97341852087862e-19,0.0368912618775699,0.0402867787635609,0,0.662108119417401
ENSG00000197780.9,-0.0921371151326746,-9.07315634211262,-0.00119553275854303,0.131701961231632,0.216387779994584,0.931588924142336,0.93203187283118,0,0.903181256865803
ENSG00000143126.7,-0.242223304044608,-4.34468383750637,0.0206581441112958,0.101695380478824,3.70977960026136e-31,0.55131049679565,0.5515810821635,0,0.861263145052609
ENSG00000134222.16,0.459324103719066,-4.05016308216265,-0.189558623384544,0.260454877994804,3.3305301734306e-05,0.0397502651587529,0.0485520050838295,0,0.678060666203853
ENSG00000134243.11,0.128219563500795,-7.79325347905618,-0.0116148254930628,9.30317126844651e-05,1.4144104224821e-18,0.143103643563651,0.147129463680296,0,0.77983692041043
ENSG00000143028.8,0.767062693083287,-4.5116287677618,-0.0893495037289882,0.0866905103717848,0.000791860577685806,0.415951757180124,0.424326677530738,0,0.857788674618478
ENSG00000174151.14,0.41742982448277,-6.76075500628732,-0.0544215397627886,7.73618342316118e-05,0.0206123307780737,0.0319025710686917,0.0341996229535795,0,0.662108119417401
ENSG00000181754.6,-0.724265253941817,-4.27904376903194,0.0435739397818758,6.50842853028257e-08,5.36670511787251e-36,0.175034818261436,0.176068037781953,0,0.79253287706429
ENSG00000168765.16,0.424699236949657,-3.28046931878121,-0.0275099590510085,0.0171081305349273,1.22540711333325e-58,0.524621192870439,0.525550461491953,0,0.857788674618478
ENSG00000213366.12,0.433089986091534,-4.11759597152073,-0.0354048040272523,6.95345894165245e-09,0,0.0460123885753093,0.0463984718209572,0,0.678060666203853
ENSG00000130762.14,0.443756593749221,-4.37589068067495,-0.0360653930952125,0.000542492559873552,5.9849565150497e-57,0.238554331337217,0.239244562506525,0,0.807979665511492
ENSG00000134201.10,1.04804755868226,-2.59580390455094,-0.077049792015287,2.36627021627839e-05,7.05779828483192e-54,0.184258646425991,0.185247448333922,0,0.79253287706429
ENSG00000134202.10,-0.779185347795811,-3.29768542443914,0.0509466884849985,1.47366721609883e-10,1.15284669001678e-159,0.073573831506046,0.0728780040480165,0,0.716238904996871
ENSG00000184371.13,0.195751963906086,-5.85245584874099,-0.00499988206683369,0.000784097354728106,3.66728711724352e-166,0.708045465807346,0.708412588716885,0,0.879876158433468
ENSG00000116396.14,-0.346226555799546,-4.9230324048111,0.0291670284350888,2.37559190839006e-05,9.48263583786941e-73,0.128146975451919,0.129975157744106,0,0.751259803718583
ENSG00000162591.15,-0.0363626343041345,-4.09019078637349,0.0488033762421618,0.706430686862014,3.49241179098711e-190,0.0344322610648937,0.036381228490091,0,0.662108119417401
ENSG00000134248.13,0.115224192568072,-6.06542169443003,-0.00450737030414108,0.0819764170003636,1.48725427506268e-36,0.772484400570641,0.773066820532192,0,0.887803309011532
ENSG00000143125.5,0.405259650561299,-3.30199653304539,0.0149560279370834,0.0996875714894241,1.99603159620733e-28,0.806019105054406,0.806476457527798,0,0.891393459101624
ENSG00000177301.14,0.791294835075989,-3.14379616629582,0.0228716157396004,0.0274459010926429,2.11302521824289e-17,0.792771952007842,0.796665955135219,0,0.889377405491262
ENSG00000143119.12,0.140735715279474,-5.5696107244193,-0.0126708094884791,0.0258547308063288,6.92798952150711e-85,0.394449924023358,0.394512672112546,0,0.849794328745489
ENSG00000156171.14,-0.478553030713366,-3.0389800165287,-0.0115108603141753,0.00843639385495145,2.78676956124103e-76,0.786297376742163,0.788139650611731,0,0.889116990817689
ENSG00000134255.13,-0.0912848266786049,-6.90936146098958,0.00531130667180515,0.167894720413645,2.75802731776662e-10,0.732428913156578,0.732469881549943,0,0.881802534428919
ENSG00000162777.16,0.211599914662349,-4.20005907889212,-0.0162584927451809,0.0942385413098445,1.40806901847474e-53,0.585314555675621,0.584938573414317,0,0.869506622722926
ENSG00000064886.13,0.235099521068597,-1.86467921736731,0.0353595606244557,0.438641274288698,4.02559194286522e-35,0.615409394358342,0.61539588193149,0,0.875302056099284
ENSG00000085465.12,0.124978892032632,-6.56018793731672,0.0153559713876819,0.110092917339807,3.45110485758654e-12,0.394724168519533,0.395147962988462,0,0.850142877678116
ENSG00000260948.1,0.573868385658153,-3.76295469869409,-0.0507277610169801,0.0290266936551253,1.05737878971575e-16,0.396687976227376,0.398823746713819,0,0.850922460183768
ENSG00000158109.14,-0.147796706171688,-6.13338708770478,0.00437097943387674,0.132051682000969,2.33070011763279e-18,0.847558845332,0.847770810023796,0,0.892123502862798
ENSG00000116455.13,-0.158452117648759,-6.31974762430885,0.011310114665252,0.177521271268237,2.27213489776457e-07,0.686891923484094,0.686950259584561,0,0.879876158433468
ENSG00000143110.11,0.183543422509098,-5.7028838868532,-0.0185208807566391,0.000376981349633726,1.52316653618781e-119,0.140059268185144,0.140022503448332,0,0.773113541997466
ENSG00000121933.18,0.95259470161444,-3.79412462309139,-0.0851250906773106,1.90422336491315e-06,2.73995444194955e-30,0.0811375368654807,0.0815458168634896,0,0.719421209288111
ENSG00000282608.1,-0.104820163632421,-5.11459450889009,-0.0289929356286799,0.316083671895638,2.50621974552924e-35,0.251697317802091,0.252210693711433,0,0.813046458203864
ENSG00000116473.14,0.214280993181632,-5.23782131704217,-0.0264041885799511,0.0134549304371454,9.97976748518498e-72,0.194643985704816,0.200074526472304,0,0.796698802795539
ENSG00000116213.15,-0.225955771266534,-5.2373129417982,0.00233478695870165,0.0425436293065368,2.7941812654673e-25,0.928616204402439,0.928598691916602,0,0.902491689813699
ENSG00000064703.11,-0.0601677058458875,-7.29090090190256,-0.0109805809983334,0.419139237991211,5.03321726448629e-05,0.549234116521327,0.549600465054417,0,0.861263145052609
ENSG00000231246.1,-0.619141710477044,-3.30434740607903,0.0738661723149337,0.149991526689231,5.40708577547661e-07,0.457200566383421,0.461087199265081,0,0.857788674618478
ENSG00000143079.14,0.13919763867537,-8.81687857665999,-0.00103692186490047,0.0682034737745088,0.186159476305769,0.952425950764114,0.952495988749962,0,0.905170767012221
ENSG00000134245.17,0.122411128353407,-7.53757155766154,0.0188503308966295,0.462092720360239,0.271542856775315,0.616650657588871,0.61675431564886,0,0.875419665772001
ENSG00000007341.18,0.346402678031081,-3.96420483006398,-0.00985348885608445,0.0179497766832921,4.04362630506829e-35,0.775106584463084,0.774970522473935,0,0.887803309011532
ENSG00000116489.12,-0.00586278543119533,-4.32610324315523,-0.0274730318197051,0.952851927267998,1.46703784003351e-123,0.2411537428082,0.241956293896374,0,0.808575048409744
ENSG00000227372.11,-0.168322327016834,-6.64598271853346,0.0270895416197751,0.016050716395514,9.26371314680571e-21,0.101970098257544,0.103791735595572,0,0.743015080732511
ENSG00000155380.11,-0.0291760176959776,-4.32480845392907,0.0102294716362222,0.789547042955492,2.01262555796142e-62,0.696846749959964,0.69758127391181,0,0.879876158433468
ENSG00000134262.12,0.0688085373798136,-5.58101041523035,0.0156116035491695,0.530871501732953,6.72372852326062e-19,0.537777106107728,0.537806340210371,0,0.858478180496741
ENSG00000163349.21,0.0674876171249603,-7.65468318490321,0.00102288208218348,0.203444339263042,5.89525552833394e-08,0.934346671681607,0.934403039227751,0,0.903493398300774
ENSG00000116774.11,-0.286566063934021,-7.033516731724,0.0244345606944153,0.000668253944412218,6.96530373590406e-17,0.207098312969973,0.207935440715062,0,0.800466677952592
ENSG00000197323.11,0.0899757565237988,-6.67852910897572,0.0119245510906803,0.363829165959813,2.2386834596192e-09,0.596475224429465,0.596428908941613,0,0.873645476677092
ENSG00000130764.9,0.087055604668653,NA,-0.000334175339418932,0.0136950434141653,NA,0.968062356847557,0.968062304836791,1,0.906440696682217
ENSG00000213281.4,-0.134426838562545,-6.28491810286777,0.00377050222883821,0.229797273286927,0.00029567938748559,0.891847477254909,0.892220417274234,0,0.897329155443216
ENSG00000009307.15,-0.19955806361578,-5.98651771219849,0.0155797793014152,0.0129508620583231,1.39105809066477e-66,0.400179441824585,0.402755159688376,0,0.851371324654283
ENSG00000134198.9,-0.295255262241056,-7.11422660290954,0.14694483540045,0.278196077767502,0.127161398403475,0.0278141125314074,0.033477054646696,0,0.662108119417401
ENSG00000228035.1,-0.402999471548008,NA,0.0310931825375084,0.388969359088162,NA,0.764883304450849,0.764770336881218,1,0.886082565031913
ENSG00000173218.14,0.220780647334964,-5.21508091155023,0.0199635631384933,0.0970704529115343,1.47436846343256e-15,0.542004397873792,0.543305207888848,0,0.858783748820019
ENSG00000118729.11,0.270733456151401,-4.95769686897258,-0.0369325015305626,0.000341430131182546,8.11495133997516e-110,0.0379289041323226,0.0391264055597449,0,0.662108119417401
ENSG00000163393.12,-0.475122542644258,-4.81992794365391,0.0574040673067932,0.00215195124120345,5.64592047967085e-18,0.114173222597211,0.115377101348785,0,0.745098555025846
ENSG00000134247.9,0.0974879504578559,-6.61245305645683,-0.0100767722869393,0.0602359554454582,3.24502641170292e-63,0.40063302879028,0.40115070975586,0,0.851023725216013
ENSG00000116198.12,0.115854697865428,-5.54244819528954,0.0159153247537599,0.0846855584804327,2.38778296807887e-61,0.321568654226502,0.321514473517952,0,0.829169234518065
ENSG00000116830.11,-0.372724552946132,-4.24392574478451,0.0442783873615064,0.210682256672623,9.64037982692898e-11,0.533778966309421,0.540264074827269,0,0.858478180496741
ENSG00000198162.12,0.0564295202163077,-6.11796597447082,-0.00166300983007393,0.232125110617353,1.66218672230067e-87,0.882559790261634,0.882555672776849,0,0.895551932315475
ENSG00000092607.13,-0.267811721959136,-5.38074500982159,0.0313388743266282,0.00149161407643624,7.54651844233999e-52,0.122923885686332,0.127177156615203,0,0.748433183007094
ENSG00000116874.11,0.885623296069274,-4.58296578334671,-0.021415499092721,1.43296901770146e-14,1.27164826931852e-58,0.419993398176562,0.418738717659762,0,0.857788674618478
ENSG00000231365.5,0.620114176572249,-6.71898393086076,-0.0239002826895322,9.12529160759604e-13,2.58050181920186e-05,0.239974599304614,0.242416372675155,0,0.808575048409744
ENSG00000143067.4,0.170954449125069,-6.32681078371158,-0.0136030125695208,0.000176825675072135,3.32877325498968e-68,0.208458444333578,0.208862841609789,0,0.800466677952592
ENSG00000092621.11,0.177468867808454,-4.74417647271952,-0.00998338252482551,0.137812763029391,6.42986455780927e-43,0.719311109016616,0.720638948318317,0,0.879876158433468
ENSG00000134250.19,0.00162573944712088,-7.48600814820458,0.0108479590244239,0.961628191633676,6.09197161164024e-79,0.162141087995331,0.163256659239802,0,0.788161722607991
ENSG00000265808.3,-0.0597825950486278,-6.32358951346448,0.0540645618677167,0.615813436135311,6.62054636560829e-05,0.0621583876789902,0.0622954991262504,0,0.688579125924002
ENSG00000198912.10,-0.228825617610783,-4.95803859554972,-0.0384362280151617,0.0120068263932317,4.17428793252749e-64,0.0679244961809845,0.0701630559116359,0,0.704156853064351
ENSG00000270392.2,-0.701719678188475,-6.92891130252595,0.021772021666798,0.00348913111650145,0.440887260806619,0.695945755129017,0.697013073711412,0,0.879876158433468
ENSG00000270231.3,-0.361062751957973,-3.89259917306656,-0.0390381475325976,1.5954864389757e-05,2.50655533116687e-243,0.0488490207688687,0.0502510468450874,0,0.688579125924002
ENSG00000275131.2,-0.327530146721354,-4.74295253695611,-0.00927043906841097,0.00404243913214343,1.86146120264648e-59,0.732959352475653,0.73375586306293,0,0.881963099959305
ENSG00000171943.11,-0.402510928113935,-8.37276315859244,-0.00110050305591729,0.000390070665115295,0.519215265199754,0.966604509423458,0.966950663073034,0,0.906245197511445
ENSG00000266338.6,0.337653539767797,-1.84238318198204,0.0915817707237585,0.549162044079641,5.18458452178456e-19,0.479632607938884,0.48697382776942,0,0.857788674618478
ENSG00000227212.3,-2.53688810376697,-0.586874446801869,0.729030971212965,0.140675492082299,0.152842700649963,0.0633155554907532,0.0476559893194225,0,0.678060666203853
ENSG00000131697.17,0.0375376384379141,-4.71807392437028,0.0361097055930527,0.676518877166115,6.89635077691863e-79,0.0852901228569,0.0870980426741989,0,0.719421209288111
ENSG00000186141.8,0.354018623189631,-4.14091924806232,-0.108876771760346,0.280444827823821,5.11171498865853e-09,0.204158439408241,0.203130129936415,0,0.800466677952592
ENSG00000198483.12,0.0557585717740463,-6.31686870217539,0.00941921074618877,0.573678095521378,5.65085625633389e-06,0.686480357661011,0.686824884492678,0,0.879876158433468
ENSG00000069424.14,0.123462962959245,-6.25671838509007,-0.00825990976336077,0.00345248891364308,2.12465401454247e-150,0.399109105042991,0.40264685091005,0,0.851371324654283
ENSG00000265972.5,0.0819237734328657,-7.72483069739068,-0.00427925943128196,0.000119194436229631,0,0.39172850330503,0.39224751513997,0,0.849774742869621
ENSG00000264343.5,0.113688112250056,-1.9642870847123,-0.0592707893486554,0.763711025501117,1.59817619715055e-20,0.531106290221426,0.530738825346011,0,0.857788674618478
ENSG00000131791.7,0.033335738482927,-5.58723006782705,0.0149661022208704,0.554449858138169,5.51135251743906e-144,0.252947236842026,0.253578368598917,0,0.813187835243674
ENSG00000237188.3,-1.00068001740281,NA,0.193358318678042,0.030769416855477,NA,0.0871333198039105,0.0854945748411906,1,0.719421209288111
ENSG00000131778.18,0.160033515664418,-5.8506095658691,-0.0126405044482046,0.0079336825363256,3.2353754448177e-68,0.357662165676946,0.357631272811272,0,0.839728232135309
ENSG00000278811.4,-0.292595739370426,NA,-0.037511008073021,0.391945280830261,NA,0.625057120525909,0.625406770513567,1,0.875419665772001
ENSG00000116128.10,-0.171365940709049,-5.72890138924534,0.0321837270058923,0.333619646796519,5.22784276744271e-05,0.438894209821605,0.441504983579234,0,0.857788674618478
ENSG00000162836.11,-0.339705360430819,-4.20974301014402,0.0088510006421318,0.00128159845328578,1.63925768269351e-69,0.721677139288064,0.721959395169775,0,0.879876158433468
ENSG00000265107.2,0.202597268071339,-6.16541694157878,-0.02449507923605,0.00861213819653842,3.85230210471077e-17,0.183532603647981,0.190049053671533,0,0.79253287706429
ENSG00000263956.6,0.0739049873090382,-2.59332116836522,0.0472378636645628,0.716478598389516,2.74480235442835e-72,0.335239535943008,0.335592295655296,0,0.833257804214109
ENSG00000274020.2,0.874638741228752,-5.47438006863793,-0.155989911761189,0.00850557462415405,0.0347172966276179,0.0524836695972502,0.06089494026218,0,0.688579125924002
ENSG00000231551.8,0.705456303645128,-4.42807691418871,-0.100796951254906,0.00402555470867363,4.61988214701206e-08,0.0758927692138512,0.0762512422928041,0,0.719421209288111
ENSG00000178104.19,-0.204215060738444,-3.82133240288696,0.0162254179739969,0.038757943589651,7.15034403595731e-157,0.493699705524427,0.494341416996332,0,0.857788674618478
ENSG00000269713.7,0.648742175859718,-3.00134385428855,-0.072059082969853,4.44460146049029e-05,3.90098455094593e-98,0.0532210480324435,0.0543763201251026,0,0.688579125924002
ENSG00000274265.4,0.610133992372332,-1.51228644238319,-0.0286521508558096,0.293744399658574,2.22180457458846e-10,0.838942580022579,0.840069552453005,0,0.892123502862798
ENSG00000215861.5,0.868102857975633,-3.70146055590076,-0.0177857950751864,6.37313440230584e-05,7.26367515687407e-33,0.734498212858989,0.735767798475612,0,0.882666084840962
ENSG00000271383.6,0.116728509832918,-5.79659026176856,0.0331413960934378,0.378872068609498,1.0505866262462e-30,0.277469126379889,0.283626144222162,0,0.818359822049215
ENSG00000261716.1,0.254394307228994,-3.38149697747743,-0.00025796576379298,0.490564206912928,5.34280095062722e-13,0.997596073571292,0.997590640358277,0,0.909042640402263
ENSG00000178096.8,0.181537724851744,NA,-0.00867369523125386,0.367274951343851,NA,0.85217672439395,0.852159806302889,1,0.892123502862798
ENSG00000158286.12,0.319734972242947,-3.61193836790977,0.0283838337381927,0.15671110235657,8.45465029657295e-31,0.58690997213199,0.590348925744419,0,0.872052407610862
ENSG00000014914.20,-0.133015436106337,-5.01784145891058,-0.0166268208983019,0.216435755609909,1.0324570479578e-32,0.513377558175973,0.513631013768777,0,0.857788674618478
ENSG00000023902.13,0.0900601232258182,NA,0.01465265899565,0.539893816189829,NA,0.687498312328011,0.687503733571064,1,0.879876158433468
ENSG00000117362.12,0.0445059340871461,NA,0.00674107559968424,0.476658389994111,NA,0.650187262619226,0.650194658108177,1,0.877440662080235
ENSG00000116237.15,0.484369196559938,-4.05024852652585,-0.0195692474329645,0.00287421658972679,8.42110493293714e-82,0.603960469943105,0.601977821150766,0,0.874427542402303
ENSG00000266472.5,-0.170067155333009,-4.07408607024962,0.0769544612371622,0.227387437091645,6.30179578515183e-67,0.0214926533533605,0.0229884910070053,0,0.640180878840825
ENSG00000163125.15,-0.0318927311590011,NA,0.0238358743483734,0.547823927469931,NA,0.0570322606990782,0.0570328438827897,1,0.688579125924002
ENSG00000143369.14,-0.0902141478691682,-5.62378247502774,0.00945324636381702,0.0499841182970522,1.05003626390809e-281,0.383305090177422,0.384398253701939,0,0.848892506285052
ENSG00000237781.3,-0.440388426130533,NA,0.07520322566611,0.0529080995193965,NA,0.157757049681522,0.157152168960481,1,0.779980535383862
ENSG00000143382.14,0.0681754519501282,-6.21404208319464,0.00542554940713445,0.156420562528153,7.55862091017996e-92,0.642846875967997,0.64289561485683,0,0.877353961460583
ENSG00000143384.12,0.0483009770661019,-8.30121100916458,0.00580195200577841,0.177906051579886,5.97537930929544e-15,0.500065428504481,0.5033147406665,0,0.857788674618478
ENSG00000143420.18,-0.0546175199644246,-5.25874480125103,0.000719618811317981,0.399369819458209,6.03337779793264e-182,0.962518276197433,0.962516995823725,0,0.905476805459247
ENSG00000163131.10,0.285639525561533,-3.846394717999,0.00268541549706446,0.0517333566978526,1.40745116682944e-111,0.937609043415271,0.937565801502432,0,0.903529164209478
