nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000117569.18,-0.521896832406639,-6.29179211715767,0.016812511909565,0.00928355713152778,0.0175126391433857,0.118686549695154,1.71531259723764e-63,0.17437309116266,0.409486958183413,0.132155291539502,0.132597391289102,0,0.681094475510707
ENSG00000188641.12,0.636358110850664,-6.30206465818012,-0.0149359980859833,-0.022598653426573,-0.0197032410473406,0.167243711462331,4.87961783191838e-32,0.344471246201622,0.355250651239745,0.219445115321639,0.221514259887245,0,0.729333226502203
ENSG00000162627.16,-2.77421166753165,-9.12430860022745,0.0334541301057951,0.0232168710289306,0.103182669677204,0.106523748127751,0.657590572976753,0.223189903181094,0.42405026742919,0.08360202975405,0.0890117827338679,0,0.631268482297867
ENSG00000099260.10,-0.199739242158962,-5.43562310277089,-0.0176076880957141,0.0240165821636923,0.00193861625634933,0.703155196613861,2.66944985930334e-82,0.255087039601879,0.303369121765178,0.915522515324756,0.915929079418402,0,0.861519090672169
ENSG00000223656.1,9.16585518797766,NA,-0.126211893230591,-1.2269985101653,-0.337575020429984,0.0659230888906018,NA,0.370529692965009,0.0142534830541708,0.0525643643326002,0.0491364766663998,1,0.570664033491937
ENSG00000228037.1,-4.9087469427553,NA,0.170899468605101,-0.00448425123785959,0.167114397307845,0.173879605977132,NA,0.405638275494478,0.966853765623674,0.182118877757692,0.179834257346465,1,0.703180633657009
ENSG00000162688.16,0.386526286985579,-8.58800545928754,0.00531711591503063,0.0062395852775333,-0.0171822087464642,0.378888384408967,0.0578814488703423,0.709629145025226,0.743314502025956,0.262597601800349,0.262659079359668,0,0.750339953003245
ENSG00000117620.14,0.0348517857923987,-5.77261089539828,-0.0081466265849702,0.0492938060271162,-0.00453364003868388,0.958080963567144,6.51896963590294e-18,0.669333074947567,0.104712148888201,0.844751759441587,0.84480540780371,0,0.852143671575038
ENSG00000156875.13,-0.107479160308436,-7.50236970065501,-0.0011497409316346,-0.0498028954733556,0.000807269533895112,0.865351153742641,0.00852391874060529,0.964112069112038,0.333008694035854,0.9708755622484,0.970917675859316,0,0.867537669678341
ENSG00000137992.14,-0.438481512863129,-8.8538494823332,-0.0154180221824363,0.0220849951526201,0.0121906651761348,0.615842283785871,0.688932078331479,0.509093941789385,0.471680161575842,0.691784962609951,0.691764918938991,0,0.839945752853017
ENSG00000157870.14,1.92893738430667,NA,-0.0193729635311736,-0.0807186645454922,-0.0641861551004364,0.187782114260613,NA,0.788957949956339,0.158882804317707,0.202808899826565,0.202512096854517,1,0.717801047575674
ENSG00000137996.12,0.697615193793429,-5.12669758536022,5.06492644549944e-05,-0.000480550714480177,-0.00947163805709424,0.218260931309136,2.50323117923488e-51,0.997787630002516,0.986297980136662,0.632651013141823,0.632688585998342,0,0.831455149191396
ENSG00000079335.18,-0.968212727301922,NA,-0.00351792320633369,-0.660349803469156,0.0331360290900918,0.614579648866837,NA,0.979634411793413,0.302962626614027,0.622701460253504,0.62267239408373,1,0.831027048459646
ENSG00000181656.6,6.43434868782753,NA,0.112465102969479,0.359612884200222,-0.202242566355992,0.0552778772208958,NA,0.184175021767908,0.230295855153654,0.0797466544148139,0.0746223328672733,1,0.614174957826076
ENSG00000162692.10,0.766959269173593,-3.00356054263607,0.141275805257832,-0.0760085210690399,-0.0193308353721433,0.624158373091959,2.56873785623219e-38,0.295156611343083,0.126305673405972,0.722449021699623,0.721475768623214,0,0.841642722426805
