nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000170989.8,0.0943691506640821,NA,-0.01918707149271,-0.0162506337574073,0.0277133491185566,0.579972144106882,NA,0.546897265544093,0.372993881910431,0.50783396442472,0.507936709143446,1,0.853480338267976
ENSG00000185946.15,0.236850264911354,-6.16894752426354,0.0196616194047113,0.0239629317857302,-0.0299590977441671,0.0189282219763638,1.23649720770074e-08,0.373370095689493,0.813578744851338,0.202930985382846,0.20546065613957,0,0.741908155999502
ENSG00000240038.6,0.124413312574726,-4.00860590509686,0.225962255291011,0.434413855411463,0.052192135671921,0.665474725931772,4.92825457193937e-21,0.012807336763529,0.334023421664392,0.431399816815735,0.429273050395219,0,0.832527417283522
ENSG00000272235.1,-0.360254051372439,-5.82872215972442,0.00896841102833198,-0.145022928853989,0.0182957284007584,0.0490545041039216,0.0169539029214892,0.896497865938136,0.141289525813977,0.68397171748758,0.688063881322342,0,0.889866544811078
ENSG00000085491.15,-0.173447932223694,-7.30296316470243,-0.00674619471646294,0.202332990749186,0.0149113298836971,0.214824292393894,0.0602234401077105,0.823883176382352,0.410927941323443,0.686469147312711,0.687090394723002,0,0.889866544811078
ENSG00000121957.12,0.0352527960328931,-6.60217835626962,0.0721614859493643,-0.0379524960999059,0.0396292508698648,0.853894771296079,0.113515091873259,0.10544445106827,0.714210085149434,0.377909688642137,0.381598902077201,0,0.818332466469444
ENSG00000121940.15,-0.151671372694874,-6.24852173487888,-0.0171963044387131,0.0329523367353704,0.0370732905243399,0.0651009814273962,7.52217995890404e-14,0.387933949651194,0.103116051040529,0.0559831800363204,0.0571063131302514,0,0.604046654167529
ENSG00000085433.15,-0.663062724064017,-7.56267511288799,0.825127176698967,0.285011203754579,0.126291355619902,0.521340788258021,0.526231176970124,0.723551576966033,0.854674758538029,0.134700894009264,0.138181435755559,0,0.702387622775402
ENSG00000143126.7,0.29182504425224,NA,-0.0262513947450927,0.0856583401756632,-0.00733375288247616,0.0050919404089599,NA,0.415039356552703,0.0994193664002488,0.77006226888542,0.770040703208663,1,0.90035017693415
ENSG00000134222.16,0.147808596790646,-4.88880458584394,-0.0418621911005572,0.0471024770111872,0.0259385141416236,0.46477803417145,2.16927872393481e-09,0.323483715530398,0.792000066255528,0.5743781471409,0.577319122129395,0,0.869657084468455
ENSG00000134243.11,0.109539193697029,NA,0.00506265687256353,-0.000780033933780761,-0.0155202554036323,3.76722985845928e-05,NA,0.581796451925532,0.940196744967403,0.0167992455013439,0.0167917291711054,1,0.506784442241221
ENSG00000174151.14,0.119727019213581,-6.44623411568057,0.0142463720178919,-0.0496036916177131,0.00944419353236311,0.21035514846018,0.000110649965854695,0.564852830754426,0.0968729623447383,0.692058113267316,0.692061695763786,0,0.891742356836242
ENSG00000181754.6,-0.202252414659574,NA,-0.0202557978175633,-0.182606198343565,0.0172610283195375,0.021358744429083,NA,0.438881944684201,0.288971889510506,0.411805051138684,0.411747564493322,1,0.827949929751124
ENSG00000162591.15,0.128196621776016,-5.47758841449404,0.00163166473446527,-0.0116696193606532,0.00780864837143443,0.0341537775075302,6.12962033784273e-189,0.908296576080584,0.531823738014089,0.59780936930806,0.598239574046211,0,0.874664740647461
ENSG00000168765.16,0.998821798069892,-4.18286205723302,0.0502334039544664,0.0529729370986352,-0.161415817387823,1.32814756142017e-10,3.13822200038964e-48,0.0404595563286806,0.529527666521628,1.08322036550625e-05,2.84819890620352e-05,0,0.0606416333697967
ENSG00000213366.12,0.252783769315672,-5.27128213276913,0.0430430416296261,-0.00290632256841885,-0.0130697788810998,1.3674077759972e-06,6.30364987744227e-256,0.00437950125832318,0.868207727925871,0.30441954488868,0.304753453854793,0,0.791078462511788
ENSG00000134201.10,0.689920542210451,-2.53185578042242,0.247675309151292,0.0127928479652803,0.0608554381314998,0.00414026215982021,1.22523076997029e-50,9.41730678626533e-06,0.833338477688907,0.29044974503573,0.28962134509905,0,0.785937167194625
ENSG00000134202.10,-0.57434008490683,-4.23947466454764,0.0112327870692561,-0.00102183386705895,0.00941364275342843,4.08381821047266e-08,1.12487817400055e-132,0.774496980505686,0.975128708760979,0.697870753948952,0.69696455631185,0,0.892318631640219
ENSG00000184371.13,-0.200717668377753,-7.22912439730325,-0.00562738485575892,-0.0190983359317068,-0.0023990890827694,0.00048685627363305,1.82791792971298e-18,0.81837739665682,0.655297758976188,0.864344625780281,0.864820238430073,0,0.909861252038837
ENSG00000168679.17,-0.0502540281207539,NA,0.0738790323546556,0.154087694194251,0.0360276534554239,0.864483568815401,NA,0.341535881716174,0.246551186527468,0.583812392385181,0.583868321127881,1,0.869657084468455
ENSG00000134248.13,0.152343163002344,-6.72537232669034,0.0397924437242974,0.0111684572492393,-0.00230117947590448,0.213171880062305,7.11350851478198e-06,0.142647338897684,0.936946705633115,0.935446275726658,0.938740007577531,0,0.914668357856113
ENSG00000177301.14,1.03637457133913,NA,0.156999024532468,-0.07544970656434,-0.0331196013978952,0.065635966726987,NA,0.284186683511587,0.154112102857457,0.803533959378924,0.803468832390639,1,0.908061075431507
ENSG00000158109.14,0.158546539906236,-6.29678775150987,0.0168799978180435,0.00814394576515606,-0.0368037022691747,0.151413287069835,2.45993667585104e-16,0.383888795953211,0.928269305909457,0.184717723852819,0.188446317579318,0,0.738839964224947
ENSG00000156171.14,-0.129461369936153,-4.31620542244548,0.0124486120201516,-0.0291999867425636,-0.00243577485551224,0.454764177146146,3.33311600591233e-23,0.800579322666946,0.377723128259524,0.95193437036705,0.952145132180571,0,0.916522911513189
ENSG00000085465.12,0.44147637245387,-5.26085538908497,-0.0825826431453348,-0.0083221224801132,-0.0381177853024047,0.000536576225390032,1.44597032837106e-14,0.018500760537262,0.743898017909612,0.205390548659326,0.205961653957218,0,0.741908155999502
ENSG00000116213.15,-0.361980325625311,-5.48939286464091,0.0847717444594147,0.0261085982371519,0.0429719461677873,0.00794556906600711,3.65078295563866e-10,0.136300324057299,0.470610505943569,0.187058349857835,0.189296533811661,0,0.738839964224947
ENSG00000260948.1,0.380813068027758,NA,-0.165801473752442,2.665915095872,0.0926415241274638,0.423857029449547,NA,0.351792561265292,0.102238370620863,0.318663349136256,0.318656820351166,1,0.803510629339564
ENSG00000143110.11,0.116939579634186,-6.60324323561659,0.015251869316153,-0.198347657325598,-0.00954686816817962,0.0964316684269978,1.08630304504309e-15,0.352032982796352,0.00210153972970043,0.582006571748406,0.581952828091566,0,0.869657084468455
ENSG00000121933.18,0.861154936590275,-3.63537683449133,0.0379931706374194,-0.362636889203022,-0.0765963834328647,0.00247245691161034,4.14870214896397e-16,0.740705903239976,0.123765386250729,0.260424120889423,0.261696480745865,0,0.777634775669738
ENSG00000282608.1,-0.192910463009054,-4.85170274160059,-0.0271194809164078,0.00140593899900868,-0.00051198530250032,0.161836677768914,1.11416517354364e-29,0.492472482389302,0.960217488865896,0.988008081351574,0.98799619896683,0,0.919255415527761
ENSG00000116473.14,0.100174314108474,-6.83476831420085,-0.00872912573091777,-0.0524068021165205,0.0161920995386877,0.0555125886966482,1.85778976702517e-43,0.610905577924377,0.269487825495025,0.188702569607342,0.190388563550785,0,0.738839964224947
ENSG00000231346.5,-0.650521971136182,-6.18171273913337,-0.122986329068334,-0.00672611512548638,0.105213600665479,0.00175834095900071,0.133271267658233,0.0389507570167568,0.929247480101104,0.0546545401845307,0.0609664335414285,0,0.622490659044792
ENSG00000227372.11,-0.0673200741847909,NA,0.0298231562714699,0.0361796263085846,-0.00361631737308575,0.320377143424276,NA,0.0804147379539105,0.115470084988356,0.831003247219622,0.83100545322204,1,0.908061075431507
ENSG00000171385.9,-0.00990886732372964,-4.39878763859974,0.0534042641616977,0.0455627002977257,0.0390389687182259,0.952394270626264,1.10287875893662e-28,0.291065152316706,0.800667303456635,0.316814176833117,0.318581565423013,0,0.803510629339564
ENSG00000143079.14,-0.0643813273768868,-5.61203014345402,-0.0241809084786332,0.0260496404888108,-0.00563720518370988,0.43197107856084,1.05268507829142e-37,0.178255813784019,0.259899427155226,0.77105659845257,0.771223942459428,0,0.900570236866588
ENSG00000134245.17,0.189619917448111,-5.29400942696038,0.0849103884494667,-0.0930227510987984,0.0282343435122511,0.160831393532332,3.15335719666881e-15,0.00825913525056695,0.0060995771796384,0.39146469365514,0.393818288343554,0,0.81943171605821
