nm,int,od,b.gPC1,b.gPC2,b.PF1,b.PF2,b.PF3,b.PF4,b.PF5,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.PF1,e.PF2,e.PF3,e.PF4,e.PF5,e.cnd,pval,status,qval
ENSG00000085433.15,-0.186288567406779,NA,-0.00282203918283293,0.0520713024942438,-0.0756461849610802,0.0448375865818458,0.00877995601739541,0.0516413646662876,-0.00392185421390775,0.00660625600960016,0.920386566287413,NA,0.913225382578633,0.0998349971092995,0.0111981142109165,0.103167955355353,0.714318779406801,0.10026665587207,0.918823282801949,0.869315946548841,0.869314801466363,1,0.944873210690043
ENSG00000215717.5,0.162246651488816,NA,-0.0125412739772551,0.0150541131658519,0.00560432658759019,-0.0159952091226048,-0.00734218862288501,-0.0349350774088549,0.0201312765414004,-0.00159629982193228,0.860013806936196,NA,0.451151511767682,0.483783085353778,0.700030270218559,0.233168177120893,0.599062264257159,0.0679161071529076,0.288933872625296,0.935678457182767,0.935678085915958,1,0.950978185655911
ENSG00000143126.7,0.91882668884567,NA,0.00719750420843492,0.00829956094188059,0.0438405425274785,0.0806444808560956,-0.0732812790253826,-0.0373994030059753,-0.0132116297366821,-0.0157427960162209,0.620771991121328,NA,0.792448133256088,0.774634151080191,0.105616100735411,0.00300074503740466,0.00708946425167314,0.245541022493146,0.697121148036654,0.693619086321999,0.693611325758324,1,0.927702536640619
ENSG00000134222.16,2.67434431083257,NA,0.000432450321675486,-0.176512171581075,-0.0718476562279841,0.125823798364155,-0.0259131283433916,0.0216106121502985,0.0742902163570363,-0.0475288392394837,0.534150487587474,NA,0.997049791556425,0.518744576199961,0.342879913151423,0.107110255334603,0.732089544213478,0.776683059407299,0.347657854652666,0.608459331971849,0.6083357514757,1,0.925199938684739
ENSG00000272235.1,0.12414773997771,NA,0.0722585396611299,1.21200521305772,0.213946287546263,0.132845937546586,-0.116274680125315,0.223642481217712,0.19711297125133,0.0134386276153387,0.975889973423138,NA,0.552265263982388,0.00200533824814354,0.0298065994520308,0.207335251304184,0.180121579495456,0.0307071930538257,0.0492702090022052,0.878503636963848,0.878498339610072,1,0.945518906142484
ENSG00000134243.11,-0.12231950818165,-8.56824298091141,-0.00093954151377668,0.0095560116644262,0.000581298160480017,0.000865171642356646,0.0109609056168432,-0.00111310533325205,-0.00862373094965855,0.00374174115987102,0.708581552319802,1.41324465826666e-28,0.863716516101037,0.684356927853169,0.919872283949946,0.865087990545652,0.0686696121435013,0.854959485258059,0.220431405033141,0.595893149629398,0.595904373407486,0,0.925199938684739
ENSG00000143028.8,-0.68179027432279,-3.49734439126716,0.0594814999476558,0.093746661806244,-0.0750604793203192,0.014954577733317,-0.0262077212502217,0.0876086091999313,-0.00272764137275526,0.00798801327216383,0.730659786085741,1.40246345781069e-103,0.0414144476035404,0.526795566168123,0.0217992022701527,0.617392212650475,0.425201179290322,0.0121008118204549,0.945382866719772,0.851587294079012,0.851949031070136,0,0.941177919842363
ENSG00000174151.14,-0.587890922151457,NA,-0.0168148316696241,0.0705826417514496,-0.0603071779193226,0.00785690530252502,0.00842236616720988,0.00261424467823715,0.0189411283929543,0.00953448961274202,0.712196474762832,NA,0.566884428029857,0.744032602078834,0.0163809019445213,0.755829485306533,0.75265720113958,0.927446532407898,0.534991005741441,0.780593528874915,0.780592859245896,1,0.932805137326665
ENSG00000181754.6,-0.395419991646052,NA,-0.0210184652748083,-0.0184719826448626,0.0113975293395828,0.0492107912369916,0.034914489543015,0.00463404470323039,-0.030135873359093,0.00521005257428904,0.798596201603526,NA,0.507463031084783,0.413705635098714,0.628765166965998,0.0249135051891108,0.115925674504418,0.864648955313767,0.290312404067926,0.875868071021109,0.875867033981793,1,0.945227701982479
ENSG00000168765.16,5.30039759552434,-4.02908352091307,0.09437760410896,0.26777004991187,0.047300805568708,-0.0697598441519593,-0.0198759258727662,0.0701853895354182,0.0719074390186835,-0.104567541531833,0.0718998737726671,5.79003916850456e-47,0.00462908329076631,0.118344502551772,0.319707728676798,0.103672303630305,0.670927899090914,0.275677173878467,0.208565051932453,0.0992870384000244,0.104022378302453,0,0.758861414214595
ENSG00000213366.12,0.454301014634597,-4.68594835979543,0.0333962880981712,0.0724926933686106,0.0237037213692303,-0.0194031889542441,0.00600981784452376,-0.0032741036620109,0.0217885898278363,-0.00446170944125817,0.741770613225926,2.66200146207452e-184,0.149385598714234,0.508424893580883,0.247440603584803,0.3437038167808,0.751788019129223,0.891748016169719,0.356880748582023,0.880790906930426,0.880632051155733,0,0.946244108348249
