nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000117525.13,-4.01792563571401,-5.14336544182513,0.0690863492160905,0.00166271892529255,1.10816381361572e-90,0.00237798051570247,0.00381568768091651,0,0.513661765520152
ENSG00000224081.8,-3.54167258987692,-3.46723919837958,0.0576550102713945,0.301126372160934,5.22260564489185e-17,0.345507299229583,0.352491159496449,0,0.890206660734385
ENSG00000117519.15,-1.11678049830405,-6.73648056787349,0.0179431757479962,0.237737232155154,2.28798362781411e-18,0.285302334539071,0.285271441509059,0,0.862386250230334
ENSG00000235501.5,1.60681394979005,-4.44126323981883,-0.0210292615012679,0.832294105948521,0.0231972731420426,0.876689796286292,0.878526347300817,0,0.942056645036156
ENSG00000122481.16,2.81950841922874,-6.65315985033482,-0.0457231959570833,0.435151492573958,0.0397289250146302,0.479006688423849,0.486663414579249,0,0.908558064006853
ENSG00000117569.18,-3.8898439819782,NA,0.0654480218093145,0.0507106237436679,NA,0.0649468700962378,0.064757193502619,1,0.759501058484269
ENSG00000188641.12,-0.393045758220704,NA,0.00683501009988479,0.915724861086498,NA,0.917773629492682,0.917773190787003,1,0.942418524866554
ENSG00000162688.16,1.06561813870996,-4.78313485018361,-0.0152019431443575,0.749981116128809,1.5910657309101e-09,0.798620394815962,0.798848538646745,0,0.936351672488408
ENSG00000137996.12,-6.25195933996881,NA,0.1076929918396,0.111809753104635,NA,0.125192731791508,0.125011836608292,1,0.77281834559703
ENSG00000181656.6,1.10833883845302,-9.60880703821251,-0.0183498029080087,0.203540898403112,0.0204006822260048,0.239702896377616,0.239884597194987,0,0.842322230981486
ENSG00000162694.13,3.30625435817326,NA,-0.0563642489260747,0.164189776050275,NA,0.180620935621856,0.180590110280116,1,0.800429012434736
ENSG00000233184.6,-1.88969357101473,NA,0.0302782438000869,0.661478672442918,NA,0.693667983505911,0.693608716453335,1,0.925407379163545
ENSG00000240038.6,2.16532365011836,-3.70282602812639,-0.0414893779439356,0.642370952167245,7.80438815149652e-21,0.618333119479527,0.61880176625165,0,0.918159777521914
ENSG00000198890.7,-4.41422205280581,NA,0.0770897030462746,0.305021323505153,NA,0.316303724657804,0.315946001699524,1,0.873617780979849
ENSG00000157873.17,-2.7754127346235,NA,0.0480294027782776,0.0488322677196837,NA,0.0562231340366709,0.0560621346229558,1,0.739501594282023
ENSG00000085491.15,4.9090529672206,NA,-0.0813095673322392,0.226643533747511,NA,0.259023209719688,0.257816336060066,1,0.850054140268587
ENSG00000157870.14,0.272044067489443,-5.11279027426668,-0.00288703496228911,0.952583490732001,0.00095316365341866,0.971623445089147,0.97173314278841,0,0.945514482604244
ENSG00000121940.15,-1.88894813968505,NA,0.0336210256552796,0.499416305821658,NA,0.499899029507132,0.499830639979867,1,0.908558064006853
ENSG00000085433.15,1.19921249959876,-6.1356077724641,-0.0212865283658335,0.378892802948996,1.04101874146111e-17,0.382699209042809,0.382800079842499,0,0.90003526360523
ENSG00000142606.15,19.7568891750977,-2.4191472109896,-0.338331325694326,0.0388355200852403,0.000211680811965907,0.0464462891979701,0.0496224199515076,0,0.721548550645912
ENSG00000143126.7,0.571448339660358,-9.17223192387001,-0.00945725245044528,0.439506304931193,0.00134333948481755,0.473411887529826,0.476319750728837,0,0.908558064006853
ENSG00000134222.16,-1.49797105391883,-4.76400780596632,0.0293213650972264,0.63520197482546,8.16532973556885e-18,0.601832583667594,0.601543093791904,0,0.916162800801367
ENSG00000143028.8,-7.77037595544656,NA,0.139752991725961,0.0925450562964044,NA,0.0895905466921783,0.088367829786738,1,0.772233193811402
ENSG00000181754.6,-0.510876626216107,NA,0.00863833640506687,0.692447900836217,NA,0.708093317504195,0.708089925896715,1,0.926019377652324
ENSG00000116337.15,1.0599476238988,NA,-0.0177509624858129,0.0930917928259092,NA,0.115671958792756,0.115624935111247,1,0.77281834559703
ENSG00000168765.16,1.70789500498502,-3.85189638472531,-0.0252297295239038,0.666986849761087,2.34023989761706e-20,0.722090344385798,0.721204510187975,0,0.928393246310983
ENSG00000213366.12,-1.25313107671702,-4.37089482857275,0.0262316859170213,0.426877198139184,1.10438257285704e-86,0.351651015566526,0.350483579281064,0,0.88941774344594
ENSG00000134201.10,-1.81297912640116,-2.1270863810839,0.0520491705021968,0.765694572475107,1.24978945131138e-19,0.630765287209968,0.617693363407835,0,0.918159777521914
ENSG00000177133.10,-0.651525297880646,-6.07375679215356,0.00919773637345821,0.553022613862183,9.91084580428822e-42,0.638974534940906,0.640215719512665,0,0.920660405108318
ENSG00000134202.10,0.339262413104158,-4.21436391561303,-0.0151804751001279,0.868742609787726,5.86663461728893e-91,0.678537271536257,0.679526899630791,0,0.922739160532078
ENSG00000184371.13,2.53585871576289,-6.74900759691161,-0.0439040224522182,0.0674440892727927,4.56787375990449e-07,0.0758770118962765,0.0769884093448959,0,0.769527335636328
ENSG00000259834.1,-1.62360462183103,NA,0.0336510683361668,0.553749453921511,NA,0.490520863031687,0.490055163826314,1,0.908558064006853
ENSG00000156171.14,15.1820692855153,-3.36358744546611,-0.281828306229815,0.0108148506701582,2.7104275288507e-09,0.00829546079457017,0.0108380721943025,0,0.621328565953182
ENSG00000085465.12,-2.76641351041674,-6.7889489039843,0.0526226374220143,0.0532794050616558,0.000121423840889953,0.0396870077106604,0.0458983109255758,0,0.713757771211083
ENSG00000260948.1,-7.392640764279,NA,0.12571805948784,0.0925995231153263,NA,0.109228720221293,0.107213323474593,1,0.77281834559703
ENSG00000130762.14,0.0703407766870897,-2.80615390461924,0.00414711172196525,0.992539305273567,7.71262640483846e-09,0.975234474968714,0.975051474932848,0,0.945514482604244
ENSG00000143110.11,1.82811568568318,-4.96942024930291,-0.0281155090861084,0.55994895361196,0.00103838397114238,0.615530481559863,0.6158216306441,0,0.918159777521914
ENSG00000121933.18,-1.43152947321423,-5.1480919952821,0.021697095496354,0.505750746749012,6.92162331743712e-06,0.572343275489013,0.575735169554266,0,0.911657350976432
ENSG00000282608.1,0.355377354507638,-7.19480060096419,-0.0107459766913892,0.847572042459546,0.045013251887902,0.742178878154298,0.744043334147138,0,0.933600412271228
