nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000117525.13,0.58249161520489,-5.08561578365168,-0.056929628952678,0.0476400092437737,4.27833480603859e-91,0.0142201927456118,0.0187368016181552,0,0.426268880229547
ENSG00000224081.8,0.0837223238304596,-3.42073647835426,-0.0306890816221984,0.928612922913292,2.29485780026398e-17,0.671311766025214,0.672832432241263,0,0.833896797614404
ENSG00000117519.15,-0.296458263234485,-6.72416434258317,0.0149888082039684,0.245990596590644,1.39015635523395e-18,0.455450734281507,0.455842102915855,0,0.794658914141835
ENSG00000235501.5,4.37760829298798,NA,-0.306455249695376,0.00356166727330441,NA,0.00834431822972312,0.0076036068553648,1,0.317116581059878
ENSG00000122481.16,0.233545519496088,-6.28071351013841,0.00225482729129579,0.711739751650346,0.00673254857744947,0.964054424494481,0.96408870669893,0,0.866793893330991
ENSG00000117569.18,-0.78436910136534,NA,0.0450045831198086,0.0846358809447975,NA,0.21019502370656,0.210016861442561,1,0.729307130703992
ENSG00000188641.12,-1.31529903032624,NA,0.104664106367142,0.0956892586110703,NA,0.097107253683493,0.0965836276892253,1,0.636419457251309
ENSG00000162688.16,-0.728413949034128,-4.93359502256666,0.0736958895202622,0.392494590546635,1.2441458673756e-08,0.269563625111158,0.274946874980787,0,0.754910720037313
ENSG00000137996.12,-1.54220021231379,NA,0.106095663152895,0.0376322433208326,NA,0.0745935658257528,0.0740647508692332,1,0.609847349246225
ENSG00000181656.6,0.292305235260415,-10.2567286882025,-0.0171646546087244,0.168078317051124,0.174396479451049,0.323848842483086,0.329188236837144,0,0.773997180817677
ENSG00000162694.13,-0.54316599081711,NA,0.0541442041044749,0.229520624059352,NA,0.138397991394744,0.138178242233397,1,0.682549666991619
ENSG00000233184.6,-1.12047129554257,NA,0.0726811023873995,0.366303624556603,NA,0.452217977106355,0.45210727135637,1,0.794658914141835
ENSG00000240038.6,0.548345652218711,-3.69876799389164,-0.0569196047589763,0.565558002190353,7.62260364691988e-21,0.458430572258831,0.459544621247552,0,0.79527916399578
ENSG00000198890.7,-0.748319483889497,NA,0.052412854131521,0.381528468891769,NA,0.448739573861755,0.448614059426649,1,0.794521851395606
ENSG00000157873.17,-0.0550564095233602,NA,-0.00242122614716256,0.856783139515363,NA,0.918992109683339,0.918992577320861,1,0.862914283529564
ENSG00000085491.15,-0.365999605202797,NA,0.0547520053756223,0.714381977031629,NA,0.486766011888175,0.486782937489861,1,0.802165097685122
ENSG00000157870.14,0.948710440130928,-5.01180070903405,-0.0682483123970283,0.369951365033578,0.000464800143134448,0.427015477317101,0.428126543925843,0,0.78951894115818
ENSG00000121940.15,-0.338660161367311,NA,0.0263093005407139,0.563869490001555,NA,0.565285793858169,0.565235623376509,1,0.819494940801235
ENSG00000085433.15,0.235454632602533,-6.21353402448381,-0.0180245777357013,0.433169300550025,2.35993519494142e-16,0.451210130253971,0.453694315858785,0,0.794658914141835
ENSG00000142606.15,2.22700534953593,-1.95537072519292,-0.116153879274326,0.537754038799753,0.000369920824193791,0.686839914241904,0.681641267781748,0,0.83591848335612
ENSG00000143126.7,0.143529552166159,-9.00218789012894,-0.00831555841141121,0.306977008418447,0.000301996194747346,0.466036255521784,0.46610394666834,0,0.795925190700555
ENSG00000134222.16,-0.188213872056293,-4.7525328156313,0.0271837254521336,0.777577846554787,6.50651212505361e-18,0.611607546209764,0.612723332284912,0,0.826703222957482
ENSG00000143028.8,1.61235050235944,-6.83323821341988,-0.119980398928865,0.229837131688412,0.638963439379743,0.250312491244145,0.250167086044978,0,0.747329092347388
ENSG00000181754.6,0.752415558211129,NA,-0.0627669718214026,0.00481599964929391,NA,0.00338960146789888,0.00336647357961809,1,0.222812491960248
ENSG00000116337.15,0.0230017001762537,-10.9376379982046,0.00357766305088984,0.889691733892094,0.539325563125057,0.789072722823348,0.789151587768177,0,0.851143068502633
ENSG00000168765.16,-1.13399568866824,-4.14790513325451,0.114049413461143,0.125718990439297,2.07057999920765e-19,0.0513483674814901,0.066786652243748,0,0.590857762266407
ENSG00000213366.12,-0.0752637813593254,-4.37631664646578,0.0231119007863799,0.862662352790026,1.23870148960175e-86,0.502819846020695,0.503581836593178,0,0.808211235576739
ENSG00000134201.10,4.3917470295348,-2.14908306775296,-0.255702360320483,0.0134098420080962,9.08286138358955e-20,0.0635874736556574,0.070219399370641,0,0.598002805314949
ENSG00000177133.10,-0.0431010638334615,-6.05103903731274,-0.00731459838843069,0.873944258384946,2.01184221018691e-42,0.730545145099028,0.730928182330818,0,0.842577509797847
ENSG00000134202.10,-0.864581043215243,-4.22411445787456,0.0280557350249766,0.0655956022448847,5.08511370920991e-91,0.450814734587228,0.451145833226924,0,0.794658914141835
ENSG00000184371.13,0.669040648393618,-7.54385172250467,-0.0461603089244385,0.0339050426999919,0.0046088953409843,0.058338519577516,0.0694804957798201,0,0.59747926920945
ENSG00000259834.1,0.057202633948894,-8.21673576829582,0.0170027561808757,0.933339058425887,0.718441735724567,0.759306544644664,0.760524742355848,0,0.849544476401316
ENSG00000156171.14,0.937671501263101,-2.96135345080675,-0.119360008605687,0.601894530546094,3.58786527408785e-10,0.402705979097682,0.399659574021624,0,0.785273239207545
ENSG00000085465.12,-0.197666850453309,-6.16315291783074,0.0300317839988979,0.553501944529964,2.39763071270404e-09,0.257694060135147,0.258044310122035,0,0.747329092347388
ENSG00000260948.1,-0.911626820597285,NA,0.0449997169451129,0.319943714071269,NA,0.542043431290614,0.542081148098935,1,0.816723919523193
ENSG00000130762.14,-0.115905545049252,-2.82120545316274,0.0335228163409404,0.946857869203165,7.8684147965444e-09,0.808673928666525,0.80792782021279,0,0.852102711626187
