nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000122481.16,0.581275667819018,-4.49286175377594,-0.0766526273400877,0.14660421832407,1.65130532312209e-10,0.237443263242909,0.242630867885849,0,0.905799657799232
ENSG00000117569.18,-0.793513613988084,-5.20406874194491,0.127458344532468,0.0894970652978489,2.07740174647018e-10,0.0846224127173285,0.0943207179832975,0,0.847402555838919
ENSG00000188641.12,-0.969778271471893,NA,0.145924141867786,0.0437546993141761,NA,0.0534891370721898,0.0517824916068405,1,0.829558348013431
ENSG00000117598.11,0.63178275543167,-4.82057093259621,-0.0944358085652457,0.288099835064848,2.53693668248739e-07,0.305051650429912,0.30628531813423,0,0.91644648129474
ENSG00000162688.16,-0.134544988612859,NA,0.0354620502574452,0.372096481357084,NA,0.145721387116693,0.145682657895412,1,0.875774436458254
ENSG00000117620.14,-0.0477960180829844,-4.80988513543083,0.0299983637558769,0.889609756915611,1.93052841896788e-12,0.589193153186221,0.593139463962253,0,0.965729935965309
ENSG00000137992.14,-0.283280104101859,-4.77953033935277,0.0353609858920084,0.598772779642217,1.47632759717003e-06,0.684668276184895,0.684227896942425,0,0.974351116034922
ENSG00000162694.13,-0.183850199584426,-6.37689411334449,0.0128188135472293,0.17734565552991,1.86568040073936e-24,0.554702059644123,0.556862655464039,0,0.961151039893534
ENSG00000233184.6,-0.393452194875861,-4.03310692154067,-0.0129512796944573,0.400920091832543,7.97467405051296e-06,0.865614234381784,0.865341296654366,0,0.974351116034922
ENSG00000118733.16,-0.258650090876771,-5.19806047967141,0.039714742366911,0.683116342871909,2.28798712776884e-05,0.685327381770269,0.69593147997295,0,0.974351116034922
ENSG00000060718.20,0.803074068805886,NA,-0.127632730288124,0.0163725757059688,NA,0.0219600875676011,0.0217744343698616,1,0.658842122760328
ENSG00000240038.6,-0.208967072913136,-4.33110456967731,0.0897219239524365,0.392160366842226,5.84683812029135e-29,0.0244539891435201,0.025270078791466,0,0.680824807173437
ENSG00000198890.7,-0.587424867958875,-4.1442020867933,0.0771342157833323,0.181007208964691,4.18819184686329e-09,0.286456960934358,0.306078380524474,0,0.91644648129474
ENSG00000134215.15,-0.082362321928572,-5.5346943532779,-0.0080326448390674,0.874072634585936,0.0625148426413758,0.922950260137585,0.923659735834849,0,0.975341358473262
ENSG00000085491.15,1.07518008349602,-6.53115592503005,-0.122989258614182,0.0101659305372254,0.473116642077501,0.0774146745285648,0.0947639198783402,0,0.847402555838919
ENSG00000121957.12,-0.278582182419777,NA,0.0719252912841526,0.261622811215566,NA,0.071049000681335,0.0709228510712734,1,0.838384352862069
ENSG00000197780.9,-0.0590644248404848,-6.8235407836758,0.0167616488921122,0.803524264968672,4.93117506960449e-06,0.655719635066781,0.656232986156671,0,0.971078588660991
ENSG00000215717.5,0.0110125643745635,-8.23422680958918,0.0182016473117861,0.943169192358339,0.08118490059912,0.449600889410033,0.452374582898787,0,0.955136382466001
ENSG00000134222.16,0.606445743053542,-4.54432338188638,-0.0423167179036286,0.0156631798929423,6.46819067818393e-36,0.288434007829508,0.293912630984595,0,0.916142444962204
ENSG00000181754.6,0.0771738344847259,-7.20971140105212,-0.0155998595350185,0.530669175006734,3.19378590253887e-10,0.435319223276617,0.435385933959445,0,0.948724923895707
ENSG00000168765.16,0.527599451606926,-4.16456215204827,-0.0534630713372669,0.218151621970268,2.26934019716453e-17,0.450447760049179,0.456485532277911,0,0.955136382466001
ENSG00000213366.12,0.15811709051684,-2.98614415400169,-0.00842037314967313,0.676850064491228,2.60308824067826e-40,0.891129535400116,0.89174058917758,0,0.97460289708153
ENSG00000134201.10,0.0327781522904997,-1.97085885908216,0.228834067913989,0.966285245625158,6.08658233674647e-18,0.0675845218948894,0.0776862382977229,0,0.839304125081643
ENSG00000134202.10,-0.304819037026722,-4.0424178667156,-0.0305947202210706,0.138964528548565,4.06235306754725e-73,0.361648564626049,0.362988957019167,0,0.929218736714855
ENSG00000184371.13,-0.219320352620566,-5.74628035695536,0.0176793976870782,0.342927602053179,8.05861350093436e-14,0.622230117514938,0.622149970466765,0,0.969368885123962
ENSG00000258634.3,3.12470718787044,NA,-0.49755438039771,0.0158035340281105,NA,0.0137133000805783,0.0132635117989457,1,0.596456503447823
ENSG00000177133.10,0.265177097648805,-5.06862476018925,-0.0234981436505802,0.245110739497864,2.1143855257247e-38,0.517023108262399,0.516791620991469,0,0.955136382466001
ENSG00000143119.12,-1.13754292180426,-4.26807574931628,0.0995355299119144,0.00562188198365046,9.08279195675699e-20,0.127171681080406,0.129924866012175,0,0.873963248192749
ENSG00000142611.16,0.107894707453829,-4.79064168828892,-0.000277400107351156,0.741101317897069,1.02239438807925e-12,0.995729302510742,0.99568891741245,0,0.980069551721041
ENSG00000156171.14,-0.096917590952951,NA,-0.0156661524165908,0.821939096814025,NA,0.833220017171471,0.833267090294537,1,0.974351116034922
ENSG00000085465.12,0.236588152810022,NA,-0.00414824164928631,0.0987831900583355,NA,0.86002517609019,0.860010771292846,1,0.974351116034922
ENSG00000260948.1,0.815291766247035,-5.78189686048392,-0.0696054363247971,0.11333799438,0.179025970365239,0.419474864929014,0.419177263328626,0,0.946468816315846
ENSG00000282608.1,0.404126637676065,-7.05084695981352,-0.0933209303488555,0.348469944571297,0.227468473022241,0.171513939571175,0.175586553493889,0,0.886352200235388
ENSG00000116473.14,0.511158663550437,-7.02884651083819,-0.0653932420529674,0.000353507095099455,2.38168612872144e-06,0.00486633588384765,0.00590636533091405,0,0.544845510454417
ENSG00000130762.14,-0.555482443112688,-4.21079742874739,0.0458133044878916,0.300632360059542,3.03213018486516e-06,0.589000390754812,0.588150907809365,0,0.965729935965309
ENSG00000197852.9,-0.0714775596785367,NA,0.00515404780038901,0.672731821214495,NA,0.853859483121217,0.853852848307433,1,0.974351116034922
ENSG00000231437.3,-0.788067303024523,-3.79667407986777,0.0325640760839835,0.0524053880967412,1.38300540736753e-16,0.624774784152012,0.622586795570296,0,0.969368885123962
ENSG00000134245.17,-0.924293618765662,-4.59428265302978,0.0729319720319447,0.161272978569432,1.07057178485266e-05,0.474736948925901,0.47793721995017,0,0.955136382466001
ENSG00000007341.18,-0.697201327948954,-5.38445379255944,0.107620917800027,0.17471712338445,0.047776391236705,0.195489342235501,0.215742111854649,0,0.891235294358819
ENSG00000116489.12,0.30368105606621,-5.10174027824321,-0.0295826904528503,0.327549966717123,1.33865787250773e-25,0.550233569749891,0.551369074924943,0,0.959974649069486
ENSG00000162591.15,-0.615627238394046,-4.1198552453149,0.106752797779528,0.0662271470886818,4.81796131899366e-10,0.0525854628372346,0.0564974111240785,0,0.836448503084371
ENSG00000155380.11,0.409573254594266,-7.00525232997524,-0.0453188855364291,0.0460104066955001,1.0231652341432e-05,0.163049986395169,0.163550136936986,0,0.882173974235433
ENSG00000198799.11,0.422218746554787,NA,-0.0665647763054668,0.206557230398435,NA,0.215587827027937,0.214614059058023,1,0.891235294358819
