nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000122481.16,0.372289334821233,-4.33564818216271,-0.029954000984321,0.512508736061014,1.17299764665111e-11,0.647758028578582,0.648126507557368,0,0.845583484598087
ENSG00000117569.18,0.32829563904661,-4.92255281218327,-0.0369367340800775,0.541962047526758,2.82692506350607e-12,0.550001535278979,0.552803348119908,0,0.833307102058815
ENSG00000188641.12,0.295596872609141,NA,-0.0382887514978804,0.557424993248584,NA,0.487950365929682,0.487766972659742,1,0.817877090775336
ENSG00000117598.11,-1.20789559667295,-5.1572212718427,0.143824937492929,0.0648190600901224,9.75036975005107e-06,0.0576166823111642,0.0632360241424141,0,0.569381123683647
ENSG00000162688.16,0.0977068866462927,NA,-0.00181439633055947,0.597050646122032,NA,0.932976322203781,0.932977003349821,1,0.89494627220619
ENSG00000117620.14,0.285662386113008,-4.88397793646139,-0.0178452202428517,0.507518454367028,7.75472941895333e-12,0.725387065428531,0.726160362577595,0,0.860872731737938
ENSG00000137992.14,0.0544800273689631,-4.75837424303821,-0.0138400833437994,0.928246886493599,1.21109781683279e-06,0.840615124357292,0.840739419937031,0,0.881485629690042
ENSG00000162694.13,0.0402965147104326,-6.34117147020234,-0.0173555970751214,0.826003933228969,3.07833189646727e-25,0.427099738264811,0.427015573231351,0,0.79778526744294
ENSG00000233184.6,-1.65668425325462,-4.16974093894027,0.137278961553528,0.0691434178620769,2.28129968999094e-05,0.190268053073603,0.19373889910736,0,0.708840106929693
ENSG00000118733.16,-0.292169277812694,-5.1082956394935,0.0355293015203535,0.68755065821018,9.98714562057594e-06,0.688565985745508,0.688938973523817,0,0.85559017593984
ENSG00000060718.20,-0.206646820556491,-6.55914460037554,0.0291372426307525,0.615226762503864,0.0245769636315348,0.541104491163661,0.542786790539176,0,0.830694153480744
ENSG00000240038.6,0.339779244863936,-4.24767801633598,-0.00105911018521481,0.402268631671451,6.93500995602839e-30,0.98228977537014,0.98228047221105,0,0.899217674238039
ENSG00000198890.7,-0.133945496275299,-3.94251858335074,0.000995989957098505,0.861513020721475,1.89252001071737e-10,0.991197210116797,0.991174566005472,0,0.899887862452906
ENSG00000134215.15,0.679200455888104,-6.34980749067179,-0.0920291755978173,0.320974599287838,0.314481085533982,0.231642531574103,0.239463500803444,0,0.738875330168598
ENSG00000085491.15,1.14487055755844,-4.76200554019194,-0.0924075408918294,0.0832943260115425,0.00799690519642515,0.224479473465336,0.229167850139466,0,0.731920868539115
ENSG00000121957.12,0.338109166716388,NA,-0.0197399632670823,0.432999377371969,NA,0.683808867714007,0.683831399205884,1,0.852181652794489
