nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000064703.11,-0.139172705745478,NA,-0.0153094737600221,0.0307513816759787,0.00249470378374348,0.146570552794136,NA,0.410790818577941,0.0321606112377307,0.910040857460714,0.910038244756416,1,0.957191680391916
ENSG00000143079.14,-0.18144613054753,-7.04110781253255,0.00117534289117175,0.00612170170022188,0.00443136767678218,0.000445011556377991,8.41965989951485e-16,0.941784237897329,0.736972801115838,0.72688449175762,0.727845283685599,0,0.94823014434937
ENSG00000134245.17,0.155824494928,-4.93725024398923,-0.0717672146767085,-0.0508063762699493,0.0118313547250924,0.407443303078899,8.38923411581039e-08,0.104924427214785,0.253614123836208,0.792227790217407,0.792375598925708,0,0.953943166720209
ENSG00000007341.18,-0.0968920296487601,-3.79902406738026,0.0124230930474872,0.0766796043455879,0.0400416206794117,0.548510455861349,3.1208665404972e-41,0.766952051083251,0.10832253924675,0.30249538120447,0.303222028499555,0,0.893160057653927
ENSG00000116489.12,0.182696981161065,-4.40983391811457,0.041798328748656,0.0168192690096579,-0.0128715979984119,0.0981435264887769,1.70543953488168e-128,0.112639137110532,0.775656613814288,0.619977482920985,0.619888562041661,0,0.942028643769601
ENSG00000155366.16,-0.0946285978943783,-6.19617969200158,-0.0456844116445149,0.0445270561030622,0.00320692103070104,0.19157854622285,5.66283031310476e-28,0.00762248722600442,0.49762037610815,0.851856679932544,0.852396142626559,0,0.957145265367835
ENSG00000155380.11,0.0423794966419939,-8.18019822061815,-0.0363914195792443,-0.0141040153284377,0.00631658344795827,0.290361768703424,2.04358304007338e-11,0.0326393964882157,0.132965291773934,0.50269893534548,0.502713516643544,0,0.935081985396442
ENSG00000226419.7,-0.471282947595163,-6.1445301184402,-0.154614878105502,-0.0981851549544759,0.0692872118836311,0.0248285108409021,0.12625699361135,0.114343906201085,0.294467062642064,0.201707976778521,0.206966222931998,0,0.884419279547024
ENSG00000131697.17,-0.630361460487576,-5.07580768698329,-0.0419490134657901,0.0317584522192414,0.0659092210321391,1.25772032484324e-06,1.00436478793302e-21,0.218894247626397,0.357273663828493,0.027259628855186,0.0308453730450867,0,0.731033845824147
ENSG00000116793.15,-0.119510157948031,-7.18361730100869,0.00787528312649913,-0.058965424727055,-0.00803386426013167,0.284909794590082,0.0754981903210086,0.906047741206591,0.0103904383750758,0.758580125655934,0.758711352057212,0,0.949827521288647
ENSG00000134262.12,0.281414420942765,-5.52999765187916,-0.0294281078665723,0.0646797973608779,-0.0190921020469743,0.0510162951758806,1.82489998505179e-20,0.494125608403667,0.615992294750416,0.550779515468728,0.550847867405758,0,0.939002400763374
ENSG00000116774.11,0.0820084991971182,-5.22883688959207,-0.0532543231211637,-0.141106567503957,0.0112243670718284,0.36470370314511,4.5231548388128e-76,0.19365688670433,0.2574806672809,0.627079881691565,0.629210471132267,0,0.943342384616126
ENSG00000116752.5,0.00724304871895191,-7.00728896390456,0.0146729667265785,-0.0383337715176074,0.0125292481835997,0.913783370989804,1.74822558586756e-09,0.51316178409752,0.715653343052367,0.42131148163581,0.42295719693706,0,0.917454597099288
ENSG00000213281.4,0.0442947378014923,-5.42538090519428,0.0350971095644907,-0.0157863201331283,0.0174271584436892,0.692378804853323,7.17041226682345e-31,0.158732374526639,0.724939818096047,0.506246552107723,0.506519883586563,0,0.936064313377387
ENSG00000009307.15,0.0657213089648261,-9.91244202726064,0.0241771900393335,-0.0214741673908984,-0.000643531686276072,0.0582998440217433,0.014684523589603,0.0116620894559626,0.280291830975502,0.937783698685672,0.937839153152375,0,0.957447031986654
ENSG00000134259.3,1.09838270118054,-2.84547610113592,0.14255616845136,-0.0578683449786074,-0.0880922102119622,0.000157524724298207,5.33430548267264e-28,0.0334266008932745,0.340200058510785,0.224767155792945,0.227815293762733,0,0.884754297140662
ENSG00000173218.14,-0.0157845171503295,NA,-0.000460180680197149,2.15231290663128e-05,-0.0153893534686751,0.763415099219177,NA,0.968909976284032,0.99818579140862,0.237773223204057,0.237776857797741,1,0.88914099639137
ENSG00000163393.12,0.200942397341747,-5.83436707225427,0.0117051670609607,0.0286334401228522,-0.0111961271162082,0.0191805036991919,2.90631249858835e-26,0.484504059763852,0.183758855409443,0.581954603198867,0.584391301823495,0,0.941238333458535
ENSG00000203865.9,0.662117764453614,-5.01351623374382,-0.0345689683262942,-0.00765773418519089,0.00363391768604282,0.0783319451025294,0.0615653044111205,0.747161674243733,0.914300257387486,0.968535690077465,0.968676105003073,0,0.958865567311724
ENSG00000134247.9,-0.165884596485126,-6.50181727266605,-0.00158360427320397,-0.0319004460118685,-0.0104003777486339,0.00226988732995781,1.22137029690186e-64,0.91574291259209,0.286209440022942,0.437002078380778,0.437190989951558,0,0.921962722019255
