nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000157916.19,0.0771685442499191,-6.03754991226795,0.0177320639563946,-0.00207547861362593,0.0062703007017323,0.212044431052318,3.37180362365691e-38,0.353621882691589,0.882079290851697,0.695226019256982,0.696623966010825,0,0.84020422291333
ENSG00000097046.12,0.163199615760348,NA,0.0149221605488298,0.245693861595556,0.062132829745333,0.473116916162595,NA,0.77714614904872,0.0433708316251119,0.273283748861287,0.273406220862417,1,0.731809916051998
ENSG00000067208.14,0.144235593914506,-7.29830976544072,0.0240149237195046,0.032256092192174,0.00464629918604976,0.0135998259133185,2.13097728829368e-07,0.200697801025912,0.131421285044674,0.754344586047852,0.754360539701646,0,0.851702322752755
ENSG00000154511.11,0.149485091680601,NA,-0.0269511697451164,0.0171603892297482,-0.00277206434706878,0.181333742313009,NA,0.491760247693469,0.511485312934855,0.917813396892226,0.917811463900128,1,0.876040175075486
ENSG00000117500.12,-0.0227918138895866,NA,0.00858847209497111,0.0524041043030987,-0.0131650692961728,0.823831330335072,NA,0.647133690279302,0.387392224026286,0.608659393972252,0.608665801113596,1,0.82081894193286
ENSG00000122483.17,0.0371101684808222,-3.56941816629943,-0.0127782065445845,-0.222766421232055,0.0573622558681505,0.894438054025275,6.23470037280799e-10,0.841470666920822,0.134775923624126,0.459442520391271,0.463784829578624,0,0.793681451065963
ENSG00000223745.7,-0.513999451981722,-4.68440903424245,-0.0930207870202105,0.0342123565788779,-0.0310954631956286,8.67386215696128e-08,3.33051831023114e-87,1.07775316867505e-05,0.485632164966736,0.215066314194366,0.215115811153643,0,0.711735373850298
ENSG00000117505.12,0.120353400402287,-8.54156343364583,-0.00756329611752336,-0.00952676062630142,-0.00394684556431857,0.0297227456736967,0.0222592728194935,0.552280904527822,0.758096254553913,0.78367929766778,0.784010247512383,0,0.858080202795139
ENSG00000224093.5,0.854606190405584,NA,-0.0411791203015421,-0.0710985709380705,-0.165025842960068,9.93120029948431e-05,NA,0.334326307681903,0.616904152884054,0.00436948701900511,0.0041913244466516,1,0.306902043873731
ENSG00000023909.9,-0.00796349930255747,NA,0.0252446604428668,0.0128447030211122,0.0573163351003366,0.959056945501916,NA,0.56526618744133,0.665458450192918,0.139851663994235,0.139923626857781,1,0.683634830238567
ENSG00000117525.13,0.0502126581786561,-5.45700285749099,-0.0404290639416617,0.00955646613200175,0.00722034943852581,0.307239560015895,2.9297002146161e-192,0.00528728810118854,0.469005496561167,0.565901574449629,0.566135904235391,0,0.811013024140054
ENSG00000224081.8,-0.158474669099505,NA,0.0126999910529211,0.0667293358117815,-0.00130131268122274,0.162632200414015,NA,0.721190714919734,0.035945031434712,0.965051380054747,0.965051706977127,1,0.882275433767748
ENSG00000117519.15,-0.0410988700478431,-6.53841991942241,0.00404361084906445,0.0118855868804764,-0.0123147868481705,0.423525751054397,3.41624299962464e-60,0.767248104764611,0.366550137210696,0.323772287215006,0.324486590602618,0,0.748981236010822
ENSG00000235501.5,-0.0640411841871845,-5.42524857354686,0.167275321750624,-0.0326280002412098,0.0598893931776396,0.834721211291462,0.0874124754168392,0.359625303292798,0.892538944177836,0.430800407286887,0.448924546614134,0,0.790142316998604
ENSG00000122481.16,-0.250857978745666,-6.25249817636831,0.0891481161719917,-0.106617729665945,-0.0223116298288583,0.0997472856642932,0.00424629236306173,0.30157436176721,0.434434036696077,0.564746761307754,0.567756763281056,0,0.811196013634466
ENSG00000228852.6,-0.103856553761196,NA,0.16330595461904,0.0319924804543354,0.171474522114053,0.781747873825567,NA,0.0443727360256726,0.905745712302641,0.0797196380777878,0.0793902737493864,1,0.6056145544604
ENSG00000188641.12,0.023324785422724,NA,-0.0107127937371877,-0.0350267269353443,0.024757766884262,0.797491988155617,NA,0.760260943924494,0.138765873029047,0.271300258250583,0.271321326006108,1,0.731809916051998
ENSG00000162627.16,0.400840824211696,-6.45449981401628,0.00704526487775924,0.134900286823562,-0.0396859643783442,0.0498286356095084,0.00236742091933833,0.844443276643178,0.0863333157106066,0.463495823057408,0.464325165564942,0,0.793681451065963
ENSG00000156869.12,1.36553423377479,-4.02473379195407,0.235202144620194,-0.0142634765402134,-0.142174524556086,1.47579593364305e-07,5.23003058001456e-09,0.0141880791773842,0.82181028113987,0.0424669442248614,0.0444615672532952,0,0.583746545452634
