nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000157916.19,0.616206221128033,-6.04149459486039,0.0176793767391212,-0.00149534351175578,-0.0100938291287594,0.493639488079305,4.71333530356118e-38,0.354790481573963,0.914803182744227,0.566690328590709,0.568156048282799,0,0.869706450277445
ENSG00000097046.12,-2.36369144245802,NA,0.0236996286329751,0.21602725236417,0.0543348394395142,0.261816383032435,NA,0.653011738345432,0.0624074368445853,0.188565991344303,0.188853000781182,1,0.730591521760876
ENSG00000067208.14,0.63555077697151,-7.28642230749832,0.0215478875992178,0.0320382374266071,-0.00925320452961732,0.443049414165379,1.66108232878134e-07,0.265892036348794,0.134108596305971,0.567430467447728,0.567492467941651,0,0.869706450277445
ENSG00000154511.11,2.16463379566225,NA,-0.0374955196404825,0.0165442012859196,-0.0395225812347353,0.165331977266137,NA,0.347835757138702,0.52683647503598,0.193959983715718,0.193794622975311,1,0.733308361406653
ENSG00000117500.12,-1.15261193867379,NA,0.0080486124470115,0.0543707102997967,0.0210775247041304,0.353438454815291,NA,0.665987143959468,0.368258260225652,0.384889396343657,0.384803030001474,1,0.82675608876875
ENSG00000122483.17,5.11328944648144,-3.54694333783942,-0.0188290552406283,-0.2845390322832,-0.0955083616789431,0.333238050661647,4.61066208578983e-10,0.76707980021588,0.0703248770552914,0.355866188550232,0.35718046292399,0,0.816674046166886
ENSG00000223745.7,-1.38193651279663,-4.67685195648103,-0.0919271258902703,0.0378472188926334,0.0147155378425357,0.384493335496605,2.05589566482763e-87,1.4001589526731e-05,0.442367696591671,0.635279123496996,0.635849404419316,0,0.876354496485042
ENSG00000117505.12,0.102967832589208,-8.47249876985151,-0.00721542110099106,-0.00917174258414725,5.4405982850363e-05,0.911598483566042,0.0155997884489042,0.569548271892201,0.766979608247497,0.997598383620283,0.99754754879011,0,0.920957399442299
ENSG00000224093.5,-0.724191059374005,-5.4876869145099,-0.0316728454176082,-0.0605085944666251,0.019068200134861,0.834603266777084,0.00696362734886042,0.490968102790626,0.682211320618894,0.777861095162149,0.780112371534131,0,0.899544786688735
ENSG00000023909.9,2.30474938021482,NA,0.0238185837248041,0.0120637625793581,-0.0408125940071702,0.257631866790083,NA,0.589009683832748,0.68468125276132,0.304441502948154,0.30417802051411,1,0.790149554986755
ENSG00000117525.13,-0.283552997853547,-5.46441059861672,-0.0399220231241498,0.00942710858207404,0.00706923214331183,0.70011995821995,8.21444920405028e-192,0.0057947162113347,0.473943195523855,0.623921646618621,0.624194089370537,0,0.873504443105113
ENSG00000224081.8,-0.548091056188056,NA,0.0135835307012398,0.0668647553145459,0.0075268271783976,0.768554825516385,NA,0.704698417080983,0.0355543972445368,0.836299949295392,0.836293755133133,1,0.907312942026213
ENSG00000117519.15,-0.9247786619602,-6.58187510788022,0.00406582187658455,0.0127069224792393,0.0163366879737326,0.127077586363594,7.14551453831087e-58,0.763412756043271,0.331177325212114,0.168475334735941,0.171200128311139,0,0.725940250321705
ENSG00000235501.5,-2.56539440553397,-5.08917905657077,0.178670533098857,-0.0447103845011916,0.0532542473945661,0.655184310619419,0.0316528460166664,0.333829629873133,0.854695326461449,0.634850486184766,0.639192268609546,0,0.876502085524998
ENSG00000122481.16,-2.9936119839289,-6.33034268794902,0.0932885578392566,-0.0956024108002334,0.0519389976235406,0.30393523542286,0.00692533241541224,0.279626913334518,0.482520213374257,0.36097361128525,0.363746694761777,0,0.818166223943723
ENSG00000228852.6,2.44525977169065,-7.44976228732498,0.144368848202344,0.000994047156853017,-0.0372672543763129,0.71725469206696,0.804713247773392,0.0730331275287835,0.997077352881744,0.776669500126213,0.776729851221228,0,0.899544786688735
ENSG00000188641.12,0.355857077846982,NA,-0.00889042303034063,-0.038646241531724,-0.00462035364519886,0.765704477825733,NA,0.801845734674132,0.0990291949260269,0.843152787252656,0.843142750575219,1,0.907413304516005
ENSG00000162627.16,-0.860325346821184,-6.27963270644825,0.00475175086618366,0.131516535860047,0.0217104567065794,0.700162030974849,0.000631994937424219,0.899000082307804,0.0997166587056562,0.616261866336776,0.617913201584031,0,0.872813307022805
ENSG00000156869.12,-1.90274463889718,-3.79902293868675,0.245786558560088,-0.036189758237891,0.0536445799448528,0.708763460292489,1.63426751043159e-10,0.0117379193206739,0.574408843861816,0.587267116580473,0.588356326444953,0,0.871627659520517
ENSG00000117620.14,0.941998861580597,-8.57584300421303,-0.0160936324151156,0.0304424398352483,-0.0172144902663495,0.233188559081097,9.84970045878568e-07,0.107831895758498,0.0863783642469919,0.263038568042338,0.266771106738591,0,0.777649426442433
ENSG00000156875.13,-0.932046898087198,-7.7365782951436,-0.0102136679758603,0.128077542316369,0.0158683633242196,0.46319949924582,0.126841322284575,0.748685397342177,0.269121446513512,0.523988852195751,0.528446822652175,0,0.859777976844933
ENSG00000137992.14,-0.591570841238183,NA,0.0990065878828633,-1.19007035201687,0.00819060350365486,0.832142584407524,NA,0.105036204846935,0.0837894739996507,0.879736313782816,0.879738069588802,1,0.910901590844311
ENSG00000238164.6,0.213997530145956,-4.44455308558985,0.0102135550172504,0.0117457458891378,-0.00149986079876229,0.836657261160852,2.81485967306374e-196,0.642856394540768,0.607761059242506,0.941135591481588,0.941117156519257,0,0.915569926672644
ENSG00000157873.17,0.420708310015998,-6.72827781105864,-0.00650240513181089,-0.0035887048668521,-0.00740232200294103,0.275527215901225,2.11884978559367e-236,0.418792865503064,0.656525088976302,0.326763954366203,0.326982474823689,0,0.801060624187703
ENSG00000170989.8,0.0540339574597927,NA,0.0200111597316391,0.0655166964682557,0.00329206469895547,0.970708669860384,NA,0.516722412918853,0.423801585766495,0.908847901573053,0.908850861584881,1,0.913156508300715
ENSG00000185946.15,1.76579616340278,NA,0.0374737319962792,-0.0655816554640714,-0.0345587786812576,0.195773501826526,NA,0.154741509129229,0.31165494450613,0.197050968730882,0.196961461287871,1,0.737940848172803
ENSG00000240038.6,0.870020155501714,-4.82233280281548,0.0692280274711606,-0.0336040431683836,-0.0108278351176678,0.553449706983912,7.81862767462291e-41,0.023263534308743,0.641530679978092,0.707095647677404,0.706797661580088,0,0.886617211787709
ENSG00000198890.7,-0.349627208446428,-4.20070545176934,0.0259378263319588,0.0285189006445499,0.00220801403948929,0.900568858614808,1.81817556701635e-15,0.757115524575877,0.465996756687414,0.967762816055013,0.967708155731337,0,0.917811436231315
ENSG00000134215.15,1.40394924091763,-7.99670571980477,-0.0185206707257591,0.043231355244983,-0.0256827239434398,0.228172348876764,0.000274269852110273,0.255545581611081,0.034219074382007,0.257523027350074,0.260674307408351,0,0.774616532399417
ENSG00000225931.3,3.36703010307877,-3.15629933453308,0.0395238017342807,-0.0555625701622151,-0.0702873941518603,0.614575129033468,1.22922463533039e-09,0.673806489851596,0.867976912479165,0.590255597238274,0.588528556525299,0,0.871693072025291
