nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000137996.12,-0.484098531113423,-5.76754103146676,0.00478169839755904,-0.00668884673546577,0.038591827910648,6.38062946939904e-06,1.51797078439243e-11,0.861113352788666,0.787983097199048,0.146137974897226,0.14787370787472,0,0.809640251594188
ENSG00000181656.6,-0.461935273972829,-4.52842367842071,0.0912484591052282,-0.141717718274176,0.0607805686929299,0.0999025484085898,1.2088886758963e-05,0.214212391575655,0.432663332795058,0.347077012732197,0.349614966754379,0,0.861591103749381
ENSG00000162694.13,0.0829405638014378,-6.53778354538065,-0.000156782883610165,0.0174841529104897,-0.00365954973159647,0.201562375368856,7.17516640087793e-20,0.993085891700658,0.436852259137226,0.812254142466956,0.812232741703209,0,0.948364399509475
ENSG00000170989.8,0.176057447556958,NA,0.00875790089201273,-0.0226912060817449,0.00706595699538605,0.352318188087643,NA,0.82161986853921,0.225541647177466,0.874789364027661,0.874803653382202,1,0.953215464520128
ENSG00000240038.6,0.834439834283778,-3.89100860560584,-0.0189309129628527,0.681758604652474,-0.0787902415749864,0.00827785398409673,1.12403214029972e-28,0.903888622477538,0.447903580655684,0.244867051378219,0.240432895758716,0,0.853610438118522
ENSG00000198890.7,0.635792986726174,NA,-0.261205641449457,-0.775823416269404,-0.115596131500644,0.0196978204252883,NA,0.0380471262723916,0.368860198698224,0.0445841348037344,0.044000131885685,1,0.676978774281378
ENSG00000085491.15,0.167254875704418,-6.20832551731352,-0.00138648266775156,0.19722067911077,-0.000496441609484726,0.0781171109654707,5.75527398158453e-10,0.965094082552805,0.0363637070137374,0.982775774804579,0.982736374987974,0,0.959852985589742
ENSG00000162641.18,0.741315635673074,-5.00243875334934,-0.120671749817674,-0.113955012554997,-0.214999784470108,0.143874153328257,0.064330153411493,0.48441547646521,0.94492632244789,0.0720766088818134,0.07341524874199,0,0.733078489872045
ENSG00000121957.12,0.378589672518099,-4.59887090275792,0.0413175789519119,-0.0360314525328449,-0.0267439418540179,0.00704585013699551,2.35808779669174e-43,0.140214401523907,0.338838647439456,0.417804358787219,0.417658617927084,0,0.872307073077285
ENSG00000121940.15,0.0967872511564367,NA,0.00971914419309111,-0.0724257676682197,-0.000756165626904106,0.320211107767716,NA,0.587940408641315,0.2574072950521,0.973513514843111,0.973513386064652,1,0.959852985589742
ENSG00000197780.9,-0.0413000622552899,NA,0.0287501113425149,-0.670435787174683,-0.0391060781012314,0.676764518157146,NA,0.347892093110998,0.00284296824094886,0.0869814322543706,0.0869626606150515,1,0.761769474470862
ENSG00000215717.5,0.0891613008666104,NA,0.0420315253838468,0.0466196891755364,0.00398865139735372,0.0852199693976849,NA,0.00798018831666197,0.0268991467796076,0.755624412375493,0.755626947636736,1,0.938142959035225
ENSG00000143126.7,0.179264406154659,-6.17064502259986,0.0351592478770629,0.0279673040389447,-0.0180013796499479,0.0590298625940113,4.61932141185984e-18,0.0296567058632366,0.243060660056701,0.416671048518888,0.419658334739416,0,0.872307073077285
ENSG00000130762.14,0.291087739089826,-5.11590101624707,0.0149478559137107,0.0116512243647881,0.0146569671022735,0.234877787321556,1.6045095083277e-09,0.698829851122788,0.79634836082322,0.786577402656216,0.786459723813366,0,0.943471094051662
ENSG00000134243.11,0.0882630257046228,-9.08445822688666,0.00141261040305542,0.0277437512787646,-0.00254319015960326,0.0498922219511078,0.0339997250643709,0.903173231465687,0.723506427865589,0.821638454987027,0.822881509201171,0,0.950359635138667
ENSG00000143028.8,0.216870090706014,-5.41998965779426,-0.027935340491334,0.103116874128611,-0.00401116404415373,0.0296378784032471,1.91552932810863e-31,0.28399374161642,0.694297837812583,0.858512337885644,0.858506119625653,0,0.950359635138667
ENSG00000174151.14,-0.0408303283008281,-7.13937646136069,-0.000898020230912752,0.0373595430372273,0.0509380875085598,0.672899273427922,0.0155175909795225,0.967663000261418,0.429895526134587,0.0320715950413816,0.0382672221000697,0,0.663475849348679
ENSG00000116337.15,0.191394157365324,-5.4191632770938,0.0251489179697036,0.0188074237770802,-0.0484742546260345,0.138979962642045,4.55076243472914e-26,0.383558880485756,0.66442913285402,0.129429851795898,0.129849842466204,0,0.805538713669194
ENSG00000162591.15,0.256696894657698,-3.46758397271654,0.0450880698768062,0.00189735870678918,-0.0138337626442887,0.0691231465853355,8.23692735386277e-95,0.1791546054971,0.973052220253358,0.686203647802748,0.68654106812954,0,0.926843588050016
ENSG00000168765.16,0.333072747732166,-3.60209819001172,0.019443668506101,0.073488730795845,-0.00274288295880466,0.11140111028475,2.78764832506213e-44,0.610378133031444,0.342704676900199,0.956370858086876,0.956784831121502,0,0.959852985589742
ENSG00000213366.12,0.183423965888585,-5.14825988863197,0.00248349632195135,0.00474597580251397,0.0120744425020568,0.00229635757455858,3.50194696631582e-247,0.895631694764712,0.793187336614868,0.41242566472351,0.412642586034666,0,0.872217738270334
ENSG00000134201.10,0.807112982733699,-2.91394424901531,0.172017099777863,-0.00936562980086522,-0.0410380936443676,9.23506010245058e-05,2.42766067583339e-63,7.04615858701882e-05,0.848167358126769,0.402759727738955,0.404160037103207,0,0.869142883431086
ENSG00000134202.10,-0.503691987471347,-4.09724041548573,0.0817506900614762,0.0851538287523691,0.00387781352195565,1.06870812559841e-06,3.70112131710535e-133,0.0603130533793013,0.0114036049435802,0.874194460940611,0.874274750055802,0,0.953215464520128
ENSG00000184371.13,-0.142644851656683,-8.29857367843343,0.050948667298953,-0.0291421555049304,-0.0195029996694658,0.047440999653833,7.32395205680028e-05,0.13165597627971,0.448053124906122,0.228605314843211,0.238146850893088,0,0.853610438118522
ENSG00000116396.14,0.123840921049316,-4.25468470946981,0.0322629459346015,-0.00425011966908795,-0.00020043288411168,0.421747024783947,3.12404585677625e-37,0.427886911551719,0.877641444297115,0.995761928621688,0.995746147836279,0,0.960017350350912
ENSG00000134248.13,-0.172049430162435,NA,0.27333366924155,-0.013116002420795,0.0124921748116532,0.635619660020273,NA,0.0375840054751714,0.859393356836884,0.883080949247338,0.883078495092087,1,0.954779112646191
ENSG00000177301.14,0.222209642687791,-4.36604355964924,0.076625186043622,0.0615124390630279,0.0157721666450363,0.333596921200835,1.85836960090839e-17,0.0569653800827168,0.11281823259521,0.772824978913064,0.772438909418461,0,0.941131190649433
ENSG00000158109.14,0.325212544588625,NA,0.035185806773778,0.00248727484569669,-0.035912751799889,0.00771980369874627,NA,0.117373357422483,0.921722693222326,0.231795985087054,0.231598697166427,1,0.853610438118522
ENSG00000143119.12,-0.751744836145787,-4.83148381658625,-0.123302402915664,-0.0310882461128606,0.130991411098152,0.00938314110575746,4.22303230904015e-09,0.0523280971570342,0.339048898044204,0.0514589735564044,0.0607071637588121,0,0.694509446984944
ENSG00000156171.14,-1.06827956759832,-3.66075079817791,-0.0734073042111726,-0.00498057305615212,0.129748473712429,0.000556979761204902,1.09380898732438e-19,0.181849434740548,0.926719207238846,0.0806142000612599,0.0878863865534325,0,0.761769474470862
ENSG00000173947.13,-0.291206606078027,-5.27220637435995,0.0219508486161074,0.179656521662839,-0.00393317412564125,0.406982333955263,0.0141994091221302,0.862209519188592,0.493636901310589,0.964244745041969,0.96459477062357,0,0.959852985589742
ENSG00000085465.12,0.255755942849461,-6.17222308857448,0.0317362135131782,0.050004371074737,-0.000299086839385225,0.0155046283176222,2.25021133599064e-08,0.277657853984253,0.113230711174787,0.990633255446532,0.990633480504997,0,0.959852985589742
ENSG00000260948.1,0.301727605961944,-5.07677122518271,-0.0246132397928699,0.0346801929569165,0.0519229066835722,0.189522284029312,0.00043589629418595,0.695055027717688,0.514508046053989,0.353768251729832,0.357505470064876,0,0.861591103749381
ENSG00000116213.15,-0.148237666577137,NA,-0.0444606830115872,-0.00601084208332022,-0.0041157847589072,0.284711582038841,NA,0.223909099407517,0.833740931089957,0.901059941047026,0.901063976296168,1,0.956186365240216
ENSG00000121933.18,0.784890729247302,-3.63795678347758,0.131721770062037,-2.53096455501838,-0.123763229531368,0.104268982267108,7.02055077831644e-06,0.579747339909463,0.0631421342848282,0.276098993731824,0.289857052422638,0,0.855514448322211
ENSG00000282608.1,-0.178840348883209,-5.26674957505892,0.0139493975399837,0.171222523125354,-0.0143008864052062,0.268548510498392,9.1217809625885e-13,0.654074301713154,0.0153560856826158,0.709841828844625,0.709680283707051,0,0.929720120136291
ENSG00000116473.14,0.107715641163008,-6.69954177571648,-0.0261565241941014,-0.0446231653290202,0.00348350284803251,0.0186570738020756,6.17784468193503e-75,0.0308934604619705,0.204143536503842,0.747729538407143,0.747779383736358,0,0.936171101244749
ENSG00000231346.5,0.358506115296371,-4.00019408372055,0.154911924980614,0.0072012944870398,-0.0125161607516477,0.0438531112899285,1.33509156585766e-52,5.60393422272809e-06,0.841343105189228,0.768722373328834,0.768770189476738,0,0.939985367124134
ENSG00000227372.11,0.0979067237156222,-5.95019025389005,-0.0150847148633236,-0.00236312731546689,-0.00511724776653722,0.257767175884583,1.52335921633959e-41,0.350579490709359,0.89745422064885,0.805652491194666,0.806162987030633,0,0.947801287781517
ENSG00000064703.11,-0.0953172849142893,-7.57796872533674,0.00568646332707772,-0.11959502918575,-0.00246278686337649,0.34830279014199,0.00619529674751554,0.815454635726271,0.627442553823357,0.915608812713486,0.915759013122758,0,0.956186365240216
ENSG00000231437.3,-0.324453481430151,-3.82314801776999,0.0374475062250118,0.0392646824076531,-0.0358902699436547,0.363181589842627,2.43585321620163e-09,0.620795298842788,0.319125159992074,0.670082605919057,0.671115481237169,0,0.925907978233022
ENSG00000143079.14,0.0249468774253853,-5.39144924924281,-0.0223957416803711,0.00775478591243108,0.0179687454240476,0.806896830072328,1.47988133125083e-26,0.292354612936695,0.717406226663756,0.462195876486774,0.462597918644581,0,0.888227208721406
ENSG00000134245.17,0.157162598689056,-4.87280367294975,-0.00591515424874054,-0.00199115430503494,0.00889061745842561,0.34151842492164,8.35084615260841e-17,0.856108036003624,0.978318319861803,0.818242456988327,0.819268013191575,0,0.949594384780975
ENSG00000007341.18,0.0374283606131138,-4.4355291221834,-0.0297606128079079,0.0307855811167972,-0.0618172655924806,0.826338639043351,2.26634633460364e-13,0.517679441478211,0.629817138192906,0.137310738102691,0.140065321348929,0,0.80735819019864
ENSG00000155363.18,0.142921175831933,NA,0.0131373578028738,-0.011102239047068,-0.0216284159800901,0.0136014443652371,NA,0.430593533215269,0.451086635368759,0.115136287994611,0.11508340390763,1,0.793316522822675
ENSG00000155380.11,-0.265575332835629,-6.91622371061603,-0.0682791959329816,0.00473486111139444,0.00710773781657011,0.00962398655042065,1.35786512103341e-05,0.114323792207434,0.777023283147503,0.778408387256787,0.779372548619628,0,0.942923553295144
ENSG00000130764.9,0.025300472712666,-7.19468022139543,-0.0224946787175136,-0.00859874679446518,0.0139950793683643,0.550269537489087,3.4373686484518e-39,0.209772673738181,0.718993842778283,0.165956682392843,0.169216725048262,0,0.813433951477039
ENSG00000134262.12,0.172209310687364,-6.02468960421049,0.0395259473598574,0.0858437853097718,-0.00274176078759383,0.133871452406491,4.61559474878968e-07,0.256937685631576,0.0763766898390372,0.920776399777149,0.920807053726016,0,0.956317131205703
ENSG00000163349.21,0.158301792920818,NA,-0.000294445822501905,-0.0683327838743377,-0.0807323681043134,0.244488867202947,NA,0.994914519293208,0.224689110422815,0.0228159522704906,0.0227567764682997,1,0.548834459148113
ENSG00000116774.11,-0.603566825529978,-5.96948336402488,-0.00784011225060498,-0.0321965577497259,0.055321138157374,5.04944040286924e-06,8.05500611881885e-23,0.875172414090237,0.509354335608921,0.0876652876715765,0.0875052583146424,0,0.761769474470862
ENSG00000009307.15,-0.229003664398105,-7.359262568972,0.00255079430333658,0.0399285913548551,0.0222419569911192,6.07468079820109e-05,3.97271183851591e-39,0.908452828981427,0.200559018425838,0.0892637064181031,0.0984896328933433,0,0.775714018074885
