nm,int,od,b.gPC1,b.gPC2,b.PF1,b.PF2,b.PF3,b.PF4,b.PF5,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.PF1,e.PF2,e.PF3,e.PF4,e.PF5,e.cnd,pval,status,qval
ENSG00000137992.14,-0.933953977722166,NA,0.0268274868011098,0.0437156714535175,0.00214378673153681,0.0504158902957514,-0.0346472636401621,-0.0340958728613338,0.0542234808409624,0.0234210872650618,0.7278496846486,NA,0.457715339985147,0.182276285546349,0.964190642538806,0.291455084687382,0.495734091893986,0.488195099949695,0.252424348151892,0.760176966563753,0.760176077880173,1,0.889221553556371
ENSG00000137996.12,-0.647658608213976,-5.86965953548358,0.002431963895012,0.00117153458742477,0.0302820516060673,-0.0422122588464106,-0.075141450063403,0.0038458643884341,0.0414256594389729,0.0281827301650567,0.716824594522756,4.48316577260485e-11,0.915436599138303,0.962769154541981,0.378086106429316,0.138196663383353,0.0237175820450366,0.910584049435624,0.174695385600538,0.58074132884785,0.580998119278866,0,0.870550877714662
ENSG00000079335.18,5.31454161393761,NA,0.022197155215179,-0.304296207428899,0.161886803397904,0.0923779756077253,0.0659155377154748,-0.133408364932209,-0.143347716775483,-0.150075464517927,0.263606157098571,NA,0.659958741528944,0.0859599092221633,0.0759415957290356,0.315354302413296,0.451973688840416,0.207599991623661,0.0585527499325522,0.267357778627392,0.266839770116032,1,0.792675643673962
ENSG00000162694.13,5.67323602328274,-8.33767707876038,-0.0435647069700407,-0.0184344510850724,-0.00335893760210677,0.00151479631904711,0.0553925480814694,-0.0629746988365274,0.0178121743148279,-0.156017434585634,0.115051333263214,0.391637982567186,0.79633557677073,0.669848499108019,0.952530239062016,0.976399091215375,0.423552558924832,0.332758671802393,0.698537985645137,0.129309836577911,0.164015550070591,0,0.738627231241111
ENSG00000233184.6,12.5360967519288,NA,-0.0525088044184304,1.97375877606046,0.0896154201911001,0.195098173521517,0.167805997484074,-0.308156202434992,0.097943955961506,-0.340576472680574,0.0567815740309639,NA,0.681028915150554,0.203950292910082,0.594922911452833,0.136390511257782,0.265384039915052,0.0535090354064031,0.396995512194931,0.070362954727823,0.0692887163469326,1,0.687511576480563
ENSG00000170989.8,-3.16795720092912,NA,0.00845833625041493,-0.0157755019440654,-0.0783293748958855,-0.0625504469805213,-0.00471929723682759,0.0115118770134778,0.0281758870222965,0.0958597220956855,0.29121090012719,NA,0.836219518137954,0.462859253715524,0.203460710146638,0.223194370779164,0.929312607504991,0.86254608745705,0.488431463757495,0.261733548002543,0.261686543487074,1,0.791865327594124
ENSG00000185946.15,0.932112774382218,NA,-0.0356144420452987,0.00327966887556812,0.0504644427354475,-0.0312238676713758,0.0302522824744338,-0.0157701760307754,-0.022871093455894,-0.024560963598093,0.607494302078752,NA,0.429702439459101,0.932507886315009,0.197008108857764,0.339926670516936,0.429711935246613,0.723995471719042,0.473199346327228,0.634749956298889,0.634735673089389,1,0.877773834469357
ENSG00000240038.6,0.706028584362495,-6.21194721132552,0.123381475159473,0.779955241218551,0.0185806468699556,0.00493404828349605,-0.0236402763151802,-0.00453241223335261,0.0508311802304986,-0.00374927532561606,0.703609326221116,1.29507645433144e-09,0.0489002101890342,0.186071653661851,0.631873442947003,0.877732025729825,0.578667568395893,0.909384118368909,0.235175855365759,0.943728376800822,0.944065989010512,0,0.90584644875325
ENSG00000198890.7,0.753272354356549,NA,-0.000774729740887328,0.042503373779635,-0.102776450960123,0.0698450226604286,-0.00394529987345926,-0.103001132309767,0.0380958405724734,-0.0258445680267162,0.796172142925181,NA,0.992234793563344,0.339095187152125,0.166624480131882,0.28125426536233,0.953657803177496,0.128908206595988,0.442792624870149,0.756136456486917,0.756156205770508,1,0.888729570293476
ENSG00000085491.15,3.62851584836056,-9.09634126279102,0.0431717862386798,0.204625369498019,-0.00328143058013615,0.0547893388825281,0.000297290121404354,-0.0498783058275831,0.0393022227953887,-0.0990718895625087,0.00648316407753154,0.520645734984517,0.0831672031547389,0.0206519856590744,0.909181737287193,0.0196828995945316,0.992090150680174,0.0903528528591094,0.0871466829649149,0.0091855991798286,0.0138724324106482,0,0.525085056716705
