nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000137996.12,-0.423900405206455,-5.6262180395615,0.00252068979795708,0.718870039003553,1.82902023820544e-13,0.940277824152912,0.940215187751559,0,0.894300301404758
ENSG00000181656.6,0.573341876826516,-4.21247093261339,-0.0215356495385981,0.804844975258415,1.78944643759951e-07,0.744502981327473,0.744247523847559,0,0.874430491427461
ENSG00000162694.13,0.733723106212722,-6.58732362429335,-0.0189707599859716,0.168119344433436,8.96476301684156e-19,0.210579178678411,0.212037351826165,0,0.745944278057474
ENSG00000170989.8,-1.42951884775913,-7.42305423030036,0.0460405781112698,0.317438285912838,0.162035368326427,0.256934404749453,0.259011086690853,0,0.762163151878537
ENSG00000240038.6,0.440904242303591,-3.81114226345355,-0.000979442320488045,0.835411157953391,7.41369250639596e-29,0.987163659927705,0.987038884690242,0,0.89768357599662
ENSG00000198890.7,-0.0757378493234736,-5.42035660961914,0.00773380632483088,0.975646033578906,0.00686923484852737,0.912338274358719,0.912648726064988,0,0.888654208312736
ENSG00000085491.15,1.94461149235829,-6.25493175236659,-0.0510427268650698,0.0445235159067659,1.92786483921772e-09,0.0631058039303111,0.0673504867422934,0,0.611973923869812
ENSG00000162641.18,-7.57833740919492,-5.23853085525166,0.208735728886347,0.0379138432805134,0.11695634171775,0.0423779229771848,0.0467382178712396,0,0.559699923539763
ENSG00000121957.12,1.57209171267333,-4.52117020955338,-0.0372812690028799,0.221976489776198,2.98796079762763e-45,0.309764905502599,0.309574759906778,0,0.772172641732197
ENSG00000121940.15,0.915330352983541,NA,-0.0232208386069456,0.232503303561803,NA,0.287896855120219,0.28779978792129,1,0.772172641732197
ENSG00000197780.9,-0.362304988907583,-6.46870427775121,0.00735048806725399,0.744079166619499,4.8785792737215e-09,0.816630301313684,0.819814411468043,0,0.882240787790101
ENSG00000215717.5,0.134995130782247,-8.46103610169972,-0.00077634419330274,0.747047630102535,0.008972470576588,0.948051318560894,0.948264681356755,0,0.894300301404758
ENSG00000143126.7,-1.10318763986794,-5.95777944622874,0.0338488911555696,0.225946004530871,1.71249507947358e-22,0.189389223864902,0.189869048447332,0,0.739941913443558
ENSG00000130762.14,0.955313320904826,-5.00839343952364,-0.0172295818083092,0.597347725703087,2.23951614240722e-10,0.739018101294408,0.739447301214664,0,0.874430491427461
ENSG00000134243.11,-0.0750430570212522,-8.91536789424521,0.00424232250022273,0.877008674131457,0.0144883437572685,0.757739107457912,0.757755687058864,0,0.874514922269293
ENSG00000143028.8,1.6420822739704,-5.46152248066762,-0.0412475679311569,0.063331300520472,2.92518612636908e-30,0.0998529159110897,0.101572922447003,0,0.654106462326295
ENSG00000174151.14,-0.766186630458882,-6.26427681130017,0.0260347878172679,0.459975510078591,3.21147176079425e-06,0.374295591560772,0.374471300717555,0,0.800889641492587
ENSG00000116337.15,0.476564340181603,-5.3462274695973,-0.0135690591684237,0.646410136656066,1.39692431358946e-27,0.646759930998705,0.646993608520703,0,0.856303148960838
ENSG00000162591.15,-0.631563832793277,-3.44606169636335,0.0235912605648941,0.679016383685337,1.98458738292634e-94,0.586633129161295,0.586118335094197,0,0.844950299396429
ENSG00000168765.16,1.56876797171337,-3.56433068837599,-0.035707585161491,0.36836730105847,3.40732004684962e-44,0.470330257201101,0.466987478055437,0,0.822911367989025
ENSG00000213366.12,0.00798440387523332,-5.14351650769355,0.00637949011865033,0.988237235297559,2.64060471163178e-247,0.67941689182257,0.679444797969085,0,0.859807643410706
ENSG00000184371.13,1.17933480539497,-4.03284144015446,-0.0469056392834101,0.214300579102474,1.23228980857901e-133,0.0829760817920593,0.083417683419396,0,0.622586616796064
ENSG00000116396.14,2.7387441802123,NA,-0.0774926377686877,0.411332677570892,NA,0.415760766558378,0.415258116032598,1,0.815703699044256
ENSG00000134248.13,0.810285492669833,NA,-0.028526554922398,0.68750360760696,NA,0.62157845647453,0.621691211587751,1,0.850355534296088
ENSG00000158109.14,0.524706484102199,-4.10014410344067,-0.00731770614995039,0.748659336163481,6.25818956011397e-20,0.875729230665029,0.876512190999026,0,0.885629560235255
ENSG00000085465.12,1.17567821468734,-5.64166869599006,-0.0421455152327239,0.622521223273766,0.0532338831567147,0.531381006774444,0.54320578289959,0,0.843106395884393
ENSG00000260948.1,-0.683737821478274,-5.95656304918664,0.027006208586725,0.469986803389437,9.13291501892543e-11,0.318537419539937,0.318670153396949,0,0.772172641732197
ENSG00000116213.15,1.18016646133312,-4.86576091608194,-0.0190875707948591,0.569892924126554,5.17441081248813e-05,0.746241502474514,0.746179349211411,0,0.874430491427461
ENSG00000282608.1,0.0997510990631096,-3.26728864583616,0.0136016350795686,0.981871250496948,6.20936879967741e-07,0.913432447385272,0.912013255433206,0,0.888654208312736
ENSG00000116473.14,0.00851742425011939,-4.96317649299318,-0.00724733330073317,0.99615391943768,9.45992880108941e-17,0.884601368215676,0.884916145676953,0,0.885629560235255
ENSG00000231346.5,-0.057159663278669,-6.57785665187763,0.00515870157741269,0.873069865120723,4.04448164750939e-82,0.613083329763992,0.613835592285366,0,0.847384739068812
ENSG00000227372.11,0.725404110652332,-5.80098315763809,-0.0235329090244901,0.510261366708855,1.26834586975879e-17,0.451109249420151,0.452400234805248,0,0.821699162647023
ENSG00000231437.3,-0.327003471294395,-7.41069987559063,0.0119250086525615,0.691748598917666,1.40607303664328e-05,0.610582817007509,0.610674589212079,0,0.847384739068812
ENSG00000134245.17,1.10603288956776,-5.3675096396294,-0.0286037661246575,0.160014469703976,3.42206318245783e-27,0.200841778204031,0.202394347537962,0,0.745944278057474
ENSG00000163349.21,-2.46991336156851,-5.4494758869854,0.0645968383827909,0.571530365397248,0.177719130350985,0.60261089214818,0.602377413142572,0,0.846769921571356
ENSG00000116774.11,-0.599771659869314,-6.98649128321196,0.0130301804083501,0.642009830240531,0.000849838698861487,0.721944416273515,0.722909666342146,0,0.87235990771942
ENSG00000009307.15,-2.28748241177083,-3.77171076616138,0.0623565415606685,0.660343740812648,1.31357777289772e-05,0.671396447645913,0.670638453931788,0,0.858697413377621
ENSG00000134200.3,0.427103941396995,NA,-0.0131288286371508,0.847765323467925,NA,0.835892651513896,0.835890233138709,1,0.882240787790101
ENSG00000118729.11,-0.209944233419665,-6.43687143748455,0.00959766457010099,0.861130081926878,3.49453124178614e-05,0.777267150791181,0.78006987766348,0,0.875586621476096
ENSG00000116198.12,6.66256745162402,-5.85597388206158,-0.193193786842755,0.205404749375137,0.34673075676672,0.197830843540993,0.247020506337922,0,0.755990252353236
ENSG00000134256.12,1.00826321698064,-6.94638680451803,-0.0258501726892973,0.00454390447977974,3.39493600483812e-96,0.0106772046962294,0.0118073726881985,0,0.384764337233277
ENSG00000116830.11,-0.845757544868823,-5.02599626422591,0.0296714697087855,0.624957027464444,1.3373862021116e-09,0.546794546435196,0.548085250930604,0,0.843794368333236
