nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000272420.1,24.3767667330839,-3.61935097338251,-0.579624946686106,0.133017175255653,0.0104010983228845,0.128319401928124,0.134938020918844,0,0.690213748059163
ENSG00000117525.13,1.12131858201038,-4.23844847318132,-0.0224963733862813,0.472339501007596,5.74431649280662e-56,0.539833534966705,0.540677949257374,0,0.835264093424629
ENSG00000143036.16,0.420877251157578,-4.10622896656082,-0.0134479534903688,0.724671944083821,9.98337590160175e-58,0.630541048121792,0.630532123224729,0,0.84588240264331
ENSG00000117519.15,-0.753522406644959,-6.03108136057857,0.0145607858183066,0.328423241072264,2.4480190669909e-41,0.421925481127332,0.42468132839174,0,0.807173497465447
ENSG00000122481.16,0.125683079705631,-4.74185847912587,-0.00692468641500988,0.943743313141776,7.5190005194379e-13,0.867372183837128,0.867450258569643,0,0.879250721909955
ENSG00000188641.12,0.739361022241269,-6.23045293509535,-0.0152610839603209,0.255794225361436,5.92908328258925e-37,0.314307820539487,0.314429695556403,0,0.778762379545612
ENSG00000099260.10,-1.7623692115804,NA,0.0379752429245045,0.205984971862961,NA,0.243270924668177,0.243135623748024,1,0.754281769718525
ENSG00000156869.12,0.0361878313038659,-5.25658614638705,-0.00457455323415676,0.982171414115206,5.05110892289181e-15,0.903582176356343,0.903635363276376,0,0.880096447254355
ENSG00000162688.16,0.852162212028045,-7.92664675750723,-0.0179360730376683,0.257710932891135,0.000566209068444122,0.305496829257904,0.30583231005331,0,0.777069528176464
ENSG00000157911.9,-0.475501937724521,NA,0.00953647763905163,0.513296785917929,NA,0.57489167129755,0.574843432751506,1,0.839906365241122
ENSG00000137992.14,1.40249235982731,NA,-0.0350271432567613,0.29618062233295,NA,0.263453706708434,0.263348518051652,1,0.765141162368481
ENSG00000149527.17,-0.281645981552935,-5.49099793971443,0.00303549074472046,0.648213995245519,7.39385620181389e-158,0.833389819718665,0.833598898527506,0,0.876428737464202
ENSG00000185946.15,-1.655805167038,-5.80204648464864,0.0405915977401849,0.12365501327265,8.37933353402578e-12,0.106702615607899,0.106815160422576,0,0.656123961810246
ENSG00000240038.6,-2.08589764893449,-3.76822209195786,0.0421454649140063,0.427957722025944,3.21040725703293e-21,0.495221157290424,0.493052086968585,0,0.825371009325693
