nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000157870.14,0.039354483912831,-4.68370432317501,-0.0437058058306944,0.762630709473251,2.37113772258827e-20,0.180891329551696,0.184211298425505,0,0.907046747912145
ENSG00000170989.8,0.0482688444489084,-5.12450758362979,0.0308982597397049,0.796748975327036,1.26757351251006e-15,0.507726096885784,0.508197566142725,0,0.973694562775532
ENSG00000240038.6,0.427540666148088,-4.22692067170575,0.00222312059036594,0.00567414849292854,2.71303228872084e-58,0.954712807399533,0.954710387984078,0,0.993273530730229
ENSG00000085491.15,-0.13611601193957,-5.4152829417371,0.0113239651149971,0.0801169530605126,2.78778880257129e-33,0.575339354725507,0.575548230862316,0,0.984907555654429
ENSG00000121957.12,0.259782912716823,-4.47382543227327,-0.00567210743292562,0.0101424809712529,5.42339827445051e-82,0.823651482957521,0.823614369732406,0,0.991674970127167
ENSG00000197780.9,-0.0938763000886398,-7.56456876139595,7.77953606307503e-05,0.145627764623146,6.0711216536858e-05,0.996140835056578,0.996176718115209,0,0.993892773579563
ENSG00000215717.5,0.187876953522375,NA,-0.0156105397144561,0.0234626175242378,NA,0.448980109373756,0.448917236131057,1,0.972187409529611
ENSG00000143126.7,-0.0574416432522322,-6.4089731126335,-0.00461099079512605,0.307729074877554,4.55148597926732e-28,0.748723473665405,0.750449228008195,0,0.987317459444138
ENSG00000134222.16,0.143408963821773,-5.10821715254789,0.00409291435003511,0.14831050447485,3.71498800528482e-35,0.870194296002327,0.870118898172784,0,0.991674970127167
ENSG00000134243.11,0.0870919382741972,-7.69740559602041,-0.00109620572330816,0.010473362527258,6.16848861287999e-19,0.904826546176033,0.905028113460003,0,0.991897859303931
ENSG00000143028.8,0.213497511587965,-5.10755192206217,0.00310442899439171,0.00586206728644355,2.74337293377708e-55,0.877955213514148,0.877990677489183,0,0.991897859303931
ENSG00000181754.6,-0.129477465620838,-5.9127188393024,0.00458422097501512,0.0832570829731179,3.81708876630838e-24,0.815179610243024,0.81579808958559,0,0.990286685030904
ENSG00000142611.16,-0.319758858564367,-5.78576851493929,0.0386492762242828,0.156910079542722,0.00233508909592652,0.485469913356623,0.485688240319428,0,0.973094337694445
ENSG00000168765.16,0.186468016525618,-3.8530018158777,-0.0097469288674041,0.201998950788777,1.07251160688501e-65,0.795310559086458,0.795765524669341,0,0.987317459444138
ENSG00000213366.12,0.279201872117123,-4.64614967889576,-0.0123839217622983,8.1278168036265e-06,4.03233474621553e-276,0.440987298384405,0.440412347409087,0,0.972187409529611
ENSG00000134201.10,0.72540381024492,-2.47112293539713,0.00281069123945261,0.00161138679001895,1.38932903724625e-53,0.961207449475557,0.96105431433002,0,0.993892773579563
ENSG00000134202.10,-0.694466975708518,-4.45595970591254,0.0494550017982237,5.09885887306035e-19,4.49499385323555e-154,0.0122110788301297,0.0126585204085311,0,0.680385670684695
ENSG00000184371.13,0.0716583918773528,-6.61162319589209,0.00638896708770959,0.09466852629295,2.88440374613341e-76,0.543277369980046,0.543316934884774,0,0.980549580326922
ENSG00000130762.14,0.529987672881371,NA,-0.0533017758808446,0.00237798642116115,NA,0.192025588895006,0.191293013739919,1,0.907046747912145
ENSG00000116396.14,0.112792231707665,-5.28939022409284,-0.0495949214586665,0.162040843643508,7.47181116535141e-40,0.0169458367850593,0.0176461317628503,0,0.706923338014938
ENSG00000134248.13,0.0852019478581656,NA,0.00801291876809984,0.317217343909191,NA,0.704249026913983,0.704261059317515,1,0.987317459444138
ENSG00000162591.15,0.259222375063002,-4.23799602736517,-0.0360679528148345,0.00444526599877565,1.37122990409171e-128,0.125505636865582,0.126469171444563,0,0.900417287805606
ENSG00000177301.14,0.0204052062060788,-4.28354075577139,0.0913819190277411,0.927765265780681,4.01388262739903e-15,0.110937755271132,0.110974056923762,0,0.900417287805606
ENSG00000143119.12,-0.178029848930245,NA,-0.0103529492186296,0.438277864353034,NA,0.85497328175044,0.854994952388848,1,0.991674970127167
ENSG00000156171.14,-0.340506427135686,-3.61987993291672,-0.0310079944927696,0.11482206980766,6.90948167251931e-31,0.574698746718941,0.584511832862844,0,0.984907555654429
ENSG00000064886.13,-0.0416800888002118,-3.13124189235975,-0.107763153085256,0.89381889029961,1.76721902923518e-12,0.190423433191772,0.198664224458811,0,0.907046747912145
ENSG00000173947.13,0.299218377291478,NA,-0.0367989677989534,0.00220106656171855,NA,0.139474768704226,0.139306232877399,1,0.900417287805606
ENSG00000085465.12,0.439773598768723,-6.95331201411868,-0.0355973374156028,4.45133780266613e-07,0.000241764677641785,0.104095996649997,0.104208792317029,0,0.897151426894043
ENSG00000260948.1,0.60671423157903,-4.51807764447154,-0.0377815217458604,0.00225699002866804,1.5215626217385e-08,0.443398916263888,0.443801756933321,0,0.972187409529611
ENSG00000116459.10,0.0866548760733151,-8.18695992861302,-0.000987897019674728,0.232641222665599,0.0105474216698771,0.959670901225846,0.963061211860991,0,0.993892773579563
ENSG00000143110.11,0.113176893348524,-5.94187888946672,0.00652714255839406,0.18510583167446,3.61088392243618e-22,0.763436412946133,0.763399090449991,0,0.987317459444138
ENSG00000121933.18,0.461053672621023,-2.68419991218452,0.0148666087740371,0.259009528822907,1.10015255053422e-12,0.887735512055732,0.888024394167081,0,0.991897859303931
ENSG00000282608.1,-0.292339525620318,-5.25463032406923,0.0228279793496556,0.023236971166725,1.37705188119325e-19,0.483368480793768,0.484273021802177,0,0.973094337694445
ENSG00000116473.14,0.128308367582666,-7.87251744100208,-0.00557431912133224,2.07514715085834e-05,1.1026855197815e-41,0.470643889877623,0.472533858500674,0,0.973094337694445
