nm,int,od,b.gPC1,b.gPC2,b.PF1,b.PF2,b.PF3,b.PF4,b.PF5,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.PF1,e.PF2,e.PF3,e.PF4,e.PF5,e.cnd,pval,status,qval
ENSG00000157870.14,1.51316349850273,-4.8982614540631,-0.0851661821563312,-0.00837680389445387,0.00765196444278619,-0.0278036803734747,-0.0518762549065664,-0.0496561559693254,0.0280477825107954,-0.057046284344894,0.15740769600127,1.67127009261789e-16,0.0378950225312797,0.734235376051713,0.823081106963298,0.428077518520935,0.130002837979947,0.185078695386645,0.37855036057241,0.125687178075235,0.128434143984272,0,0.755698698684898
ENSG00000170989.8,-2.09550482088607,-5.4035604373131,0.00166608031643777,0.0142105275809995,0.00701182348547344,0.0988042763791159,0.0170834912728547,0.0411841050388054,-0.011089781367194,0.0785350680778933,0.200859790291087,1.95530707637946e-12,0.967298360324967,0.519958952149773,0.875156380931957,0.119205192061906,0.681341624825456,0.33193785533714,0.775732268479872,0.167017989705992,0.175431232828851,0,0.780625205157172
ENSG00000240038.6,-0.13411380985218,-4.42807769451658,0.20399512380965,0.0460679368653078,-0.0157503981405053,-0.0276137619708574,-0.0466023080046419,0.0117850128008637,0.0383522227569814,0.0178005160944292,0.914327247885628,1.06236989596243e-54,0.0169582031999326,0.592349010454106,0.63186353728478,0.511382545719429,0.186984681703617,0.745698336190618,0.253945661227453,0.682724937646321,0.682912826878743,0,0.911981176660815
ENSG00000085491.15,-1.06518561636965,-5.67671157923324,-0.0143391265645976,0.0300890157514802,0.0388882693790634,0.0125992465781473,0.0120819365895406,0.0148856660256181,0.0244872820475731,0.0341649938983943,0.139630397013982,3.27063260740436e-25,0.485814829838004,0.204011003653518,0.0768485740340336,0.643635111109574,0.59009783174367,0.433575035132018,0.302665641122387,0.173780091643829,0.175415737664165,0,0.780625205157172
ENSG00000121957.12,-2.09979051655124,-4.93475957276851,0.0592987042766831,-0.0365772845807852,-0.016914618844671,0.125474858865066,-0.0133208412115299,0.0041100204842523,-0.0682020357818624,0.0812433991476543,0.0161215265402684,6.22738330039399e-62,0.0021836025092671,0.199755532302306,0.444795845754254,1.1984372178229e-05,0.56900021368019,0.858924003971108,0.00312900223513291,0.00736378911185658,0.00824917784825673,0,0.542158568908247
ENSG00000197780.9,1.577038168286,NA,-0.00105066712080198,0.0118890561311595,-0.014848022264715,-0.0235804153366244,-0.0150067690565422,0.0357397385458783,-0.0267031394845658,-0.0581849810788197,0.0123091284064999,NA,0.964076676872781,0.395704873211513,0.355425453435499,0.201162019383025,0.35916358833477,0.0338183977833761,0.146952245886297,0.00773796047657377,0.00772551190564908,1,0.542158568908247
ENSG00000215717.5,-0.0768343098676408,NA,0.0208347841042064,0.119641027620791,0.00391756779196363,-0.0115795286537449,0.0133745505457606,0.00207003291991505,0.010347718672382,0.00786034994152379,0.923566139137024,NA,0.434502161602268,0.660037954531576,0.879545724920447,0.672612253427646,0.533828107984922,0.921354993627148,0.65546203400466,0.780632004703784,0.780628067377146,1,0.931961965028464
ENSG00000143126.7,-0.0832512482200683,-6.54466197632196,-8.83137543948041e-05,0.0174063227412637,0.00234164204719804,0.0174490800678362,0.0145353556809606,-0.00487620986408962,-0.00949278833500904,0.000285339284077094,0.879907985759405,4.05547871170971e-24,0.995109975645472,0.527337095868248,0.882082810381384,0.363734602420151,0.406473063611353,0.770910866935545,0.537996954631094,0.988138598371819,0.988060113328355,0,0.945844880504829
ENSG00000134222.16,-0.129982391323404,-5.659323469129,-0.0417500187813244,-0.129222255726443,0.0194578755741108,0.00529431588051658,0.0932790713508379,0.0110535754399635,-0.00106945183719514,0.00991612182396255,0.890408691112892,3.65922660550596e-23,0.077322855238681,0.182680928430929,0.491104788502646,0.844362516113633,0.00248403727401119,0.737240321403218,0.971684629385659,0.76330740758079,0.764420544938878,0,0.927167844437823
ENSG00000134243.11,0.10108158004373,-8.13797720737231,0.0104569937868191,-0.138909791112124,0.00802127714512922,-0.00329505982788035,0.0142967168524321,-0.00217547381326087,0.0146908146853631,-0.00125703364303635,0.758604838860044,9.31532291568787e-11,0.356487299061104,0.139640969194047,0.549464848641218,0.791408279225776,0.180040308164097,0.826836332189277,0.131994969545844,0.913302494132891,0.91330375132759,0,0.941718227500682
ENSG00000143028.8,0.149581757779797,-5.33193221784228,-0.0189190769574949,-0.100134073409785,-0.0522482005689314,0.0189809933925582,-0.000268309327064913,-0.0114964046706983,-0.0305661350640943,0.00192272852302934,0.836329771241744,3.10400473697851e-45,0.364405906282004,0.308476409850158,0.0232827894147025,0.469098890490209,0.99003656330443,0.595358426312712,0.123365733943159,0.939094808889172,0.939269918400634,0,0.941718227500682
ENSG00000181754.6,-0.417828368282481,-6.23311467068605,-0.0231968775305039,0.0134521774588827,-0.0170047889635671,-0.00981175447277141,0.0156949522114331,-0.00349736097949576,0.0244353139223054,0.0107842437505162,0.542143482430103,1.00740405946713e-16,0.26759053949374,0.599308082447837,0.424539028772035,0.69620003661252,0.446947818337379,0.85714695326897,0.191161657435718,0.650206476546441,0.650318277551125,0,0.90681187858186
ENSG00000142611.16,-0.31147649148592,-8.3895563121077,-0.162117371969225,-0.0118772843973433,-0.00604714228338925,0.0341156500641173,-0.0344735000969337,0.0300882263560965,0.0318602347244973,0.00593990219634556,0.879964715143349,0.699964435279478,0.00626463112448744,0.679080020854433,0.910779958111385,0.611039335869958,0.455375685486501,0.478934304426831,0.453475514455211,0.934056324859766,0.934430998076639,0,0.941718227500682
ENSG00000168765.16,1.56470707662377,-3.9612228197419,-0.0121436539985631,0.0119666415558146,-0.0376506347772799,-0.0761978303373625,-0.00776237393531577,0.0554851979426835,-0.0423890252914575,-0.0494286589994063,0.226124013234861,1.02094893607517e-64,0.696328782118187,0.733543556759298,0.320052942989007,0.0753911837705813,0.851970415714241,0.0919596050007219,0.232080870652734,0.270356675246231,0.269836053670013,0,0.818651596137763
ENSG00000213366.12,1.09932847860589,-4.7729770213284,0.0410923444179142,-0.0152264127998824,-0.0068187274977866,0.0234530510455433,-0.0158454340286461,0.0362244381576377,-0.00892061676322146,-0.0303683113549884,0.0700255186621409,9.71228174839293e-277,0.0258103986978815,0.598900198456283,0.681600337321303,0.192248732748941,0.345421295422296,0.031479946867605,0.557977123658123,0.149713233007148,0.150439568203576,0,0.765256447533844
ENSG00000134201.10,-2.11374394318761,-2.72886623937688,0.244442961434361,0.0688086349103479,-0.147061663219033,-0.124320337365864,0.0697998903620446,-0.0546586205688414,0.0345584953482621,0.0991770053063284,0.343623446284824,3.82249649965275e-57,0.012510584861534,0.232963805894612,0.00458924042929219,0.0862031196719162,0.231303982243313,0.326975594604339,0.547341946032354,0.202614874898878,0.206737086129466,0,0.792536841428191
ENSG00000134202.10,0.0297761581774052,-4.48902561651561,0.00236803035579592,0.0163040591290648,0.0346082023677495,0.027143178123814,-0.0115133301287897,-0.0248381699459109,0.0273186726079691,-0.0186157258864236,0.96788631420227,1.34929596978271e-152,0.93528253068746,0.538035053651304,0.0926858077457893,0.288352034048513,0.588261289489266,0.205240050617703,0.18128828650074,0.469914430742835,0.469521942926273,0,0.870733737989229
ENSG00000184371.13,0.078433844201961,-7.04479762992333,0.0133097711755362,0.0209153735442141,-0.00598924155509507,0.00218056496625639,-0.00704860226097872,-0.0318145613524285,0.00937784748163537,0.000709481243206102,0.814237091595965,9.10558521023803e-48,0.212584381547638,0.0738700540831896,0.553068531121461,0.860168744668805,0.499380064958249,0.00159124496836543,0.372891479468321,0.95133089780976,0.951492716712688,0,0.942024711867677
ENSG00000130762.14,0.154549523008533,NA,0.0595404994654929,-0.0269817781754263,-0.0475093805381697,0.0330040776909833,0.065916771815407,-0.0710452952392579,-0.0913626610573467,0.0074502886978296,0.913770637646917,NA,0.0467622475814274,0.439059094794375,0.202502126823823,0.448067462255048,0.131551257700064,0.077072606344414,0.060487655107062,0.880590832630116,0.880590524853181,1,0.939434236953617
ENSG00000116396.14,-0.951995214164222,-5.28540498215724,0.00303817548981514,0.0183470103622273,-0.000274551959097014,0.0440876697846992,-0.024174004666837,0.00705315196214546,0.00967608886205077,0.0305657846943927,0.185158361816397,5.14281510401235e-40,0.874485005646613,0.277156766158103,0.990585871419827,0.0646710761030691,0.293852096899621,0.736754818882217,0.644620005145001,0.221572349877181,0.229138110329271,0,0.798555636184715
ENSG00000134248.13,0.00081348373109064,NA,0.000181290825642391,-0.0732578838124249,-0.000318092715968903,0.0128420384934912,0.0196507167583014,-0.0264611711460867,-0.00851328384022063,0.00373546157934317,0.999206444773017,NA,0.993402485970976,0.383682535666288,0.988187105658759,0.593226536486341,0.370193469733431,0.195523039550001,0.663562710143676,0.89566402170437,0.89566372503901,1,0.941023513758443
ENSG00000162591.15,-1.15500261772679,-4.43894467834901,0.0157922232288298,-0.0251014299865286,-0.0353071528467969,0.0309951428718942,0.0111681330522223,-0.00307800817692387,-0.0960054648010394,0.0444563985765326,0.159857570501104,2.82017572722835e-123,0.440599977356509,0.152932406302904,0.146117535401494,0.288413948740814,0.667778641571711,0.891314103875168,0.000114629048417028,0.120730699741005,0.121491588762304,0,0.748288468594129
ENSG00000177301.14,3.24984639589772,-4.96053295626903,-0.0135305309278273,0.0756539921152786,0.0478832808193866,-0.0704976053209491,0.000222865769783344,0.0953322306291196,-0.0395788703130921,-0.101300002423722,0.0583840553366044,4.92884211633929e-09,0.749177815809588,0.0429235695346278,0.365058771484317,0.333273749943901,0.997051876943588,0.119971909361031,0.424953181550939,0.0897107632504467,0.123437205831623,0,0.750428019506272
ENSG00000143119.12,-5.32435270732634,NA,-0.044541163951057,0.0377008569532763,-0.0558830813508965,0.00378304545634244,0.0572654124676483,0.111889687745975,-0.00971256664672451,0.178297627128307,0.164197394203095,NA,0.313802567111047,0.334606748660814,0.52580186582105,0.962135280782771,0.506778028375376,0.223378551155246,0.922428815449823,0.188445353620589,0.187973545697036,1,0.786681144821565
ENSG00000156171.14,-0.716288001317127,-4.02316324668316,-0.125372877944236,-0.00832336776553363,-0.118842646883559,-0.0391188062072292,-0.0313678152317191,-0.0196046842355891,0.0761852247844566,0.00950040973033059,0.65292171947574,9.0562977277573e-27,0.00504378506683658,0.79530716609131,0.0123152321409838,0.537529391824756,0.545763314578297,0.686961097223864,0.102362967018873,0.863793346976915,0.864092258429757,0,0.937845871191419
