nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000158109.14,-0.525650677486997,-5.28312795030123,0.0174503984690476,-0.0216276170864214,0.0148733797070342,0.442587311940993,4.41096657405491e-69,0.249570465475381,0.151969954342579,0.470188414158516,0.469997855228731,0,0.850026583945356
ENSG00000116455.13,0.498781189214358,-5.93608081945784,-0.0135193313641922,-0.0315191379012911,-0.0170254256675031,0.576588969523943,1.06196706533921e-08,0.670053603439211,0.155276228182855,0.527744447771572,0.530215212184948,0,0.864866633554286
ENSG00000116459.10,0.520291393108706,-6.39108379846249,8.70081801526667e-05,-0.0159490745744327,-0.0173430069596553,0.341606119412678,1.54608128975508e-32,0.994664732072027,0.282840869495411,0.290804825523231,0.291167922784558,0,0.810672707247102
ENSG00000143110.11,0.986933124048484,-4.31484985400172,-0.00267431860247546,-0.0241397312766361,-0.0359032817689468,0.756072319314831,6.46348361601188e-09,0.953817097251989,0.69468532585924,0.707773446024398,0.708817790584332,0,0.888570198438612
ENSG00000282608.1,0.203076949253796,NA,-0.0620355601884168,0.343025087704901,-0.0140151935548585,0.904621010210629,NA,0.257246262553874,0.0155210388092015,0.783012040893368,0.783056517731448,1,0.89873609270007
ENSG00000116473.14,-0.1746024689337,NA,-0.0160944647936924,-0.0445576408387025,0.00817504885567719,0.741023998229567,NA,0.601532526085949,0.0152765474968989,0.606047696944065,0.606046364068989,1,0.877045402755807
ENSG00000197852.9,0.503895128250804,-6.79624854250187,0.00559957196347642,-0.00243118899901007,-0.0182112454814603,0.400822504162995,7.12820175113823e-17,0.746686658946916,0.870569068834146,0.312886502803923,0.314678756183559,0,0.815217717355722
ENSG00000064703.11,-0.754249623139669,NA,-0.0141191212790221,0.00163955750194489,0.019826863649238,0.52302543318321,NA,0.719795751588757,0.990581073925921,0.574430298225569,0.574384644981198,1,0.871221752679401
ENSG00000116213.15,0.421156751149629,NA,-0.100151445410147,0.0306765418686126,-0.0167070988854122,0.71356954685716,NA,0.0798772607602057,0.446085739210407,0.629744437191586,0.629757974743175,1,0.880672239400712
ENSG00000171385.9,0.219267985493605,-5.28689776431558,0.00810250814394269,-0.0421700105260298,-0.0114733470876931,0.822204301616609,1.02664805317047e-31,0.717312470996316,0.341251592174925,0.694869380467638,0.695047075846953,0,0.888570198438612
ENSG00000231437.3,5.08639416717697,-5.80721496728265,-0.103737518032425,0.132921092560451,-0.175279289115776,0.123767055929262,0.178408682970589,0.207068853167557,0.00807637418192046,0.0745567266327033,0.0814023413019461,0,0.660072750459798
ENSG00000134245.17,1.11647687552688,NA,-0.128274408354438,0.206706637522681,-0.036966824842299,0.544305671755642,NA,0.179068932953573,0.44341961594351,0.506258988881867,0.506299668907406,1,0.857692200299092
ENSG00000007341.18,0.429439448203358,NA,0.0849779242945583,-0.201675929787484,-0.015088769505194,0.796450412565883,NA,0.212284666255614,0.691864026809567,0.764055448828495,0.764042196600866,1,0.895384144273659
ENSG00000116489.12,-1.37240506604909,-4.61869793164819,-0.0165119771149076,0.135314017137573,0.0361470859598463,0.181323866452909,6.90656296408882e-31,0.668409779858228,0.543378398883597,0.243991167056027,0.247152816054615,0,0.787230981588639
ENSG00000155366.16,-0.52115801940453,NA,-0.131551275836507,0.00345800836436773,0.0205469526487689,0.648510058016277,NA,0.0725465419301234,0.928130969696861,0.547777009445724,0.547781527206899,1,0.868576281959989
ENSG00000155367.15,1.00212573724007,NA,-1.66365676422836,-2.00010459796965,0.00310047075531733,0.752751930347721,NA,0.109910465604906,0.0731286364400361,0.973062239040668,0.973063058565064,1,0.917346447310348
ENSG00000155380.11,-0.0844133704836883,-6.3611725325925,-0.00535578740819836,-0.00601665826986945,0.00978884901428443,0.800481942775922,4.83923315534036e-123,0.710364083174128,0.564759792026684,0.33073004443189,0.332062435121022,0,0.820302611288852
ENSG00000226167.1,3.82249609279889,-3.48868738404731,-0.179354832534651,-0.226709110479095,-0.109749552344196,0.552693144832032,0.00486208715005689,0.408250909186296,0.0557679272234894,0.567318891488779,0.566050687457775,0,0.870725517075405
ENSG00000227372.11,-0.10528986058039,-6.59891721955342,0.0269249148873362,0.0204617625532992,0.00165180516194388,0.869339155439172,3.52531914093811e-13,0.0964134610823472,0.169055678227023,0.931850145936576,0.931861095576044,0,0.914791004158124
ENSG00000134262.12,0.423156538528809,NA,-0.0339997963828202,0.144298611274148,-0.00902549952564453,0.695470848962217,NA,0.378386635610797,0.134268938850852,0.780922013788674,0.780907117542727,1,0.89765959224428
ENSG00000163349.21,-0.633100467227029,-8.40763235102178,-0.0565236591130649,-0.00332392719958808,0.021380940917095,0.330006349939639,0.177575893338527,0.201904044411298,0.880510708502136,0.27112251629109,0.281756659451351,0,0.806408295311157
ENSG00000116774.11,-2.54602548185703,-5.59613049456273,0.766327560316136,0.314815575902737,0.0611862409903574,0.177685991354377,5.64891021814993e-10,0.197242789469735,0.00473654335626536,0.261907478549169,0.261989983043673,0,0.798086508134475
ENSG00000009307.15,0.642377794386057,-6.32490386680756,-0.00126439289644098,-0.0221180823127515,-0.0176486307430767,0.119467475144914,3.5484645353988e-102,0.920211909713944,0.55053462637781,0.156634847769937,0.16322051933743,0,0.735210073809734
