nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000065243.19,-0.0287316284980433,-6.80998765545978,0.0246041739467689,0.876052004462401,0.00261084064827436,0.550850752892113,0.551033021148867,0,0.900759670997898
ENSG00000137944.17,0.399853565851291,-4.81534892596335,0.001983977281475,5.89559852311379e-05,3.96475662355693e-63,0.927617214896477,0.927606708343505,0,0.935023863629609
ENSG00000213516.9,-0.27175602782484,-4.00800643915906,0.0370349995400082,0.149935977690723,3.24356524851698e-27,0.370725832835227,0.372411368025856,0,0.862049720362927
ENSG00000117226.11,1.32918459408208,-3.83567788910287,-0.114362509610104,9.73914460794523e-33,1.64033566030623e-233,1.41687204530013e-06,1.5720507411573e-06,0,0.00551239234880562
ENSG00000117228.9,0.154031158457644,-6.75131753533352,-0.012043999398824,3.518521634718e-05,1.99894824135102e-157,0.130671874678886,0.13098597531384,0,0.772973670952373
ENSG00000157911.9,0.0350137176949605,-6.85797622065527,-0.0186555935194084,0.654703012755945,8.19872883591026e-06,0.287190356590587,0.289989724913867,0,0.84432464234716
ENSG00000162645.12,-0.0353581984335141,-6.37886845393074,-0.00418615944965475,0.472088515676771,1.50293769809685e-137,0.689206971401527,0.689199270037807,0,0.920333052752081
ENSG00000162654.8,0.0988528896836202,-6.12570230789027,-0.00110178998863476,0.136215879055617,1.79619451599256e-75,0.938837653003169,0.938859036653984,0,0.935408463979408
ENSG00000154451.14,0.199942203669313,-5.25204203913514,-0.00570816094030114,0.0838394653702808,7.91775939297992e-32,0.815433906628508,0.815373224932231,0,0.931656786056653
ENSG00000225492.6,-0.429873528616467,-3.55466792986339,-0.0160316435563189,0.0381867054774003,4.43471888159218e-63,0.716871214241448,0.716668618464599,0,0.92287803189196
ENSG00000197147.13,-0.209755610290068,-4.85417660849705,0.00784554384578512,0.080903794010431,1.56246674416796e-32,0.766035324161592,0.765960378229509,0,0.924306750067017
ENSG00000231999.6,-1.11554456734301,NA,0.220692577072193,0.0531932410101181,NA,0.0787009761220331,0.0757294302540981,1,0.714529636222591
ENSG00000171488.14,0.168769325228393,-4.02063897023642,-0.00637032870254955,0.385011291855864,1.91957662937978e-29,0.879127315651951,0.879532756176893,0,0.935023863629609
ENSG00000149527.17,-0.655681120092283,-3.0548601104235,0.0572839451754177,0.0131083580615399,2.55475226114061e-35,0.313837155244174,0.317753795518538,0,0.852923930622104
ENSG00000097046.12,0.313137789783146,-4.24587658117652,0.0522732430217231,0.0695008842121746,1.29072514224813e-31,0.156615100760076,0.156103165766402,0,0.787746540927225
ENSG00000069702.10,0.0773665529053671,-6.84484961978855,-0.000936456672986168,0.157568674053835,2.34542377550476e-50,0.936588799854573,0.936629279993492,0,0.935408463979408
ENSG00000157881.13,0.126421795613071,-8.07359144840294,-0.0144120711303872,0.0895316332026791,0.0306474072593182,0.382852155761736,0.383197985483785,0,0.862049720362927
ENSG00000069712.12,-0.314062962481707,-3.55905037542416,0.0772421435872605,0.525596226637962,1.09645189355344e-05,0.469411462952528,0.469386562475769,0,0.885516522342725
ENSG00000122484.8,0.0102228067326293,-4.95490148592991,0.0202161894978706,0.934934644016049,2.87805798950931e-20,0.45653841803774,0.455960349476041,0,0.884088132100412
ENSG00000162676.11,-0.129228432497751,-6.21620013494967,0.0649871858281787,0.571860171905959,0.0242726906535488,0.179487898746133,0.184337673586274,0,0.807216669793201
ENSG00000067208.14,-0.229075962562793,-6.4695278117832,0.0255146187654484,0.016105640143096,3.39600842218617e-17,0.213927572369224,0.219135162018765,0,0.822274157629297
ENSG00000154511.11,-0.111990059161653,-4.15843577861595,0.0701402707562314,0.752937180618363,3.01306948756293e-08,0.360386057668508,0.365628769058947,0,0.86039439536968
ENSG00000117500.12,0.0636849215641314,-7.23128049388328,-0.007596432980494,0.155586717530222,9.33936347836665e-26,0.433513175501462,0.433946225340395,0,0.873748913419036
ENSG00000122483.17,-0.202363394197129,-5.28874085568267,-0.0124362524842751,0.221708979867623,5.7923475275088e-05,0.738829789054901,0.739163795766407,0,0.924306750067017
ENSG00000223745.7,-0.519325135581691,-4.58168353768168,-0.0580670525496561,1.83629438485438e-07,4.00582718175201e-131,0.0076532923513111,0.00882672018946905,0,0.491283718590182
ENSG00000117505.12,0.08830172521524,-6.66066577769208,-0.0370177520204877,0.10629967792634,7.47355457273559e-33,0.0018553389324793,0.00227392160671879,0,0.398675047137241
ENSG00000137936.16,0.133911313615968,-5.86372756946296,-0.00950662285809456,0.73493108645748,0.0342345189939069,0.916103731917602,0.918537541096151,0,0.935023863629609
ENSG00000067334.13,0.0604643733857652,-6.82337636967038,0.00111382446449848,0.345200943993915,1.99079432307361e-26,0.936656586619799,0.936675128898306,0,0.935408463979408
ENSG00000117528.11,0.0180386622623434,-5.47314406372343,0.011564356644304,0.819695328648014,2.89999778878332e-45,0.512517287027464,0.512985954384877,0,0.89314006079892
ENSG00000117525.13,-0.214691463646386,-4.07329003604293,0.0156121821882066,0.104081478075134,1.21500864684757e-123,0.582754041292265,0.583091642055454,0,0.906390459082642
ENSG00000224081.8,-1.05419358093139,NA,0.119471035912688,0.000196186371384547,NA,0.0447734122650729,0.0431964316141137,1,0.665306834056448
ENSG00000143036.16,-0.272146620946735,-4.1607307255135,-0.00716172335157285,0.136302395624532,2.76456024142103e-28,0.86189890310827,0.861826904853644,0,0.934595047873012
ENSG00000117519.15,-0.094690692855305,-6.58749824168665,0.00221087834775405,0.0207813538668103,1.12070160044353e-161,0.796876304278314,0.796896543542603,0,0.928314355559406
ENSG00000238164.6,0.0670540842856721,-5.68215310985667,0.0142293006357989,0.2446151029691,5.32809318184872e-127,0.261445285058008,0.262120938211493,0,0.829780585766389
ENSG00000235501.5,0.204098908680059,-6.05709937889968,0.0685754272506703,0.499146925323026,0.0866026069556973,0.288953571098805,0.289930356114541,0,0.84432464234716
ENSG00000152078.9,0.114385241246272,-5.43333534698982,0.0107178955947758,0.599636894785126,0.00126568124775672,0.830374394559107,0.830689936979318,0,0.934169969601227
ENSG00000122481.16,-0.426430718112881,NA,0.0286439941624762,0.0251952872084761,NA,0.498702894390224,0.498398890767664,1,0.889868077238353
ENSG00000117569.18,-0.0723259457797889,-6.34564266556712,0.00427575356368934,0.315884237372278,6.00389771002379e-21,0.782214821144239,0.782215462589463,0,0.925070610842227
ENSG00000188641.12,0.188154345075379,-5.98931718634607,-0.0314387601218349,0.0106040149021816,9.60840435574088e-53,0.0489420072266823,0.0505741562962919,0,0.676364764487716
ENSG00000157873.17,-0.0637888816036967,-7.88421256496423,0.0209277443619664,0.0302664664238294,6.46306958768335e-64,0.00113713088997983,0.00151261821421887,0,0.387999076887831
ENSG00000162627.16,0.193166638639272,NA,0.0171705222176636,0.579175887956795,NA,0.823781478367594,0.823807319737522,1,0.933551360095336
ENSG00000099260.10,0.0439276197959291,NA,-0.0387571861952924,0.712423267287323,NA,0.194802497503486,0.194722306080717,1,0.810554251064247
ENSG00000162688.16,-0.0481508470568274,-5.95852819521349,0.00109648290235872,0.666790008367038,6.98410243138762e-16,0.96374452105384,0.964133710293978,0,0.937292285460742
ENSG00000117620.14,-0.0417563842742929,-6.18531858955961,0.0374915960236425,0.577144507892166,2.03263806063167e-21,0.0264803712738898,0.0293882071696996,0,0.649621778354565
ENSG00000225931.3,-1.6975372671983,-4.25756352163032,0.278946492201988,0.0243490712516158,0.0406680675618821,0.109026703130866,0.104065542434432,0,0.753203823536062
ENSG00000137992.14,0.0517500467871119,NA,-0.0153114280388396,0.716752800492821,NA,0.640176265496259,0.640166051487114,1,0.914799648558693
ENSG00000137996.12,0.400944682165897,-4.95995827593393,-0.0101018201363917,4.57001949025369e-05,4.03212821918941e-51,0.64599293555838,0.645980761691717,0,0.914799648558693
ENSG00000079335.18,0.0250517135466584,NA,-0.0112504187845012,0.864099056802101,NA,0.73332211098202,0.733319315555437,1,0.924306750067017
ENSG00000162694.13,0.139218837221665,-6.42502349951389,-0.00860503281907445,0.395214486544001,0.000158979087726628,0.813427054285451,0.813435425568729,0,0.931112993435659
ENSG00000233184.6,-0.534931751189556,-5.86381970648565,0.0962092639497609,0.0255086077662339,0.0174737042454186,0.0672603175636939,0.0666994675073969,0,0.710589049721824
ENSG00000225938.1,0.258242597686367,-3.86252371148744,-0.118286486723059,0.336930898851185,8.56952479496089e-15,0.0380370674895157,0.0380263311039854,0,0.649621778354565
ENSG00000170989.8,0.0556546216132413,-4.64690183576368,0.0279435767446218,0.778807197190208,1.76545984027745e-61,0.51104732289815,0.511467399179267,0,0.893007464756915
ENSG00000157870.14,0.0653999746375912,-5.77862918741775,-0.0437154292209799,0.53746124786005,3.19167507222592e-13,0.0595930150109964,0.0626757177410657,0,0.707182840562019
ENSG00000185946.15,0.143456389836287,NA,-0.00140411564234151,0.319785845404397,NA,0.96432024410511,0.964319938282813,1,0.937292285460742
ENSG00000240038.6,0.645173660148604,-5.04273828391704,-0.0328552534270057,1.68523425296211e-06,2.00178328317255e-45,0.263263398648631,0.265501181293998,0,0.829780585766389
ENSG00000198890.7,0.345630666811703,-5.0794446026703,-0.0223616772066729,0.117145838169177,0.000196685524236761,0.66071294485437,0.661303687323903,0,0.916301703412083
