nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000157916.19,0.170173103938424,-6.02521936374126,-0.0116533639066052,-0.00394674043663686,-0.00476725208033293,0.567029846309659,3.96441900094751e-41,0.480214496404195,0.75618158713981,0.76551645606008,0.765706985662717,0,0.77067010431435
ENSG00000065243.19,0.129723983063498,NA,-0.00745092154435681,-0.0775805803210869,-0.000167576161609806,0.79144754876815,NA,0.942938450609822,0.136207407843437,0.994931153935053,0.994931148671825,1,0.813335506192435
ENSG00000137944.17,-0.853667848095164,-3.22665424624792,0.147213041974285,-0.018424740185588,0.0556458459370952,0.223029828466425,9.69294215389711e-81,0.00527665049565917,0.590443683903148,0.140100365451905,0.141959370798897,0,0.486270218872528
ENSG00000213516.9,0.983136118071009,-4.32084575729927,-0.0593600932820552,-0.0205993780855335,-0.0595168448811013,0.150483106249509,1.89800961638188e-29,0.177292923252936,0.743772647422901,0.105810694688963,0.109021076625818,0,0.441160410051341
ENSG00000117226.11,-0.0129846623444142,-2.81830552105684,-0.0940189459216919,-0.0200607093402231,-0.0213693049885572,0.98252035625181,1.4280840789948e-179,0.0233780876425761,0.583235822596233,0.504817623401821,0.507248973631549,0,0.69765202134276
ENSG00000117228.9,0.00192155912046385,-6.66399585804094,-0.00456233194556155,-0.00364726140862514,0.00498667860661473,0.988773471204785,5.63738824714143e-170,0.651966422456739,0.687318465246399,0.502659706243454,0.503090813470972,0,0.69765202134276
ENSG00000234518.2,-1.17459855508672,-3.37437741224014,0.113702908033277,0.762755091787134,0.104714681341741,0.545370002842567,2.26477769149665e-18,0.25294631193885,0.444975578876212,0.308182016159306,0.312006206046903,0,0.611566587140911
ENSG00000162645.12,0.0451661995119643,-7.81181117434645,-0.00608730678336844,0.0135597201073742,0.00257242386140925,0.72178294366285,6.79166085457087e-61,0.554137534103769,0.129998101940122,0.713639452041969,0.713836903364594,0,0.757178211423456
ENSG00000162654.8,0.58137381652407,-5.59418134449595,-0.0131937282974204,-0.000521549390321126,-0.0262830150530809,0.00349446464408797,8.11315318431556e-241,0.366262644534819,0.955252126513919,0.0149849858114045,0.0158216693447005,0,0.19856983354826
ENSG00000154451.14,0.48359551658892,-5.29137016220704,0.00327697479250181,0.00413884656283078,-0.0169635477630904,0.271165942695844,7.0495517532788e-31,0.9025380426377,0.839668374011189,0.478475481960776,0.482196506460829,0,0.688757285011212
ENSG00000225492.6,-2.73568086523442,-3.93751861146354,0.100849868217719,-0.539184617859321,0.172981010260252,0.000279028855363408,4.7965121588009e-48,0.200215237814577,0.396059497994185,2.00862862513137e-05,7.48600988422972e-05,0,0.00728187351030024
ENSG00000197147.13,-1.37544110333007,-5.23090482238793,0.015062270197199,0.00664067920091223,0.0645019997248132,0.00273100598977523,4.29295509735876e-22,0.618107146779428,0.865010334437687,0.00894210326991438,0.0102086244365361,0,0.165137469390832
ENSG00000149527.17,1.11379489854344,-3.24191030516077,-0.0408766670764464,-1.17530205782784,-0.0909637306441365,0.280661824755946,3.40035812039458e-34,0.589809250353591,0.0573768070456879,0.107515954957808,0.111875365778038,0,0.445113854728402
ENSG00000162664.16,0.284972035014504,-7.7707861090584,0.00162410262526352,-0.0168652886358768,-0.0112004777638461,0.168906512943084,1.22188767461457e-07,0.895972062345187,0.587026474458405,0.318927069776592,0.319020352776893,0,0.615747538473807
ENSG00000097046.12,-1.21658874421394,-4.01764164765482,-0.0471736779146992,0.0131253049854759,0.0424505447081656,0.107334917933041,4.90199952367985e-24,0.444891055948515,0.771977119644999,0.299338490898249,0.302666539626754,0,0.605640786784476
ENSG00000069702.10,0.0133154553696308,-6.99366847444287,0.0337077389482898,0.00905255569771305,0.0028901491178116,0.949736671330842,3.55302112502094e-43,0.0211881333352674,0.401435044309602,0.801924221084279,0.801902734800225,0,0.777671944848238
ENSG00000157881.13,0.2733022609072,NA,0.0139222600068725,-0.0581893561342171,-0.0101714963144382,0.343805264128602,NA,0.372804519463026,0.000550141361349953,0.514723211267425,0.514710113832594,1,0.700369579361021
