nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000116198.12,0.0724548534078331,NA,0.00149406422676947,-0.00372344989932013,0.00359871823916302,0.63259278104857,NA,0.900902069570119,0.872221168860035,0.784748860502021,0.784749184572808,1,0.851890064934397
ENSG00000155367.15,1.08262950148515,-5.2737732278056,0.0438066925682871,0.233475778752453,-0.013845432689509,0.000685814996192456,1.35457895074019e-26,0.463911886985414,0.0824422490495858,0.629607540777928,0.630000172043605,0,0.819687333891466
ENSG00000155380.11,0.108558578488828,-5.91609158539721,-0.0174167598771638,-0.0533886222526958,-0.0168983151773618,0.478222983064139,3.28782565390619e-75,0.329082619255173,0.224175534778625,0.219308039704526,0.219837247750086,0,0.608383369144486
ENSG00000226419.7,1.33926018650871,-4.59562717455595,0.00611421411718446,0.839508150157239,-0.0773363542667198,0.470378194857256,0.180910153534184,0.957477681587836,0.0608795192038503,0.63974482378856,0.642538654025859,0,0.823969938099351
ENSG00000198799.11,0.357871303222791,-7.15064803171279,-0.0431838738366852,-0.0750382914416845,-0.0268875806588847,0.427097620596061,0.268857157006527,0.210239190388182,0.67518658762486,0.4989581553569,0.501045008817098,0,0.766048417668186
ENSG00000081026.18,0.918849739917881,NA,0.116890129300874,-0.544169843445511,-0.0714174505655148,0.492314032945157,NA,0.250203351687589,0.424747558952448,0.531890499843144,0.53166122322737,1,0.780575641870139
ENSG00000116793.15,-1.28994171144951,-4.6429583121915,-0.0641900903758226,0.0392436583407466,0.0954312516914986,0.162499208230016,1.07796191649027e-05,0.532891964892069,0.286831365729422,0.224388060263318,0.223899451292453,0,0.611932643329592
ENSG00000081019.13,0.713966975161227,NA,-0.0264723043552146,0.204225207778528,-0.0609402046517428,0.53586348577569,NA,0.890801041256344,0.135104664458457,0.532414307438314,0.532193691349325,1,0.780578963141457
ENSG00000169598.15,-1.179940199779,-4.58967919508621,0.0193540761461591,-0.0124805987975562,0.133706015919395,0.125661825066538,4.56787333083088e-06,0.677306938557221,0.869427933665031,0.046239444152817,0.0493086694966679,0,0.356512280115857
ENSG00000134262.12,0.55479853065331,-5.08287519429928,-0.00345502866956288,-0.000251346756073022,-0.0240277765290993,0.0583910853735768,1.14836036608694e-23,0.908388253314455,0.997226981984913,0.349710024704729,0.351195705341351,0,0.700690812532227
ENSG00000163349.21,-0.340213413817615,-6.15713159497997,-0.00114712805406592,0.0127336370982353,0.0240517294069973,0.0543789984881265,3.90780082536637e-40,0.958897476553681,0.64529812624041,0.121052744284873,0.121890489958425,0,0.511025204311116
ENSG00000116774.11,0.454367247427398,NA,-0.103295881105277,0.0335015129597138,-0.0570123968664096,0.420698750507357,NA,0.0255861233241745,0.494377163275647,0.242000477507428,0.242054317953142,1,0.623004898676233
ENSG00000197323.11,0.239643775324944,NA,-0.0201399341244189,-0.139462049247544,-0.0135371395258648,0.562172178022945,NA,0.526586869316719,0.435188239121724,0.706214309212819,0.706203423145726,1,0.84014967774811
ENSG00000116752.5,0.424766745451136,-5.42193192581912,-0.0161252744077632,-0.0161653764061144,-0.0375435528449918,0.0572763110431723,5.54200763468158e-51,0.39390341562519,0.495387573530442,0.055189188505331,0.0562096583831931,0,0.378057860921006
ENSG00000198912.10,-0.39363128750527,-6.4499994998421,0.0201010507480739,-0.0119043305344946,0.018960878433167,0.0920133520479899,1.57360650753686e-07,0.293698398051427,0.382518566487889,0.349808365137856,0.351656550235949,0,0.700827120142564
ENSG00000116748.21,0.298342183033509,-3.52759323236917,0.0549572733483019,-0.383019787345647,0.0108935182495879,0.337794534632283,1.20382725825576e-168,0.306161466496504,0.160212889183903,0.692575324853287,0.693041177851989,0,0.836996508037754
ENSG00000009307.15,0.150403923146741,-5.3857522726315,-0.0102344644180521,-0.00343699671345974,-0.0181402919191425,0.254671782284682,1.03875425596473e-286,0.528549772430279,0.94199055018485,0.119935126602988,0.120896083365925,0,0.510455344067105
ENSG00000134198.9,-0.520739213528764,NA,0.224259226177535,-2.51022640184549,-0.0105680059670669,0.685006483408576,NA,0.137592493650836,0.271574526344364,0.914324516129767,0.914321541123522,1,0.880636234303156
ENSG00000173218.14,-0.365730273297549,NA,0.0996657482269273,-0.0592804866951548,0.0551633406525735,0.687514529780835,NA,0.216556331977594,0.375662020444591,0.484721151069451,0.484247502246104,1,0.761310293270237
ENSG00000118729.11,0.621698695053415,-4.88175611531889,0.050176574015284,0.0112925914625782,-0.0703979875175021,1.76897115773104e-06,0,5.54003065176027e-05,0.354789299267413,9.32743389886758e-10,2.24735461782758e-09,0,1.05053256317498e-06
ENSG00000163399.15,0.536652778559994,-4.93264382893554,-0.0525869517891649,0.768942550994812,-0.0247372276934729,0.303813212241211,1.97596613648597e-39,0.233739826476896,0.0159218520705056,0.566330582405866,0.566802319719921,0,0.795697384166631
ENSG00000134247.9,-0.0359657952085011,-6.61097816449752,-0.00352414954410471,0.0374938088156861,0.012844599107568,0.861632289515517,4.0370272004264e-07,0.874045528379675,0.167412872050591,0.475765861516968,0.477203076736283,0,0.757261848692006
ENSG00000198162.12,-0.309724856302168,-6.87369804472648,0.00284274656535552,-0.0163394272659881,0.014716577991894,0.0185705997360526,7.291211690706e-25,0.796869663672501,0.0905970326658835,0.196604322279144,0.199028594156116,0,0.59217462263454
ENSG00000183508.4,-0.209339680857932,-4.29181985320581,0.0190960502519042,-0.0182035919213152,0.0461890809939074,0.545114210745228,3.27283502010269e-59,0.42030863375039,0.531666254974351,0.129166223408999,0.130144436717507,0,0.518246679491766
ENSG00000065183.15,0.26913889362697,NA,-0.0498587280407914,-0.030029769490869,-0.024240773965198,0.695184050898884,NA,0.189818183839293,0.178263808002923,0.681994876931368,0.681954568863534,1,0.833646155035294
ENSG00000092607.13,-0.293403121552087,-4.0359361788017,-0.0678227699996135,0.0117505864608916,0.0371190579219707,0.368095963712958,4.19761047555879e-144,0.127623540169744,0.687467615705997,0.193731590592689,0.198067416745809,0,0.592156633730461
ENSG00000116874.11,0.720661719290937,-3.98076723761534,0.13138120002642,-0.0404943716315882,-0.0120328047943604,0.0175888186246345,2.68087420259211e-68,5.34246227111324e-07,0.140342933919071,0.650074878534244,0.650651497882775,0,0.825946126768628
ENSG00000231365.5,0.74464467206757,-6.45702660628963,0.0173569237727195,0.00309643851019949,-0.0245577078823807,0.0161488537956092,0.00380450291248986,0.522758566434847,0.981139118381026,0.357264075588547,0.358599093601749,0,0.704978440418529
ENSG00000143067.4,0.29802355558844,-4.46601453557043,0.0272786621832714,0.0409270899022469,0.00711086884091999,0.532083966230334,6.92539305020529e-20,0.766935907190697,0.848594454623034,0.867538352624034,0.868464378324064,0,0.871364330328194
ENSG00000131697.17,-0.083139971862485,-4.61188367603977,-0.0131230653916871,0.00780900108598422,-0.0076846363790761,0.825365752781464,8.97229674853921e-24,0.69963086590306,0.815041713981956,0.813053625576131,0.813621616571599,0,0.860132450340991
ENSG00000134250.19,0.0479302885072346,-4.36269856115338,0.0255656735046802,-0.0381389220831917,-0.00993537150424956,0.861132013343103,1.25766364908037e-120,0.175880214804711,0.238243625542024,0.679601151718156,0.679659882670821,0,0.833646155035294
ENSG00000265808.3,0.24520511957676,-5.39304797228599,0.00867236459619343,0.000167375563207437,-0.00120594336405647,0.573635288702248,7.07515830625348e-07,0.757022799998162,0.99621291924156,0.974078890992414,0.974084617435397,0,0.885525250462036
