nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000225931.3,-6.64004719358265,NA,0.199593770245876,0.275085625800914,NA,0.30763433956242,0.305515769071447,1,0.781121489043036
ENSG00000122484.8,0.910701727091011,-7.24501716173902,-0.0255888331349798,0.345348746225143,0.11691950948777,0.407319206042661,0.409639007382889,0,0.819313895351934
ENSG00000067208.14,-0.0233345432003568,NA,0.00598055114808261,0.939248199875319,NA,0.541681403378312,0.541665280020721,1,0.847815950661735
ENSG00000154511.11,-1.29816121523646,-4.92031082272171,0.0466674131174088,0.571205881956478,0.00649365572274561,0.520974602493462,0.522984956278371,0,0.843718232056846
ENSG00000143033.17,0.647231768109775,-4.32602474994934,-0.022790785869606,0.685260543667422,1.82996850344262e-13,0.654775480349598,0.655043654690676,0,0.866826749621649
ENSG00000117500.12,-0.54466227006572,-7.40574229106577,0.0178418540283872,0.162146515088098,1.40307428114936e-09,0.148601018972049,0.150288933017242,0,0.710252838097119
ENSG00000122483.17,-0.00723585752106981,-4.50855761254544,0.0070467569494917,0.996299001046162,5.59984874186198e-09,0.887399933918985,0.887423349023631,0,0.885312043620818
ENSG00000223745.7,2.66827302581447,-4.23832391719969,-0.0588598475749972,0.000413884859836075,7.69537471712839e-214,0.014353754450923,0.0154467503940484,0,0.452717762414284
ENSG00000117505.12,-0.121112038224432,-6.19807388133866,0.00621615119977303,0.781695408920753,4.44644442181417e-42,0.654345776991537,0.654297970335188,0,0.866826749621649
ENSG00000137936.16,-0.651753780461798,-8.70892673162766,0.0186178287291071,0.576800339040341,0.557623411162232,0.61966548854122,0.627490717548284,0,0.8657139979774
ENSG00000260464.1,-0.154770123344681,-3.64424177304149,-0.00117562120560249,0.978858478065637,0.00963631772497524,0.99496003366385,0.99494960141555,0,0.895893669407877
ENSG00000067334.13,0.156516619845556,-7.38735210936993,-0.00746952165664607,0.805401562597227,6.69806697019356e-07,0.70990335949868,0.710371188595783,0,0.874007672238441
ENSG00000023909.9,0.893707578322604,-5.72732651598747,-0.0194513944476183,0.270352357300204,9.33664951527986e-10,0.451015835662517,0.452386643998601,0,0.830202915381919
ENSG00000157870.14,-1.43828546754879,NA,0.0480309230788182,0.0471855029623822,NA,0.0359701347840511,0.0358357029882994,1,0.525937074336467
ENSG00000117528.11,1.2533317773019,-5.51795942347569,-0.0330004887603134,0.00657882243438386,1.95940480109436e-118,0.0244533456109051,0.0260051435631519,0,0.494936674056865
ENSG00000117525.13,-0.0318102211071643,-3.83949618901138,-0.00396071467011848,0.980573450171746,6.30629684876875e-55,0.923901876144561,0.92388157757607,0,0.887631909836841
ENSG00000224081.8,-2.18766312752881,-3.17468541885176,0.0804784775669551,0.354059798841018,4.9351527094193e-12,0.280300911909377,0.28197075181478,0,0.77536076631298
ENSG00000143036.16,0.827575710663444,-3.17845684548621,-0.0101257012374447,0.674576916005599,3.37406995691162e-27,0.871259094535347,0.871407125268737,0,0.885263280729738
ENSG00000117519.15,0.237109204088685,-6.52144646356262,-0.00508571072389332,0.41226441007093,4.81332758197551e-141,0.579729035522978,0.581212011255102,0,0.859698963877712
ENSG00000235501.5,0.162280369182196,NA,0.00506393285071005,0.922441541926934,NA,0.923598076510515,0.92358981938783,1,0.887631909836841
ENSG00000172339.9,-3.25649077940862,-3.8514599938975,0.101997262638711,0.484073331421763,0.00874604851054025,0.486515266576874,0.492978328967699,0,0.836906390301491
ENSG00000152078.9,2.0451365669281,NA,-0.0696216817496768,0.202234371746933,NA,0.173543999501512,0.173077055297903,1,0.722723739584974
ENSG00000122481.16,0.63888662980611,-4.55750206368865,-0.028416843046825,0.639957310928261,5.06835158075886e-27,0.513556042426334,0.513707807830556,0,0.842805950554336
ENSG00000228852.6,0.864871920126737,-3.29027960355729,-0.0111977092788459,0.809016720546706,5.00958538080367e-08,0.921630189324074,0.921216650078588,0,0.887631909836841
ENSG00000117569.18,0.205454814227921,-6.48818668551346,-0.00644374754020756,0.553928079023909,1.02283129634036e-52,0.558621109630553,0.558761909913197,0,0.855082023644742
ENSG00000188641.12,-0.698745951123013,-5.59805093605445,0.0257196182303527,0.498491445559455,4.18728232854981e-18,0.435162501938648,0.435659801387548,0,0.828259577477632
ENSG00000162627.16,0.253618229993109,NA,0.000394074817395557,0.829573800569515,NA,0.991620449439355,0.991620462727415,1,0.895081417347186
ENSG00000215912.12,-0.613862938166758,NA,0.0251658438396057,0.628036353978014,NA,0.534043417279979,0.533838911294241,1,0.846884084554251
ENSG00000099260.10,0.0109190930309237,-4.64779349246158,-0.0055001018214697,0.991462167812485,4.92182502481783e-52,0.865003075570405,0.86540375439127,0,0.884098533193676
ENSG00000156869.12,-8.27020145419269,-4.75892417438598,0.268646543496369,0.174985561343452,0.0794124820310588,0.169980449206512,0.175380476473102,0,0.724954276749047
ENSG00000162688.16,0.835675698155832,NA,-0.0275222119379196,0.166828579521906,NA,0.152581318617207,0.152490840086251,1,0.710252838097119
ENSG00000117620.14,-0.419160405854109,-6.57338906919071,0.0104148319343796,0.582911583385121,3.38348064979465e-06,0.666890731349596,0.669086573026799,0,0.867980855494652
ENSG00000122435.9,-0.152305071474398,NA,0.00666477173613469,0.935435901714197,NA,0.910771313293705,0.910771829529047,1,0.886665064877972
ENSG00000177133.10,0.182487329969579,-5.12385189472029,-0.00372805422804956,0.699268730682495,5.81842419402835e-244,0.804403680539881,0.804350940866213,0,0.877740582504955
ENSG00000137992.14,-1.86982017099395,-4.51845535851961,0.0567050715501218,0.132105443396951,6.98804096691534e-27,0.151581972231193,0.156401215500328,0,0.711928915792735
ENSG00000137996.12,-0.194777324104315,-5.92469845963731,0.0174388999386574,0.75208176862618,3.07023685582446e-19,0.373973929366436,0.375269595560965,0,0.803737656917107
ENSG00000079335.18,-2.0246839434193,NA,0.0687563386198615,0.25259882496174,NA,0.224458110522949,0.22389671969502,1,0.754076153460764
ENSG00000181656.6,-4.98491784481177,-3.94875353122058,0.151412641292914,0.0318517225157361,3.67321767517642e-06,0.0391879305653455,0.0411465738052988,0,0.547579628643496
ENSG00000162692.10,1.65299572891466,-3.59068267725524,-0.0466751156168429,0.298540189766793,4.06046519542081e-29,0.356159319759367,0.358891688347307,0,0.796012163275619
ENSG00000162694.13,-0.0358271314075193,NA,0.00555430162317839,0.969507153133331,NA,0.850944330038479,0.850932182021483,1,0.88350841499482
ENSG00000142611.16,-0.142543638572549,-4.88810995154352,0.00252816848068689,0.790875896829061,3.83344325646327e-133,0.882523031314448,0.882535413704597,0,0.885312043620818
ENSG00000233184.6,-1.46066520868113,NA,0.0433272810228047,0.500862901134852,NA,0.525092955247652,0.525007424138342,1,0.844561099431359
ENSG00000170989.8,0.18300043654036,-4.73018346782284,-0.000631712560057109,0.838816928636031,3.35556660113784e-38,0.982252975364037,0.982286607194221,0,0.894834985947462
