nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000157873.17,-1.15536490529102,-5.39800046815869,0.0224637248656215,0.173946056687128,3.55665878837742e-86,0.273257322363624,0.273864116023578,0,0.891612109549413
ENSG00000240038.6,4.55401973372408,-2.73997564968887,-0.0986749969378971,0.194550573055417,1.25852082917528e-29,0.244956753642146,0.246927414646601,0,0.883424975193733
ENSG00000085491.15,1.40397886186017,NA,-0.0272660186499879,0.478598186526975,NA,0.566647152255074,0.566435071617492,1,0.95985518131549
ENSG00000121957.12,0.989429324785113,-3.91851794426894,-0.0241717341668103,0.834349432913047,1.16610614435733e-05,0.832896750295985,0.833404196465925,0,0.985871357357272
ENSG00000197780.9,0.731425146512265,-6.38639852440572,-0.0143188195534344,0.673311599630863,0.00825581268999124,0.731397601437667,0.731536874391268,0,0.979221622972059
ENSG00000116299.16,-0.579750723295094,-6.59271973782547,0.0158155996810795,0.261151670699892,5.73724842933585e-126,0.203029895065926,0.20495161724455,0,0.878984677488041
ENSG00000143126.7,-1.36528451121728,-4.95163793253638,0.0291767529906021,0.298850955745568,8.69792509568616e-33,0.356515944865138,0.35737759653407,0,0.912493715398027
ENSG00000143028.8,0.51601339833513,-5.23872202752255,-0.0048596205278463,0.748436581804474,4.96548082284203e-11,0.90015158475788,0.900129438646024,0,0.985871357357272
ENSG00000181754.6,-1.82369137018612,-5.27595721166388,0.0404145679724694,0.312198070214087,1.31416260998141e-09,0.3513012357632,0.351340712607053,0,0.909188032669606
ENSG00000168765.16,0.996454490406128,-4.43807222256812,-0.00955241167586989,0.658317450536129,3.90382566055631e-23,0.859657994089188,0.860134059328833,0,0.985871357357272
ENSG00000213366.12,-0.805507419297694,-5.28174349663926,0.0238770973877088,0.37069281123444,2.52892439311623e-89,0.271402571037532,0.273454354054368,0,0.891612109549413
ENSG00000134202.10,-0.041294328787653,-2.06158921058737,0.00969797899032057,0.994286440410957,8.97685478446534e-07,0.944779776098271,0.945142642937677,0,0.985871357357272
ENSG00000177133.10,1.46199215722485,-4.64001375455214,-0.0528100369047219,0.22200314133303,3.69328599204672e-42,0.0673142327121617,0.0713281473979308,0,0.789828001195054
ENSG00000177301.14,1.59022141505068,-4.44865147556378,-0.0433881705607826,0.701890007410583,4.65773818779756e-07,0.66449334388205,0.663975721638349,0,0.972766023761798
ENSG00000162777.16,2.89863270904896,-7.26168981913896,-0.0711538083917689,0.209826872539304,0.28100673972475,0.199953922612883,0.20259953636642,0,0.878984677488041
ENSG00000130762.14,-1.86998591527043,NA,0.0389675584311652,0.49963327021945,NA,0.559793040885125,0.559517456464549,1,0.95985518131549
ENSG00000085465.12,-0.848762927338289,-4.91288334628545,0.024958024368861,0.588765633392703,1.47659970569731e-15,0.509350394550562,0.515267961934525,0,0.952702886084516
ENSG00000121933.18,-0.968883758204267,-5.98946366153243,0.019909496870017,0.681380904399919,0.000997447097716072,0.724563704496229,0.724489199833983,0,0.979221622972059
ENSG00000282608.1,0.907127006562935,-4.65364967550632,-0.0170545912135696,0.463990012940864,5.5318831730352e-53,0.568089248717984,0.568042530674463,0,0.95985518131549
ENSG00000231346.5,0.62519040933472,-5.22513743652645,-0.0186985544679761,0.748787493817562,1.03842852691168e-09,0.690188013487519,0.693007260686023,0,0.979221622972059
ENSG00000231437.3,-4.31721786728628,NA,0.102498536676238,0.0547384554541123,NA,0.0576694330374388,0.0573055530873425,1,0.781610634747293
ENSG00000007341.18,-4.043503829201,-5.06870581776298,0.100660609039522,0.208437084295329,0.0105092712660639,0.194621197136797,0.207563933631538,0,0.878984677488041
ENSG00000232450.1,0.242577388410771,-5.0702565257806,-0.00878893883740799,0.951070153770598,0.0204743922968501,0.926329334186272,0.92634577243678,0,0.985871357357272
ENSG00000134262.12,5.14944899634562,-2.79619812217745,-0.12372362197398,0.515724710217269,4.40131413082827e-05,0.517426319385022,0.518220477934164,0,0.952702886084516
ENSG00000116774.11,-2.2847792373536,NA,0.0524341790019573,0.221104952903416,NA,0.245944495921392,0.245182587632105,1,0.883424975193733
ENSG00000078900.14,-7.48618772723609,NA,0.176514477365989,0.0172992709278498,NA,0.0197993907137964,0.0193028672431715,1,0.701997460905291
ENSG00000134256.12,0.143042744073724,-8.37435773795534,-0.00167673896105269,0.74656451339363,1.06246052420528e-05,0.87483377586056,0.875778838539943,0,0.985871357357272
ENSG00000134253.9,0.143261668521783,-3.48977204269017,-0.00346210229350621,0.952091479523795,1.17405962387937e-31,0.952021784606407,0.952037363877467,0,0.985871357357272
ENSG00000134258.16,1.1570649543845,-5.72073207937913,-0.024968212928672,0.172899330401574,1.09916529999731e-33,0.222228485933236,0.222810391913362,0,0.878984677488041
ENSG00000183508.4,0.191353929884041,-6.85954111245947,-0.0072032639516726,0.751084642246659,6.30235376190452e-29,0.619590439083667,0.620991101238669,0,0.965855909274128
ENSG00000231365.5,2.93778120349451,-2.86551439373853,-0.0615459450281105,0.200166542225493,1.64433669750699e-53,0.265283771987519,0.266300241559177,0,0.891612109549413
ENSG00000092621.11,1.22456192877225,-4.77650597993882,-0.0260202849605167,0.402701099534807,1.07101284312438e-22,0.460213727167538,0.462951340948441,0,0.938488525854833
ENSG00000134240.11,-0.748527608056634,-5.91418362686132,0.0209674299770988,0.461895384892866,5.48155252589831e-20,0.39385600662763,0.39535222860674,0,0.920870121378182
ENSG00000130764.9,-0.896519024198147,NA,0.0183365024591922,0.733294420442613,NA,0.774013843184861,0.773972474596738,1,0.985871357357272
ENSG00000223804.5,-0.393124545988712,-7.29586297944388,0.00639771736727586,0.649683693533382,1.07186401754173e-07,0.758831745834106,0.759411487087765,0,0.985378139524696
ENSG00000275131.2,2.05028548175977,-4.44991265169001,-0.0344354227019575,0.0580557297275139,1.01620018105422e-93,0.187001754632378,0.188380544996316,0,0.878984677488041
ENSG00000273136.6,1.37204846126999,-4.76136925164074,-0.0385743694294116,0.452198554551499,1.30185633086093e-09,0.380875352467457,0.382448680579664,0,0.920870121378182
ENSG00000227212.3,1.45220805048645,-2.39606065209899,-0.017227217737531,0.856176326833174,8.08726530729607e-13,0.928124459720603,0.925592671389145,0,0.985871357357272
ENSG00000271425.7,-0.885523189657323,-5.82398018874111,0.0108266806953053,0.544264860228519,2.58988893899939e-08,0.757830799770575,0.759246608632507,0,0.985378139524696
ENSG00000276975.2,-9.69406077949034,-2.32366490073216,0.227305124913185,0.143828889519328,2.26607049831585e-08,0.153649900460796,0.157839109107589,0,0.860170360480371
ENSG00000131791.7,-1.69515148602263,-2.34798481366831,0.046495925927549,0.553516010761285,1.47304843329557e-39,0.500005172286196,0.502434512639087,0,0.950570617935726
ENSG00000131778.18,0.665048909584013,-4.02878182135734,-0.00337830329999153,0.842293919108634,1.56089088116014e-06,0.966695909386755,0.966926722978853,0,0.986180164385931
ENSG00000162836.11,1.62369246527298,NA,-0.0391840627758103,0.442543631267763,NA,0.440455973415998,0.440321550612575,1,0.932255501423429
ENSG00000265107.2,-0.205819279641512,-4.58754418745054,-0.00656057782982156,0.882831711355403,1.89942184318571e-36,0.845794292020268,0.846343038505638,0,0.985871357357272
ENSG00000227733.9,2.13875452909396,-2.50764149934531,-0.0598253574223116,0.573503511624133,5.16952612878374e-18,0.515108301789362,0.51628660927743,0,0.952702886084516
ENSG00000231551.8,2.57243112300775,NA,-0.0566095017552664,0.319378482190879,NA,0.362239532521857,0.361123094178771,1,0.915932334745098
ENSG00000196581.10,-1.08738305919123,2.66229233960814,0.0498266300345193,0.961005924438693,0.000299865677069325,0.926506570524525,0.931012411614113,0,0.985871357357272
ENSG00000269713.7,1.00959341026086,-7.4844850784177,-0.0229657595604232,0.78112680358996,0.507504254301294,0.793094757823799,0.797335273301872,0,0.985871357357272
ENSG00000274265.4,-0.0670102346183649,-3.16176351000536,0.00955245857766774,0.97796881749087,6.43217131980118e-42,0.870142591118068,0.870308485837461,0,0.985871357357272
ENSG00000215861.5,-2.73032499032475,-1.99656240428486,0.0699966251616865,0.787694715253846,3.86575372297035e-05,0.774241374019345,0.775782545233917,0,0.985871357357272
ENSG00000277147.4,-1.25419899724796,NA,0.0352113968431154,0.476825531073236,NA,0.405770356868979,0.405813427823611,1,0.922343957281671
ENSG00000275557.1,2.31010418833649,-4.03735817648954,-0.0503255872730005,0.471800170882445,5.76812986189351e-10,0.515044894543047,0.521015942361967,0,0.952702886084516
ENSG00000131697.17,-1.17031667583483,-3.57375308521066,0.0183604035114988,0.728377790972887,3.0023352932009e-16,0.82124250487097,0.820768127766937,0,0.985871357357272
ENSG00000266472.5,-5.4716636329856,NA,0.125733629930701,0.313282882879627,NA,0.335971606311527,0.334262239963347,1,0.903254487784384
ENSG00000069424.14,0.376275552106292,NA,-0.00932054327801601,0.87011419248263,NA,0.866026972267596,0.866026358148528,1,0.985871357357272
ENSG00000143369.14,0.232187261608511,-5.99166910714139,0.0021284597002891,0.887102829340815,0.000450512213688941,0.956758154528403,0.956781472393282,0,0.985871357357272
ENSG00000237781.3,4.36242651139426,-4.01362346171339,-0.11504209266178,0.253716706190324,4.43688720902643e-08,0.211001704379512,0.220562438206103,0,0.878984677488041
ENSG00000143382.14,21.0256475426485,-3.2809450245558,-0.517959190269723,0.0157885561256401,0.00149840475772667,0.013570808261122,0.0194029145830833,0,0.701997460905291
ENSG00000143420.18,0.322630891864747,-8.01785958737483,-0.00672733455404369,0.409519639713979,6.2059521770081e-16,0.475423923972101,0.476743964826974,0,0.940296702727958
ENSG00000163131.10,4.88763407406824,-4.57943125756668,-0.117896624770587,0.0855273697491466,4.68274422598272e-10,0.0850343837054131,0.0964120926476012,0,0.795421294066327
ENSG00000143418.19,-2.6566974589421,-3.92000840734083,0.0637394201905781,0.528407166712981,1.78138177119223e-06,0.532809888282601,0.534886052166771,0,0.956077556591635
ENSG00000143412.9,0.333111592231535,-6.87445491061609,-0.00644643169982635,0.562826479712045,1.14814620064269e-29,0.642360770971223,0.642837038546565,0,0.971114938495518
