nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000272420.1,0.438490744659041,NA,0.00711727672481521,0.311959122103795,NA,0.942907845205526,0.942915469232764,1,0.9631029367509
ENSG00000097046.12,0.122461911494525,-3.93959336689229,0.105787501986586,0.572121445078493,9.45805947778266e-18,0.0330352523858034,0.035542516747341,0,0.755906240596949
ENSG00000069702.10,-0.127452126137179,-6.20929673564009,0.00622480872952485,0.0859658871991092,1.74930104779453e-36,0.718248722681253,0.718219493295222,0,0.957040420544729
ENSG00000122484.8,-0.0536347131050725,-5.31188877167403,0.030749774563859,0.620920864054474,3.2853160350098e-13,0.231244810016332,0.232284501163229,0,0.926817560676259
ENSG00000067208.14,-0.113513969605972,NA,-0.0170904247255063,0.291198828634582,NA,0.49860577036194,0.49866605673548,1,0.948131696788898
ENSG00000157916.19,-0.0415297837671351,-5.96239939643347,-0.00132945254945233,0.665975943733537,2.94067018592888e-14,0.953754034219515,0.953932942930183,0,0.9631029367509
ENSG00000122483.17,0.345074547472073,NA,-0.110378836765271,0.234688336281891,NA,0.108645711395634,0.108240000971061,1,0.885839106745819
ENSG00000223745.7,-0.644941406459991,-5.04708597679823,-0.0145509764976228,8.91800242984733e-13,1.78221245635405e-88,0.486710139251886,0.486299003426439,0,0.948131696788898
ENSG00000117505.12,0.13497394820792,-7.77056954548133,-0.0108425470384609,0.00341452303247861,3.03776128839611e-13,0.309772061885417,0.309959393476008,0,0.940342018169175
ENSG00000157911.9,-0.138826516062459,NA,0.0200862741223836,0.0423278524841717,NA,0.202623138896299,0.2025629664609,1,0.914669148628654
ENSG00000137936.16,0.175879500253818,-4.95082606279678,0.0146617568697659,0.64743219323983,2.86207651433795e-06,0.862289268652959,0.86298080744173,0,0.959364116594276
ENSG00000067334.13,0.106902572030033,-7.92873493172054,-0.007071310547548,0.00493802367019063,3.72411649584483e-13,0.423847397419053,0.425688295917325,0,0.940840309125518
ENSG00000023909.9,-0.235530562788619,-4.31511333488007,0.017117284981538,0.214026750212109,1.13142456847485e-13,0.706020493598016,0.706295002090491,0,0.957040420544729
ENSG00000198691.11,0.0546688866557747,-4.65377946508767,-0.0541179090691723,0.734444030925905,2.49818904817746e-24,0.158998613140887,0.160196091247642,0,0.896220048826675
ENSG00000137962.12,-0.0526624722182448,-5.80187051558749,-0.00768698537142343,0.535588416669472,4.26264029791773e-36,0.694327707394928,0.694232919926611,0,0.957040420544729
ENSG00000149527.17,0.04562218273045,-5.91112972712712,0.0110512565190933,0.240377657080737,0,0.215123008269308,0.215908736395824,0,0.922518490514213
ENSG00000117528.11,0.0596837441771992,-9.53254680974277,-0.0154479668071999,0.498996783015797,0.542453930492889,0.461275960114801,0.461430606135311,0,0.946086882011793
ENSG00000117525.13,-0.259202398187992,-4.57957774946858,0.0133941109552274,0.00247062317460955,1.58836926563433e-154,0.509690439495207,0.510284184588947,0,0.948131696788898
ENSG00000224081.8,0.903849710872753,-5.0742142073591,-0.157178300682501,0.013719633689882,0.0998965021684913,0.0654285249499843,0.0695380530183578,0,0.839761276665316
ENSG00000143036.16,-0.90547094900534,-3.64256617216545,0.184356338754271,0.0256132640176935,4.35052949695418e-10,0.0484610067251333,0.0538345561906882,0,0.793601966620587
ENSG00000117519.15,-0.240676829455799,-7.72352643992114,0.0377033699089501,5.20736542647808e-05,1.40859871880771e-06,0.00661839693819029,0.00709788817958421,0,0.614719535773445
ENSG00000152078.9,0.438501092725264,-4.67116039510302,-0.0585085516278209,0.0471960276142268,2.06045005765092e-11,0.264454114272411,0.263729990516644,0,0.94023888943179
ENSG00000122481.16,0.554839426260145,-5.4626467427946,-0.115812721602466,0.0738153908891907,0.000305161128475327,0.104403298910953,0.121084541890703,0,0.894441288539613
ENSG00000224387.1,-0.396783511979997,-4.22793443428885,-0.0783686946270891,0.502899453774543,0.0116680271706303,0.569139344994766,0.568924508823886,0,0.953478753400749
ENSG00000117569.18,0.0306942964970313,-5.75703571682424,-0.00861764680413604,0.637927717785478,7.34349857452732e-46,0.571942971367598,0.5720471424348,0,0.953478753400749
ENSG00000188641.12,-0.0360915847456463,-6.07289527966879,-0.0226365894488552,0.783684481129529,3.99547203535211e-07,0.449115575607769,0.449392098278106,0,0.946086882011793
ENSG00000162627.16,-0.0259494895394507,-7.57243359846449,0.0256186593683426,0.766522680745349,0.0804626056795015,0.222719814564628,0.22727702430712,0,0.926817560676259
ENSG00000099260.10,-0.0590478620468365,-5.12822562718603,-0.0281031198063439,0.626526044417865,2.50768499922583e-25,0.353769620075945,0.35897051659889,0,0.940342018169175
ENSG00000229393.1,-0.396688282345477,-3.87674095060206,-0.0952063235485692,0.262096188688193,2.46116025951837e-10,0.240722934863211,0.245092265073895,0,0.932110057101001
ENSG00000156869.12,0.165877047118344,-5.84314114691384,0.00773402721253947,0.196651364203297,9.85819266939364e-07,0.797223020893735,0.797301411725218,0,0.95805388927504
ENSG00000162688.16,0.00527628732058638,-5.92907686874792,0.0370371882262282,0.978179814458267,0.000203357875662113,0.398612095952538,0.403321132441074,0,0.940411762571836
ENSG00000117620.14,0.140524747189028,NA,-0.00183374384512592,0.0845157820270249,NA,0.923706383608345,0.923705241905952,1,0.9631029367509
ENSG00000137992.14,-0.0808675807983607,NA,0.000171355026208347,0.55636456975341,NA,0.995829739673031,0.995829736493212,1,0.965996046455507
ENSG00000137996.12,0.00458379872809636,-4.46243335317401,-0.017605992738941,0.972306855307833,3.31189335502035e-44,0.56216498488905,0.563347218886719,0,0.953478753400749
ENSG00000079335.18,0.255954044931767,-6.18334069949523,-0.0606033963200148,0.400094979293433,0.25053611565791,0.38302858293041,0.406446045839388,0,0.940411762571836
ENSG00000162692.10,-0.0891898072488563,-1.90946309325901,0.0201091759463212,0.892734973986943,4.04889370025092e-06,0.898607763505706,0.899272919852812,0,0.962842902548743
ENSG00000162694.13,0.0971309898237813,-5.92268836800722,0.0370167808143752,0.732136294244642,0.0185988323285561,0.58547184122172,0.586742637523406,0,0.953478753400749
ENSG00000233184.6,-0.300180861673123,NA,0.0367635817675298,0.428059526940138,NA,0.667978642637128,0.667723337420972,1,0.957040420544729
ENSG00000060718.20,0.327617274145648,-5.55081235093865,-0.0083726749402006,0.0516229605937932,2.95071722362028e-13,0.830519952721677,0.830941115357861,0,0.95805388927504
ENSG00000185946.15,-0.0540086989035484,NA,0.00111474836106498,0.661636430400591,NA,0.969321400971973,0.969321291325886,1,0.963771370754058
ENSG00000240038.6,-0.592025121223743,-3.12119440600753,0.0823771628807077,0.0331580644539558,1.11756004624375e-36,0.195452088787715,0.194238978971387,0,0.904547924404162
ENSG00000198890.7,-0.702464258714543,-5.86225250284314,0.0422670769243039,0.000696325765414275,0.0121941573471558,0.379481136385403,0.378993713875869,0,0.940342018169175
ENSG00000134215.15,0.0567401422967347,-6.58180908854462,0.00861550291140576,0.37325238997083,8.75598901898017e-33,0.562720355272609,0.562938628566381,0,0.953478753400749
ENSG00000085491.15,-0.197162082167004,-5.42341424169542,-0.00566918419892544,0.0340330686443566,1.09612383487802e-27,0.7903629033214,0.790289696116744,0,0.95805388927504
ENSG00000116266.10,-0.145098067393319,-6.72879400082869,0.0169339789813236,0.0113888558349274,3.17431981826194e-33,0.200271002198081,0.201564288324328,0,0.914669148628654
ENSG00000121957.12,0.818327029780074,-3.09499536263221,-0.176815652819296,0.0423470504981143,5.94905425372297e-16,0.0465284153378201,0.0499172691816246,0,0.793601966620587
ENSG00000121940.15,0.154572386312244,-5.1766629748745,-0.0205864273877091,0.112480050222665,1.3542221543817e-35,0.363796716845692,0.366601029300492,0,0.940342018169175
ENSG00000197780.9,-0.0419087810677421,-6.4271809804414,0.0166604401190629,0.66386724029601,3.41958736461445e-13,0.438538194258026,0.440216987636611,0,0.944267297448387
ENSG00000238164.6,-0.0664233840101183,-5.85003685450066,0.0399439169929343,0.482212432782083,2.6918522814875e-14,0.0683299560034583,0.0694969111536013,0,0.839761276665316
ENSG00000116299.16,-0.14292121078424,-7.27801350247288,0.00169520563752848,0.0827073578997082,3.21195323461674e-06,0.931145672572388,0.933174637206104,0,0.9631029367509
ENSG00000031698.12,0.278634260127142,-3.90000907383184,-0.0212591858518816,0.310935850833599,3.34987016265138e-13,0.733040690153566,0.734070318149369,0,0.957040420544729
ENSG00000143126.7,-0.0936279848157147,-6.56654801720727,0.00185099723234914,0.00122637490596722,0,0.783143967446913,0.783217177327445,0,0.95805388927504
ENSG00000134222.16,0.257104140608746,-5.71498889525778,0.00508040987626957,0.294813162677235,0.0303937067824509,0.929003398936525,0.928917811062321,0,0.9631029367509
ENSG00000134243.11,0.0727744064141977,-6.1294633325204,-0.0367225357712412,0.476187256954929,1.2798685843722e-08,0.134065835047338,0.1383849630338,0,0.894441288539613
ENSG00000143028.8,1.05504666708911,-3.9707893201195,-0.151129035900407,0.00404591193464479,4.28999180814919e-05,0.102202726239405,0.112930448744111,0,0.886022026558472
ENSG00000162650.16,-0.432794647305373,-5.65016040633691,0.0630260371972887,0.224995410464239,0.11684197355274,0.425376219169652,0.42498648084781,0,0.940840309125518
ENSG00000181754.6,-0.82141432634999,-4.27332511021099,0.0261084649188505,1.2792167711209e-08,3.82087869347654e-29,0.45744395867635,0.455000853128248,0,0.946086882011793
ENSG00000157873.17,-0.0548194965246695,-7.9336626254211,0.00240808716708185,0.129235971303885,4.12697324874759e-24,0.772107928382523,0.772714688775242,0,0.957855843675606
ENSG00000116337.15,0.228306720039512,-5.3544586426201,-0.0303321900725585,0.00774902809976778,4.70824765533246e-50,0.138708615584411,0.141768325592416,0,0.894441288539613
ENSG00000168765.16,0.579898475667568,-4.20965262472645,0.0258197234266275,0.000149283039244343,3.01174396251428e-42,0.480324746349148,0.484373950596656,0,0.947931599775668
