nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000272420.1,-1.32096779875992,NA,0.179817256660266,-0.320905070104116,0.0402079878905081,0.69447369420628,NA,0.128736747389007,0.784377550212423,0.607934416634291,0.607808128206091,1,0.846678389195427
ENSG00000097046.12,-0.934416131429629,-5.01166918248629,0.324815295572003,0.119780088503097,0.033945433138269,0.569208742331206,2.06140057109742e-06,4.49992991875207e-08,0.0572900993544842,0.377890769092528,0.388899816804364,0,0.795282159996804
ENSG00000069702.10,0.113790895547075,-6.22409423913095,-0.0172267809449699,-0.00404782895075862,-0.00516142574896636,0.871871391708813,5.01933017181854e-36,0.233628090499166,0.747958549381758,0.756226164363396,0.756201672895674,0,0.875894375535271
ENSG00000122484.8,-0.963024188113035,-5.40070644962898,0.0486952759500234,0.00453771797650128,0.0243096940470722,0.386358622507591,6.67118306757148e-12,0.0480375341136587,0.923027358887624,0.350586445932474,0.350823036316105,0,0.77914310633126
ENSG00000067208.14,-2.51872911916049,NA,0.614314384084887,-0.115249710378276,0.0488556948809079,0.0918124172300359,NA,0.252008217885105,0.359071637513501,0.138107342188084,0.138036192148179,1,0.653904815496288
ENSG00000157916.19,0.129291303525488,-5.98036462515056,0.0135139022388033,0.0281331022759879,-0.00397188432910037,0.911531787021884,5.46278711129984e-14,0.477789745430046,0.369888481378676,0.884788105653048,0.884782048552712,0,0.893743605675992
ENSG00000122483.17,-1.3084795645364,NA,-0.106241484242185,-0.548080614606231,0.0265359877431946,0.640436972314206,NA,0.144242188714325,0.131006632572473,0.685992018284752,0.685985035711768,1,0.85894455654718
ENSG00000223745.7,-2.09122725598911,-5.2534885327646,-0.0909914861490049,-0.0847474207929677,0.0325712697012518,0.0224357720608441,1.3336000507244e-77,0.000149250792454585,0.133647719208746,0.129670989465332,0.130080616419349,0,0.645419705140488
ENSG00000117505.12,0.160295486509336,-7.87659655942741,0.00448923087926021,0.0521896307982019,-0.00152917882284985,0.721941770204008,1.58562757916584e-11,0.670111010398926,0.0596542678681826,0.884662341233651,0.884703777795369,0,0.893743605675992
ENSG00000157911.9,0.227913515397779,NA,0.039894586965609,0.00242708532835196,-0.00668133949213339,0.717830217635843,NA,0.0189359862677457,0.836654727435602,0.651392078238373,0.651390140104848,1,0.853378384001398
ENSG00000137936.16,-3.93254943261827,-6.70232798462529,-0.01337391626895,-0.0634372462549451,0.0972580580639467,0.0546976322350015,0.134594421931044,0.707035559570067,0.199145498818529,0.0422054245591802,0.0530985739603408,0,0.509253975791782
ENSG00000067334.13,0.130292045811394,-7.86072686981608,0.000634500891811355,0.00567739565767453,-0.00123966396623627,0.746839977440209,1.9786216209954e-14,0.954342389839263,0.642865342403582,0.895913389666431,0.895917598880118,0,0.893743605675992
ENSG00000023909.9,-2.04487000714605,-4.33770910574265,0.019851523889703,-0.00275950867579441,0.0441857778034143,0.324263518462034,1.96601172807571e-13,0.667265524508027,0.967722984416667,0.365073027029184,0.364433724834956,0,0.786338443526938
ENSG00000198691.11,-0.42071208956739,-4.65609763557893,-0.00970632907584545,0.0704590529345082,0.00615408137640285,0.821949408513554,2.8473884967894e-24,0.793818433671699,0.387935345345182,0.889130270614934,0.889543779970475,0,0.893743605675992
ENSG00000137962.12,-1.82127052230026,-6.14778826119902,0.0368842423213388,0.104435755715634,0.0408875666945158,0.0150593283830925,1.74803376286982e-25,0.276992324817475,0.074825339584928,0.0205142233818249,0.0234980431350215,0,0.409147804778954
ENSG00000149527.17,-0.211660980825951,-5.91355069373682,-0.0124745196096937,-0.00121302714766172,0.00720453392976364,0.571229342039185,0,0.292507932229144,0.901236395211484,0.412028505790521,0.412596147517815,0,0.802813117486501
ENSG00000117528.11,0.665243456337619,NA,-0.0140826559897099,0.0370174552769703,-0.0157430792047806,0.480598276902484,NA,0.447505205765284,0.0896494277200258,0.47758022926263,0.477565090231165,1,0.815938220649002
ENSG00000117525.13,1.44968456813462,-4.65109382177246,-0.0215295510039085,0.040919896454551,-0.0390093393435405,0.116501651185574,2.71591185226956e-153,0.213704678571808,0.0476813641833575,0.0722832594576719,0.072600687503143,0,0.560822614645763
ENSG00000224081.8,3.47266099662129,-5.57070285733238,0.088809431383648,0.162536119090511,-0.0766747001851387,0.419940083805099,0.254327453650295,0.444488245442939,0.0873627907836281,0.452778440297267,0.452480108687742,0,0.810180787815951
ENSG00000143036.16,-4.5741897959421,-3.53117995169154,0.0652895958731323,-0.0253058028049062,0.104563482941102,0.241642863155481,1.0394050849426e-10,0.405723919397792,0.873920624229733,0.254006871031013,0.263118335772952,0,0.743565557905046
ENSG00000117519.15,0.183013643053683,-7.19145690470228,-0.00463313994499346,0.0232714116862804,-0.00619424737227231,0.769678070963696,1.12088447345265e-12,0.763960055786011,0.433600504235777,0.672953663764045,0.674212480484085,0,0.856715045668643
ENSG00000152078.9,-3.23064219972369,-5.73315762990757,-0.154549988604532,0.95392319547332,0.0842817070763098,0.145322033131525,5.80411038329069e-05,0.00991460245781108,0.0228811396913345,0.106440993796282,0.124572112857112,0,0.638441080293718
ENSG00000122481.16,-0.852662362706955,-4.90197309581372,0.0696770442515725,-0.0194537949355259,0.0225023273298612,0.742450922322558,9.27174037011845e-07,0.132356395343036,0.508856979472282,0.710709082350318,0.71087633796079,0,0.865434239999055
ENSG00000224387.1,0.260807076286847,NA,-0.125656586345108,-1.07415854359555,-0.0277246667450536,0.967117672254511,NA,0.352620529907554,0.379322692154877,0.849410772740155,0.849466313990159,1,0.886707905566114
ENSG00000117569.18,-0.893160544064506,-5.80518092878772,-0.00114182220402593,0.0144771310449129,0.0209072690613418,0.179693667773623,1.86470893233063e-43,0.95115781327145,0.357526987036808,0.181983372978706,0.182503693543007,0,0.69050659196667
ENSG00000188641.12,0.245647130865324,-6.14915001356166,0.465620422713337,0.0961032419715069,-0.0130427638609474,0.841157433282119,1.50224192718407e-06,0.421327732532664,0.5006784898574,0.638978689720559,0.641210745828758,0,0.852024537290178
ENSG00000162627.16,-1.45565378910382,-7.94701839247655,0.0155324059817354,-0.0259279437882195,0.0359279812334974,0.127861289127722,0.200939831301425,0.438482564450104,0.584869223877597,0.109106424468751,0.113190306901394,0,0.631172330102297
ENSG00000099260.10,1.73971526335524,-5.23433868595567,0.00759116731988651,0.308473595023479,-0.0435340461878162,0.314069973061356,6.12347054255067e-24,0.829388293727814,0.0692816632995268,0.283181483647879,0.287385145935852,0,0.7510208455299
ENSG00000229393.1,0.635328340180993,-3.83682635098883,-0.0688203197590478,0.302833660528567,-0.032291724473072,0.851512273708219,1.19583039103591e-10,0.426085151664135,0.605660160044625,0.681611082071926,0.681037928480082,0,0.858555172505187
ENSG00000156869.12,1.21048406660747,-5.85929411429563,0.0397460783823984,0.0363721148230904,-0.0237707543409098,0.342407088642645,1.29899497429125e-06,0.234637264262593,0.397124128725235,0.424788063386982,0.431200676320559,0,0.804800241603312
ENSG00000162688.16,-1.32314594358496,-5.42798263642171,0.00871277816203896,-0.0476456182056977,0.0349732880840814,0.50507520687117,5.35919107403469e-07,0.907636880279389,0.346625240837929,0.454627079572062,0.455204251410373,0,0.810220981130629
ENSG00000117620.14,-0.320212519942571,NA,0.00163362106973362,-0.033156119108784,0.0105255277537373,0.735103280651783,NA,0.92310079078746,0.535142393022078,0.635225942011719,0.635230359397231,1,0.851421252687248
ENSG00000137992.14,-0.156453551227279,NA,0.0122944177183509,0.0220802836635895,0.0018402251437584,0.913129259086976,NA,0.670741129983869,0.585825970005953,0.956220505238951,0.956220528633288,1,0.899734410317391
ENSG00000137996.12,2.76385025038391,-4.58799274491116,-0.0422201760697642,-0.101102021168526,-0.0669270823784659,0.0323907215821365,7.97518263293628e-41,0.145087716904515,0.273693389610602,0.0273702609259229,0.0283775544436112,0,0.422641655558059
ENSG00000079335.18,-4.54926570337456,NA,-0.13734912077948,0.226326882041549,0.10711590131605,0.204192181376079,NA,0.26567008286675,0.103410758638675,0.20023843666617,0.199695001629069,1,0.700370491225731
