nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000272420.1,2.57762084737619,NA,0.136756177386585,-0.235840228982863,-0.0649134072827474,0.315141663260939,NA,0.538095909494987,0.85487605105452,0.408592721628236,0.408459160108689,1,0.80466183655294
ENSG00000097046.12,2.15192651404789,-4.10863428025313,0.296458787031665,0.0911238513706254,-0.0492452178960502,0.20248406779609,1.80345389678619e-11,2.4088726283066e-06,0.30909991940661,0.338649071193414,0.341059203703493,0,0.78511152187699
ENSG00000069702.10,-0.417022508418289,-6.41134483854117,0.0177529234444643,0.00549305265931975,0.0160558822954882,0.470393704555595,1.01484319557289e-31,0.208071492715517,0.662259059190162,0.364366174135874,0.366242878582128,0,0.795258195508973
ENSG00000122484.8,0.0117632317421899,-5.43483933402025,0.0528785228044468,0.00404126328765501,0.00192509954087502,0.989720325142639,2.19971142600078e-11,0.0294782816547523,0.931377744046782,0.944825763566132,0.944825788144334,0,0.895979067688879
ENSG00000067208.14,-1.02757166151397,NA,0.191041223908679,-0.17966753362357,0.0233212290116777,0.205000339379495,NA,0.598844051664303,0.0864989325611344,0.323217803403984,0.323157609995666,1,0.78058296286464
ENSG00000122406.12,-0.178858888232448,-6.13061157536959,0.0432713587535311,-1.13719961194007,0.00628789899583615,0.921940021317393,3.26317312580447e-18,0.36375860536815,0.133090590060037,0.913949614473436,0.91954453380143,0,0.892456926745515
ENSG00000122483.17,-3.20398089830494,NA,0.110048672955459,0.429765784069861,0.102918533301561,0.174946540193557,NA,0.0974992962604731,0.239438124849581,0.15234914118955,0.15135827033204,1,0.669173384462825
ENSG00000223745.7,-1.8990789801088,-5.2579105743462,-0.0881428179854319,-0.097129653061799,0.0364507009507914,0.00745409647619107,2.21210091435743e-77,0.000239904619608873,0.087173830769629,0.0919033853544458,0.0931559343189152,0,0.608570654622879
ENSG00000117505.12,0.600106479735626,-7.96241423768454,0.00260660447160544,0.0554347119607123,-0.015364227644349,0.0933273777896082,2.69281699819319e-10,0.805275390014531,0.0454076857824662,0.157593994003687,0.157910518470785,0,0.673516690230176
ENSG00000157911.9,-0.510233246306872,NA,0.0137588354737622,0.0173591952357451,0.0123620477904012,0.623040460326461,NA,0.509594488036702,0.528070289496283,0.695430244176829,0.695416773696169,1,0.86750465569793
ENSG00000137936.16,2.67389829083261,NA,-0.0425207075885193,0.336596358436165,-0.0747878359855432,0.034028075756707,NA,0.10246098435969,0.00818952834817703,0.0506288312900853,0.0505185289621041,1,0.54200847197385
ENSG00000067334.13,-0.264581389063447,-7.89296717914399,-0.000961779474685354,0.00603550438585429,0.0103773944946576,0.385869418168446,3.65739238778749e-14,0.926862577651039,0.619448927457394,0.263295238853711,0.263527736296925,0,0.747733948513647
