nm,int,od,b.gPC1,b.gPC2,b.PF1,b.PF2,b.PF3,b.PF4,b.PF5,b.cnd,e.int,e.od,e.gPC1,e.gPC2,e.PF1,e.PF2,e.PF3,e.PF4,e.PF5,e.cnd,pval,status,qval
ENSG00000117500.12,2.84287234553865,-5.8065522884481,0.0119627844325103,0.015804973727901,-0.0250227131642774,0.0212858974174544,-0.0118693217928423,0.00866895448288797,0.00834467447192731,-0.0598628616041329,0.130539331308548,4.50801580142278e-15,0.68274001957132,0.659325178719079,0.448107693079698,0.490793802178855,0.687167891967084,0.754605558485221,0.774203831430087,0.129153382703865,0.129436353075124,0,0.732910267211681
ENSG00000223745.7,-1.44570159989306,-5.83843627863603,-0.00092076515095103,0.0231524067331742,-0.0602386264629934,-0.0415649052784392,-0.000767264044727628,-0.00578925035810163,0.0425474648856622,0.0183949201077232,0.239669180667178,3.32855031020071e-46,0.968815014404292,0.697490817781501,0.00216176534501618,0.0400254412389434,0.970178275642696,0.754728009933929,0.0613445895050406,0.477394739009863,0.478225011373745,0,0.834801763500121
ENSG00000117505.12,0.779117521255236,-7.42233976687514,-0.0194903279448091,-0.0652319447759988,-0.00909721240153662,0.0219320182653385,0.00924423468782871,0.0231343232066133,0.013082708251651,-0.018705448279358,0.26745293908298,9.15410614627714e-22,0.048872430455411,0.0477787379726571,0.446554774154746,0.0632408069544511,0.416870006717356,0.0272098334252205,0.287889497573837,0.205758901169237,0.207840040859402,0,0.772569347912134
ENSG00000137936.16,-2.18877435046261,-4.61135669347418,-0.019907878330765,-0.00827912850357876,-0.0118646902684619,0.00721531473306271,0.0480828859301397,-0.111833662768085,0.00153631851430222,0.0500932562986606,0.589506814675797,8.23555248521623e-11,0.667603464411109,0.865468163930232,0.86685287947265,0.926113688905949,0.529894429125441,0.202456565423727,0.984052178280776,0.556706418340952,0.560035137853346,0,0.84610259260311
ENSG00000230439.2,26.4825269080588,NA,0.131871331524415,-2.05886680395298,0.135684823315401,0.114746288610737,0.0613717123730659,-0.167310050992612,0.167579163536098,-0.573576561356683,0.0558343809376756,NA,0.676494784706406,0.577201609484894,0.632021730141867,0.685390912025126,0.791408916602231,0.593636499754155,0.522819738579407,0.0446343599352557,0.0425873297047369,1,0.633406197410516
ENSG00000067334.13,0.106475342207991,NA,0.0108820981570469,-0.00211486784051483,0.00528365436374215,0.00328284390955043,-0.0138049063508022,-0.00976182785025436,-0.00604934689725531,-0.00063881673872104,0.856731774296992,NA,0.309854000498397,0.804562013303975,0.576660299792293,0.733280963315972,0.107405707897773,0.251509913344798,0.53138937530479,0.958940485602664,0.958940435864078,1,0.890900251108605
ENSG00000137962.12,0.0605312861706302,-6.04777067894507,0.0117621605695226,0.010419762895207,-0.00170082321501748,0.00810071019263085,-0.00285587682668244,-0.0231681479396586,0.00373420600414284,-0.00292928886362008,0.937461596265964,2.32954271360974e-96,0.405197414073526,0.430104339351104,0.887828322174683,0.554614516077111,0.832678442848168,0.0338788346175391,0.790527732345132,0.856779854534812,0.857124364445479,0,0.878486388523477
ENSG00000117525.13,-0.732098641697155,-4.6850287283916,-0.00378850709140077,0.0108778549863498,0.0429584622083281,-0.0154982846868491,-0.0313270882609113,0.0100492348827701,-0.0160501502297221,0.0126749964246223,0.511185652384257,3.41954098700016e-259,0.818899569105974,0.467317410069186,0.0150345953195879,0.356975514645873,0.0745797578774743,0.563880284279172,0.414284522432741,0.588771993365301,0.588874420452322,0,0.855479795336631
ENSG00000224081.8,18.009983310809,NA,-0.175486819139483,0.140241169211274,-0.0736126737107295,0.296261520060148,-0.0868111012577786,-0.0736601009723438,0.116560249468282,-0.375318368678926,0.0707239684591212,NA,0.0757405681639979,0.181973352276165,0.456048165569103,0.0469798215360763,0.516893166554104,0.69928230719521,0.435157038431169,0.0737105178896645,0.0715460673038117,1,0.680347981789285
ENSG00000149527.17,-0.476021821254856,-5.7528273951819,0.00532777414916996,0.00385474297915313,-0.00208777171012797,0.000751123395375941,0.0111922616012369,0.0226254089848901,-0.00849354534349841,0.00781047779771653,0.453953161343218,9.90298798606321e-300,0.583358156871741,0.679618870633707,0.846294042337356,0.943076055712222,0.256921315357652,0.0427352739048161,0.481912302970101,0.559191140898875,0.559676973878768,0,0.84610259260311
ENSG00000143036.16,7.75525475572491,-3.60237260237392,-0.0810468783163089,-0.0577958773572429,-0.0374089008512512,0.129895332236539,-0.114422570992825,-0.100773230741415,0.184598681505327,-0.168252266373152,0.199099617050347,1.13921962970436e-14,0.246958823983354,0.202177053860886,0.613086778157508,0.125715579559826,0.165104236277295,0.329159088474047,0.0369443134737494,0.186568040526386,0.188260455994884,0,0.769173627651387
ENSG00000117519.15,-0.818322182870384,-6.45822601521371,0.0200291005118994,-0.0469664411307022,-0.00769085895797387,-0.0192521612992379,-0.000955501290262443,0.00892342081362682,-0.0193643131491195,0.015663998527009,0.351516951987831,2.09895816545656e-48,0.220900050110705,0.276036909692312,0.569341561525907,0.171058198542542,0.946279775760891,0.488199318091807,0.217841379309756,0.396511606958517,0.396584333640507,0,0.818547263919394
ENSG00000152078.9,-4.16609489571394,-4.15236171995671,-0.0631221376217982,-0.033691927890907,0.0282335506369065,0.0771892779558051,0.117129455408896,0.119370861358149,-0.00587596948110241,0.0918370729686222,0.602749696457993,0.000168531135817633,0.59235613512147,0.748766329316386,0.749024407121829,0.579480330027442,0.304600027661415,0.290209808084672,0.963738654678645,0.584941271321705,0.58526372038245,0,0.853309239243886
ENSG00000122481.16,-3.64999981671418,-5.01579624394159,0.0234978023021503,0.0498644738552533,0.0124999600755137,-0.106780534414993,0.0119749386908025,0.0878263409517407,-0.0402372321186635,0.0768667119759298,0.250145208961433,1.08390549791662e-10,0.647219094545201,0.0783044435256906,0.823305837866648,0.0357256271585632,0.794380917749184,0.0759576030187024,0.498832202187818,0.249723219597122,0.25128351228296,0,0.785426627214425
ENSG00000228852.6,-23.0391269970909,NA,0.101232188643579,-2.09313585858538,0.565964958474165,-0.100262338599624,0.0476955753944004,0.281480536110489,-0.203175501347319,0.457241495353349,0.322376609452806,NA,0.747160792858842,0.40672968837815,0.0686294683787999,0.743164746608345,0.864350657895442,0.433152147607767,0.565832488200487,0.345847409147608,0.341650167705258,1,0.813619317509511
ENSG00000224387.1,-2.29936050403536,-4.34525640162578,-0.0319991776539141,-1.16079107871353,0.000748258647678561,-0.014534187776582,-0.146766341777024,-0.0512563876383169,-0.0686396622592842,0.0523843811306151,0.86567352008611,0.0145275480548842,0.840332808697431,0.290414446599814,0.99620397361689,0.936067599239561,0.33578693065195,0.712185552968251,0.736406500436714,0.854793959329067,0.854482957618692,0,0.877925432772427
ENSG00000162627.16,4.33557593213578,NA,0.00416207045441387,-0.0219791202882443,-0.0451128640571867,-0.0391204543496631,0.133222366119732,-0.0344255373808217,0.136931988947558,-0.0855556047499545,0.251399735925495,NA,0.914779879271489,0.606699131883501,0.419864425084813,0.519534273843481,0.0281995825829688,0.608825915080649,0.00386590358384098,0.281656060911181,0.281203023763972,1,0.79220967458238
