nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000228838.1,0.45861844326206,-8.26886176464202,0.034463595242076,0.00749463583052369,-0.0644434460926631,0.000262682807950932,0.433143406862114,0.388596669449241,0.856481979495163,0.0354907941200443,0.0356035151061502,0,0.828269507358518
ENSG00000226938.1,-0.25999763350162,-5.63507759380022,-0.00782837436085964,0.0357043501093119,0.00664951851276625,0.0559587128451331,8.32370275718485e-06,0.858756081711216,0.502021193929444,0.850940114112551,0.850993849524118,0,0.959101714849629
ENSG00000236253.7,-0.323796791210916,-6.37576620425693,0.044925468364065,0.0327929685032723,0.0249478922519954,0.00280162425182246,0.000138367322541705,0.114968067241387,0.315404097719014,0.367047611297315,0.366859959361705,0,0.909963924552942
ENSG00000058799.14,-0.0072114524029346,-4.38780628423592,-0.0260267528479703,-0.00569247076146111,0.0510801000457314,0.96334426596672,1.89106164952349e-29,0.411678706041738,0.885736696630057,0.188177884262447,0.193916675961572,0,0.878449955074195
ENSG00000116212.14,-0.047107539303614,NA,0.0213067984752371,-0.00187098751089131,0.0455421239996956,0.653379412930785,NA,0.367031672400436,0.962185282629211,0.0873608661658627,0.0873631806403872,1,0.843216926935896
ENSG00000203985.10,0.582256255756408,-7.35173661288363,-1.80101360135454,-0.203327488231889,-0.138264173600449,0.605616701233763,0.789899244904279,0.50687533949828,0.589800152723426,0.199828445252875,0.201933939788283,0,0.878449955074195
ENSG00000116209.11,-0.0189793838231505,-4.64639493283725,0.0126599368930517,0.0220850894324281,0.104066214627505,0.941174314549884,4.28241143409106e-21,0.783240951608552,0.958544816865996,0.10372776507887,0.10947321605337,0,0.857721970056311
ENSG00000215883.10,-0.22545885274394,NA,0.0147913353522281,-0.0453768345632641,0.0471310795394848,0.167339408371044,NA,0.760765118683163,0.424736280801115,0.2503186162235,0.25010062684152,1,0.896084492484743
ENSG00000116221.15,-0.253291848982611,-7.30063707909327,-0.00573255144433175,0.00421185537362458,0.027900279800328,1.1210450734586e-06,1.8661398290015e-25,0.721294746670704,0.573430642375893,0.0327120966404255,0.0349128799997603,0,0.828269507358518
ENSG00000198711.5,-0.638931328944033,-4.49742244417194,0.0608410261763856,-0.0559320350857203,0.113338168005202,0.126670520171971,0.0011360738758071,0.636457233245407,0.717340705556623,0.247709171296529,0.249741602881937,0,0.896084492484743
ENSG00000162390.17,0.473182153752503,-3.99416158058675,0.115630464838771,0.061268832405866,-0.0718651680366308,0.00117664972676837,2.47417881695874e-37,0.000576086229485673,0.201915869428332,0.0458867166250471,0.0490303246602537,0,0.834556403052156
ENSG00000184313.19,-0.134579603347369,-9.05607982370413,0.00252250757488291,-0.0283169729572094,0.0118451680953647,0.00160560494489778,4.74122572567317e-07,0.803653594708802,0.562192254242626,0.263413670527858,0.26346549661143,0,0.900121499138079
ENSG00000243725.6,0.00471683479115632,-5.88840017988132,0.0330325282755399,-0.039631354140227,0.0202602349407973,0.929223794393061,1.6134029597785e-101,0.0049061371047715,0.54388608314576,0.121244372562339,0.122764658743896,0,0.861018704457899
