nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000171502.14,0.955134771359616,-5.74690882437766,-0.146616917455619,0.0231444743936104,0.259866363732644,0.134048519077135,0.132563712056255,0,0.80352451313907
ENSG00000122417.15,0.0999132177260826,-6.26224861413275,0.000346770196840717,0.0144901295566091,1.0224340313279e-121,0.970858820542593,0.970954266359533,0,0.9279599350631
ENSG00000261737.1,-0.0454129318960234,-3.60027726758037,-0.0579025998518418,0.949849560408285,0.00659457860630622,0.738523515646315,0.73769205461796,0,0.914250582441086
ENSG00000097033.14,-0.0513299676116417,-6.99330959332754,-0.00827045977538982,0.370541615398934,2.58518612419337e-18,0.538760716330372,0.546084273549666,0,0.891290889565689
ENSG00000183291.15,0.0296696693529464,-8.08031483210246,-5.98386510687847e-05,0.266675130949797,2.35651789392164e-56,0.992028721672597,0.992028184498166,0,0.930591657073831
ENSG00000267272.5,-0.0206355071202558,-4.75941931605392,0.0591649987286713,0.870662407010869,3.95316269662456e-42,0.0448701627564885,0.0459976444864746,0,0.724436787000947
ENSG00000143013.12,0.119475123023312,-3.98908137653038,-0.087142601796471,0.622879747399565,1.29149050917e-25,0.12966875069113,0.132004918581473,0,0.80352451313907
ENSG00000065243.19,-0.155852318266333,-7.71921624579481,0.012985822249114,0.0496147284990939,0.000398081958498892,0.483123503968675,0.486058353733268,0,0.877086029257885
ENSG00000137944.17,0.30712025641207,-3.7519465214963,0.0352737491849034,0.00697401748581799,2.37106597962359e-111,0.181102896587323,0.18105854796534,0,0.822354922579622
ENSG00000213516.9,0.0936081000496117,-4.62502105420745,-0.00422402967147356,0.538557592974613,1.61735733790215e-20,0.905276658782098,0.906823917197065,0,0.925545970443294
ENSG00000117226.11,1.19379244351196,-3.98893631988121,-0.0220296163648779,9.35704887773108e-29,6.16439258795208e-181,0.364795146662713,0.364173336622281,0,0.862543097441813
ENSG00000117228.9,0.247039862809587,-5.5432613374518,-0.00373148957928408,0.000113520257713107,3.217164734861e-140,0.801013535592928,0.801371782398975,0,0.918396709111283
ENSG00000162645.12,0.0414732869449323,-7.41966323868257,0.00960447300295689,0.380896681396628,1.92062838246453e-16,0.364863343077514,0.365683524602715,0,0.862909023474711
ENSG00000162654.8,0.229183536748952,-6.55101858010251,-0.0296158265758711,0.00781901421422238,6.82700134918166e-10,0.139381263425643,0.140144063784754,0,0.80352451313907
ENSG00000154451.14,0.0841211991463373,-4.22482311082963,0.0493218490376103,0.712322972940379,9.48898240219078e-15,0.352245743321907,0.356580607584248,0,0.85950390784986
ENSG00000225492.6,0.82343469587028,-2.9856943733168,0.0787723305841448,0.0134605495791665,3.4825835995668e-26,0.312527037813383,0.312406468103495,0,0.853443661736819
ENSG00000197147.13,-0.440262717921662,-6.24378970615618,0.0494473258401535,0.0880773014478503,0.151299958601195,0.407897188432679,0.416114141575964,0,0.874446255870844
ENSG00000162664.16,0.106733278925901,-8.58420166774775,-0.00728018057842757,0.00384771708471154,0.000104170621564454,0.387030465852197,0.387916042146493,0,0.866917512846558
ENSG00000122482.20,-0.0507933883234554,-4.85370994392959,-0.0175339932738209,0.805363794024655,1.19202593513473e-12,0.703375784663497,0.703217096677275,0,0.909221299331835
ENSG00000162669.15,0.214797401277076,NA,0.018010041849383,0.248194208774221,NA,0.680036702635183,0.680108870877561,1,0.906349184801296
ENSG00000097046.12,0.250910888325387,-4.28974637360421,0.0777528824424367,0.64048329046791,0.0010941063600905,0.514464720553355,0.522224427573054,0,0.887131967499844
ENSG00000069702.10,0.117827879347157,-6.02085001227971,-0.00971815884825294,0.126717343958842,1.58385522146234e-39,0.586618824611126,0.586927551553379,0,0.896388774392857
ENSG00000122484.8,-0.117392014222804,-5.8057793549573,-0.00911342378453202,0.339290494594388,9.00630867658062e-09,0.744790795976013,0.744874812341239,0,0.915387613156197
ENSG00000067208.14,0.0188394241034073,-5.9335751691108,0.0249634452058412,0.867569243187235,6.93983841058875e-15,0.328620886780454,0.329017864191779,0,0.853443661736819
ENSG00000154511.11,-0.501265204003598,-7.02239959431714,0.154941701540943,0.0531237450471794,0.336949355090299,0.00833617704067991,0.0110110262151936,0,0.635672730443388
ENSG00000238164.6,0.185940750487001,-3.83860159269214,-0.0715887933431075,0.129714704868899,1.57680642113931e-120,0.00977176107749288,0.0104058860492912,0,0.624420840290858
ENSG00000122483.17,-0.0333670547076266,-5.860568295596,-0.0287407224488085,0.896972927619798,0.111606812751378,0.618694318038043,0.618884981092363,0,0.902234122341688
ENSG00000223745.7,0.682292058761984,-4.71287761011483,0.0311366958331782,1.5307104083555e-15,2.66963407655201e-224,0.106968766551408,0.109017233210013,0,0.798084691711205
ENSG00000067334.13,0.0981141103304273,-5.88254445065374,-0.0089627117184481,0.184945567838448,5.21476162006696e-67,0.594079199755074,0.594203719334173,0,0.896623376056297
ENSG00000157873.17,-0.120755047255046,-4.95501978421559,0.014439158917431,0.0208125545289931,0,0.226423877712237,0.226890797946894,0,0.829690468209113
ENSG00000023909.9,0.130790065793808,-5.13230739811497,0.0294258280456727,0.199155096559391,1.06108553734063e-37,0.219578237819945,0.220737689407001,0,0.829690468209113
ENSG00000117525.13,0.183850127386742,-5.19148571635646,-0.01369325085537,5.20296619662871e-05,0,0.188555188403535,0.188855580033327,0,0.822354922579622
ENSG00000224081.8,-0.375552983558963,-3.59008773385746,-0.00859021138286029,0.082197233015912,7.51850020547964e-27,0.860058169280097,0.860632732163912,0,0.92366430723514
ENSG00000143036.16,0.0906574504612325,-4.96818344878662,0.0039948424775419,0.808411102843724,0.00158142738333098,0.962295743095083,0.962654311802627,0,0.9279599350631
ENSG00000117519.15,0.0662410202817445,-6.6169419889246,0.00546934878427195,0.124305638958705,1.29601860970815e-99,0.569924022399774,0.56996975110261,0,0.893660000821194
ENSG00000235501.5,-0.023449104234105,-4.66307349196572,0.0791675889527712,0.93755732451771,0.00139347516911933,0.261268466886697,0.26232379379971,0,0.845615788216102
