nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000171502.14,-2.36892970260688,NA,0.0445926957084131,-0.355922480066942,0.109650103911697,0.30676553895446,NA,0.537643185366661,0.00376745272958532,0.237784885370245,0.237232039337105,1,0.680892203481411
ENSG00000122417.15,0.00618864501788382,-6.22142498967097,-0.00749927271764945,-0.00306094791909638,0.0034022024841683,0.981327182626636,1.19673235495768e-118,0.500544948784392,0.706816049088551,0.746379034725981,0.7464010283333,0,0.848231793696573
ENSG00000261737.1,-4.60317914900204,-6.12470230675837,0.605463210115528,0.00817535747569167,0.167403178528865,0.507338466112548,0.627561278924143,0.045251186327484,0.964896272710121,0.542766417786304,0.547843164199147,0,0.81040864721686
ENSG00000183291.15,0.0399635207738695,-8.41131998285219,-0.00213837244029334,0.0293492077510312,-0.00248046697137358,0.768189077288347,7.79207837248214e-43,0.63963249378625,0.145562072853255,0.647378589537087,0.647400671531493,0,0.831937965852253
ENSG00000153936.16,0.7144029629939,-8.88440887383325,0.0260545830653665,-0.01246355045473,-0.0284446938102349,0.126108766123296,0.400424541571635,0.124273401878428,0.854923565174573,0.128890707510007,0.129767577477689,0,0.60122829206525
ENSG00000267272.5,0.687632754429568,-3.78367165744142,-0.146772857403602,0.370102903865384,-0.0403293208206996,0.762114735732453,4.70042160822775e-15,0.135376880076717,0.145215304293913,0.659372271378137,0.661928612635429,0,0.835620271948333
ENSG00000143013.12,-1.84670613148461,-2.84415541149569,-0.0706851300541965,0.0392753331047078,0.0587818899224485,0.451568212846888,7.06297137930724e-24,0.267667447921003,0.567816083886702,0.548741119058961,0.553792096356797,0,0.812258896354578
ENSG00000241975.1,-3.34750122538542,-3.78420816801031,0.064357120296412,0.311626929302652,0.142024505946328,0.37864858079846,0.000404182728167008,0.497191532887538,0.2700162383327,0.347179752623721,0.351967028419134,0,0.748777698751033
ENSG00000137944.17,1.7952354409511,-4.55234926144026,0.0433106042931531,0.0122275530366678,-0.0525311423454741,0.000685992397519427,8.98218631855126e-103,0.0801105498696155,0.500953226752374,0.0127221861396709,0.0136762041166997,0,0.321281027137788
ENSG00000213516.9,1.25380497799551,-4.70585104603274,0.0182992633384211,-0.0198291787484907,-0.0465659428685376,0.165754406269465,4.45050946553706e-19,0.641162216189373,0.540800763478447,0.19257826387359,0.194085925991744,0,0.654929593308453
ENSG00000117226.11,0.991317065606018,-3.93508500198222,0.0700680403218521,0.0232026495144631,0.00313683276467899,0.103162667803547,7.65675485598656e-185,0.0466687851315916,0.409637026363314,0.897113241458973,0.897285755736369,0,0.870859571173625
ENSG00000117228.9,0.441379742000111,-5.57151717473174,-0.0221792238509103,-0.0191353813964155,-0.00836755738139313,0.252126449424149,2.26087747147852e-138,0.0937113855458889,0.138061502991201,0.586361004896098,0.58756647535872,0,0.819809893862098
ENSG00000162645.12,0.625684616725399,-7.58061761286529,-0.011931546548468,0.00454077528071946,-0.0217294851415075,0.00955058159331243,1.41514573825837e-12,0.32160166808973,0.660676856155871,0.0246450697347956,0.0260715472189542,0,0.395435505414827
ENSG00000162654.8,-0.091835029979415,-5.96497382759927,0.00521436794908865,-0.000889055839699837,0.0072399460881898,0.871055267334029,3.67313191915088e-24,0.753228397424481,0.974434578620765,0.748550373383642,0.748815616215545,0,0.848231793696573
ENSG00000154451.14,0.265939025232636,-4.2709665947376,0.0411520422956213,0.0358715956138264,0.000647370615974566,0.801174889633813,1.03398235759164e-13,0.534758600770399,0.377831678890407,0.987695181446569,0.987839738603766,0,0.879279202012435
ENSG00000225492.6,-2.20585582267981,-3.65568443840631,-0.0687309344227705,-0.00349065653904376,0.041725445239585,0.0945143779064686,3.8900887668373e-47,0.24617260205853,0.917327780057536,0.429645496337407,0.432052655336984,0,0.781088822711324
ENSG00000197147.13,-2.19379287343875,-4.78300648643774,-0.0210225132677085,-0.0544000405099324,0.0767586623194838,0.287131259688456,0.000410071564753087,0.731779172899332,0.878748843422312,0.346907695777588,0.346502868307983,0,0.744292791146025
ENSG00000171488.14,0.275853832093396,-6.5198978393759,0.0484469070404991,0.00940198508405173,-0.00948293602894782,0.832320305671877,0.0992764941144114,0.379163717936138,0.798593781779335,0.85370883484258,0.853709050908192,0,0.865391218654716
