nm,int,od,b.gPC1,b.gPC2,cnd,e.int,e.od,e.gPC1,e.gPC2,e.cnd,pval,status,qval
ENSG00000266338.6,0.61999952780631,-4.08310741770819,-0.0498467352402945,0.0160890137324601,-0.000374206101210135,0.0395609626239875,2.64242176940627e-13,0.272971434951022,0.847365424070454,0.995896428728338,0.995816893568185,0,0.835282725708372
ENSG00000227372.11,0.00252896702856249,NA,0.0058481711889165,0.0229709272352752,-0.0167305044581645,0.982337894272485,NA,0.820483888906638,0.337062925214156,0.549913100825464,0.549919666968111,1,0.756231146002541
ENSG00000131788.15,0.929574444296617,-6.13692997535672,-0.0405702055333204,-0.0661998321251943,-0.220025113008442,0.000262018077426068,0.119215148616757,0.37291459392386,0.668103621636896,0.000477706998434209,0.00254493994216561,0,0.123741790340002
ENSG00000265241.6,-0.0879480530663132,NA,0.0330980507159383,-0.264829162107499,0.044819337150366,0.600943395097869,NA,0.360752091967252,0.192969654749569,0.239862765223229,0.239895669961147,1,0.647554640902079
ENSG00000235169.7,0.130884540663589,-2.7243108926292,-0.224743132456943,-0.0041721967788108,-0.30633461357826,0.752906337216008,3.64736960024968e-13,0.00701610359221159,0.983963388311062,0.00289668403104289,0.00355999586469573,0,0.149949897194077
ENSG00000271601.3,0.0922789304430699,-3.96182598466004,0.0379543395068712,0.0430232959753901,0.00405859814607867,0.595551812659802,5.8177925889032e-29,0.299111677178569,0.685333280275845,0.927165530688129,0.92744355732851,0,0.82586507497352
ENSG00000265972.5,0.100094368518916,-7.12518797853562,-0.00358653887462285,0.00230876039976674,-0.00488891785845007,6.21339071364348e-05,0,0.405387309675046,0.59363558004913,0.413571635113469,0.414482311176912,0,0.723689906895341
ENSG00000264343.5,-0.0327116536247333,-1.95045902930589,-0.115620607669061,0.0102143302488901,-0.0608709958371967,0.927528980922018,1.07256356424447e-20,0.332375387336105,0.914029140351834,0.492044862614336,0.49157493033451,0,0.7449846649839
ENSG00000268043.7,-0.0716090070319359,-4.10842101131239,0.0152374764962768,-0.0648732915007628,0.0706230161975755,0.621625302106894,8.08822205830861e-38,0.621534017401203,0.0192388251931879,0.0448782608249589,0.0483732696486647,0,0.421218311326065
ENSG00000131791.7,0.247181966603571,-6.32291514845093,0.0133041312408458,-0.00801975430943662,-0.0257272291792111,0.0104856066329211,2.40233985637709e-05,0.660750753095692,0.79184084348911,0.28041558774053,0.280311126327647,0,0.669917076061826
ENSG00000130764.9,-0.108650341337988,-5.30295518298477,0.0129964802893112,-0.0260031989164147,-0.00352914538923386,0.106401221635437,1.31403879669995e-63,0.425652029556543,0.488274602820084,0.832124523639272,0.833070599903647,0,0.812397582112469
ENSG00000131778.18,0.214189810536424,-5.15274753357148,0.0160613358339026,-0.000331071022890438,0.00482044895979369,0.0127846084736758,2.05050174364134e-55,0.491296571888412,0.989389573594739,0.814537623617538,0.814657927763531,0,0.809160464329175
ENSG00000162836.11,-0.412169295582656,-4.58962755572859,0.0630312144254724,-0.042865472019542,0.0766681305753703,9.76071909897242e-05,3.22599498971108e-47,0.0498226322298933,0.232638222685998,0.00266721542027064,0.00293706913279832,0,0.137104994968788
ENSG00000263956.6,-0.24844002942191,-1.81256166757556,-0.00722567605058855,-0.175964762221236,0.105902047085539,0.572125488259332,5.45256515250116e-16,0.927572048243777,0.23824886153006,0.304618556309707,0.299708312049273,0,0.680664703500259
ENSG00000274020.2,-0.180134812265714,-4.86285607422812,-0.0088672194195781,0.0234773250822835,0.0181812164698086,0.145447356863017,2.11026818301837e-31,0.82336244034772,0.472747834138051,0.552962637900448,0.555857421063913,0,0.758535321287574
