nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000235169.7,0.08870574158623,-3.09947735231493,-0.287327280275101,0.802230253001946,6.0463999514746e-13,0.00134404734541155,0.00190259673611508,0,0.124080498704275
ENSG00000265972.5,0.104433457722487,-7.12079367042282,-0.00508910247211053,1.87345228030108e-05,0,0.393851941373821,0.394789811036716,0,0.743305615566916
ENSG00000264343.5,-0.0477479236530587,-1.92960481672367,-0.0608074013412691,0.894548553971524,1.78868427788019e-20,0.493795509097146,0.493054887723985,0,0.782479263055908
ENSG00000268043.7,0.0832404930564474,-3.10596014791692,0.0229065679399366,0.660390354000003,2.25588685977617e-47,0.622314862486522,0.622653163162083,0,0.805534369722047
ENSG00000131791.7,0.26289280545673,-6.36248366827516,-0.0292665711102017,0.00623858012529905,4.55973606849972e-05,0.216178830831724,0.216172989758431,0,0.652390226828863
ENSG00000130764.9,-0.107503695404919,-5.28575579777823,-0.00328594313004025,0.110461542656159,1.2895935047894e-64,0.843901788088887,0.844918065109539,0,0.832989644702695
ENSG00000131778.18,0.211847126169695,-5.15581864642157,0.00598897727203812,0.0135408559600878,2.91613797803747e-55,0.769321409490261,0.76947065525442,0,0.823349583886348
ENSG00000263956.6,0.233004917221501,-2.85417511693921,0.049009537434132,0.327684576559464,4.19556328821501e-37,0.382809381124088,0.382919597722385,0,0.737037274460876
ENSG00000231551.8,0.299353954733085,-3.35871088955062,-0.00471824926651718,0.308521592362358,2.04856755951198e-16,0.947456192988152,0.947447800589897,0,0.842726364688926
ENSG00000269713.7,0.299488630094396,-0.966926797448629,0.0283471717384645,0.677412630380251,7.55569625153696e-05,0.874835098301345,0.876701093399495,0,0.839388699135664
ENSG00000274265.4,0.661422961789539,-2.5420772405781,-0.0989370844235906,0.253555355639537,8.07538847950391e-06,0.486458204943887,0.487565897177979,0,0.780783255260599
ENSG00000116198.12,-0.347074013929514,-5.90927589549861,0.0133203770859683,4.15076747392179e-05,6.50602002699389e-15,0.517319056425525,0.517511830982197,0,0.786811031677124
ENSG00000150337.13,-1.32263574006638,-2.09867564700397,0.205592303044463,0.105637186380883,8.50693504507051e-08,0.294420020069025,0.299382833749944,0,0.700135566434705
ENSG00000203814.6,-0.0972183273428947,-3.10834606969235,0.097621158046613,0.637690757566782,1.91098241420129e-54,0.0483199059510173,0.0505660420033843,0,0.463391513486941
ENSG00000261716.1,0.695528677801432,-4.93712722825304,-0.101249232650375,0.00238845399880788,3.76854916952409e-06,0.072831269023319,0.0750810317030382,0,0.518069473058791
ENSG00000143368.9,0.0521178261528721,-6.10683680040238,0.0245091755453664,0.773661987479285,1.12326420514962e-05,0.595659724479948,0.595892727406054,0,0.799770751866485
ENSG00000198912.10,-0.23258198425538,-5.21552941155229,-0.0131072591432247,0.0274840325438043,2.30843820976665e-22,0.60206805703398,0.602320095557431,0,0.799770751866485
ENSG00000117362.12,0.051600133579856,-6.91988874846935,0.00700115432431097,0.550526764670788,6.36727461084939e-07,0.739406712930405,0.73961923969504,0,0.817803958255177
ENSG00000266472.5,-0.211225487341556,-5.94360529167093,0.0077905844112515,0.0039738953872804,5.31192486453549e-22,0.664823421853241,0.665416606242914,0,0.810558810214516
ENSG00000117360.12,-0.0351515693850497,-5.36361055009899,0.0340997402440023,0.736160334065704,1.4439171439461e-20,0.18137793349787,0.182192229969248,0,0.632547337045242
