nm,int,od,cnd,e.int,e.od,e.cnd,pval,status,qval
ENSG00000235169.7,2.60937253600412,-2.91910529427793,-0.287808886248311,0.0661400689664603,1.96364053017001e-13,0.0106319085700733,0.00803870800254406,0,0.087309694129874
ENSG00000265972.5,0.163509294454224,-7.12862802574918,-0.00620179014209535,0.0236391996790281,0,0.271187680203483,0.27310821190126,0,0.549704317959404
ENSG00000264343.5,-0.330729192776763,-1.92184077008267,0.0036044643262953,0.807351793115195,2.13740056448946e-20,0.973250241891666,0.973241381931888,0,0.779874105491395
ENSG00000268043.7,0.6586873259265,-3.11406072642066,-0.038078030701733,0.311289918542835,2.64188615464038e-47,0.454480441614032,0.455578353773047,0,0.654802074348425
ENSG00000131791.7,0.780282856713836,-7.10558265404071,-0.049509014542997,0.00949830799499271,0.0217983033810758,0.0349783813566093,0.0376625125513734,0,0.235727159824374
ENSG00000130764.9,0.347540233334431,-5.39976577527003,-0.0365370490387552,0.10699571980498,2.66819591573119e-58,0.0295594132479343,0.0314770734125186,0,0.215922651740147
ENSG00000131778.18,1.27548484348458,-5.38832003820101,-0.0807401536436272,1.86391893852934e-07,1.83092611218547e-44,2.01202287835801e-05,2.43428279209152e-05,0,0.00117749549634369
ENSG00000263956.6,-0.127974644921205,-2.84417965669604,0.0432117899146498,0.878685254293407,3.95860449709317e-37,0.501322756210157,0.499691980231884,0,0.669790205289661
ENSG00000231551.8,2.33525729259456,-3.54797767088902,-0.165607630182007,0.0110344256166256,4.20665714694546e-15,0.0250868457945003,0.0268809136433102,0,0.195984258297138
ENSG00000269713.7,1.02222485365637,-0.967914183226572,-0.048514060452729,0.656148323550994,7.46738565389714e-05,0.789027711904249,0.781335798472095,0,0.741663783475626
ENSG00000274265.4,-0.863211445153317,-2.53153862592284,0.0884499933765996,0.628334244041397,7.98935242016002e-06,0.519557784273605,0.526437469964018,0,0.679707137179638
ENSG00000116198.12,-1.55895014562969,-7.60605393382671,0.0978114881432144,4.1645043240022e-09,0.0333143724634834,1.72049823848973e-06,3.35276048213934e-06,0,0.000245800360161396
ENSG00000150337.13,-2.92278616598519,-2.12081532210932,0.186566526673565,0.182259310219289,6.92079337098384e-08,0.264717003317804,0.284844609054819,0,0.557505502749482
ENSG00000203814.6,-0.143240786778337,-3.07048415678084,0.0343015833008066,0.864532809138424,7.48873092833586e-54,0.598694208158657,0.600049485844651,0,0.700949359459529
ENSG00000261716.1,0.86083113523895,-4.66544225361789,-0.0436950807938816,0.414186381691426,1.61228898811762e-07,0.598146480359512,0.599054231482821,0,0.700949359459529
ENSG00000143368.9,0.634874404417859,-6.09787756055817,-0.0391289299836934,0.337665094006064,1.00255861396476e-05,0.459173953774401,0.45907212799002,0,0.65530152967777
ENSG00000198912.10,-0.300274336468912,-5.20417555318421,0.00112263710308313,0.399604791253511,1.15751892264274e-22,0.967640206426331,0.967956605168411,0,0.779691795645118
ENSG00000117362.12,-0.0547941977405783,-7.0527473208195,0.0105606035875772,0.830576675130583,6.05224949567098e-06,0.599394446705439,0.60406557809713,0,0.700949359459529
ENSG00000266472.5,-0.233141452380438,-5.93262175513573,0.00405870246285275,0.395674279976156,2.98747822138269e-22,0.848177617889915,0.848522273235943,0,0.75551186093207
ENSG00000117360.12,-0.0269408078808402,-5.40256107457258,0.00983246866393162,0.938787159223809,6.19984577883666e-20,0.716602633353119,0.716994927619071,0,0.729751704053938
ENSG00000163125.15,0.3524858172476,NA,-0.0168108503186832,0.191446096852587,NA,0.422018679428922,0.421972232332664,1,0.640537894997348
