Chr	CLASS	POS	EE_A1	EE_A2
chr1	0	127916818	0	0
chr1	0	161845715	0	0
chr1	1	196727803	0	0
chr1	0	192843716	1	1
chr1	1	177920345	0	1
chr1	0	39113728	1	0
chr1	1	152167540	1	1
chr1	1	172217589	0	0
chr1	0	136843291	0	0
chr1	1	25437686	1	0
chr1	1	11797469	0	0
chr1	1	231597567	0	0
chr1	1	217545447	0	0
chr1	0	2288535	0	0
chr1	1	204292904	0	0
chr1	0	34921275	0	0
chr1	0	9354341	0	0
chr1	0	232045609	1	0
chr1	0	67158200	0	0
chr1	0	169431467	0	0
chr1	1	229532924	1	1
chr1	1	44085584	1	0
chr1	1	243478669	1	1
chr1	0	86977641	0	0
chr1	0	220672896	0	0
chr1	0	147167993	0	0
chr1	0	101576972	0	0
chr1	1	78212446	1	1
chr1	0	138844354	0	0
chr1	1	153966654	0	0
chr1	0	209250341	0	0
chr1	0	219355525	0	1
chr1	0	25556016	1	1
chr1	1	177925152	0	0
chr1	0	75455532	0	0
chr1	0	146513654	0	0
chr1	0	182469813	0	0
chr1	0	197007394	0	1
chr1	1	218564761	1	0
chr1	0	137684440	1	0
chr1	1	37391861	1	0
chr1	0	117100269	0	1
chr1	0	206205753	0	0
chr1	1	50444313	0	0
chr1	1	10765520	1	0
chr1	1	206453482	0	0
chr1	1	55058182	0	0
chr1	1	171559277	0	0
chr1	0	21705827	0	0
chr1	1	246059818	0	0
chr1	1	23383982	0	1
chr1	0	210809973	0	0
chr1	0	12293494	0	0
chr1	1	16931209	0	1
chr1	1	204222256	0	1
chr1	1	66518889	0	0
chr1	1	2212668	0	0
chr1	1	9647370	0	0
chr1	1	213793544	0	0
chr1	0	76368428	1	1
chr1	1	20693912	0	1
chr1	1	177929664	0	1
chr1	1	111920328	0	0
chr1	0	140157142	0	0
chr1	1	24191716	1	0
chr1	1	170672592	0	0
chr1	1	155208991	0	0
chr1	0	25029690	0	0
chr1	0	199301997	0	0
chr1	1	204549714	0	0
chr1	1	184082439	0	1
chr1	1	199274100	1	0
chr1	0	30935199	1	0
chr1	1	216731959	0	0
chr1	0	101297265	0	0
chr1	0	247797528	0	0
chr1	0	37470346	0	0
chr1	0	186038651	0	0
chr1	1	6994964	0	0
chr1	1	70993175	0	0
chr1	1	207837896	1	1
chr1	1	113834946	0	0
chr1	0	169429343	0	0
chr1	1	169542517	1	0
chr1	1	37812907	0	0
chr1	1	109274968	0	0
chr1	1	156520182	0	0
chr1	0	233395414	0	1
chr1	1	155291918	0	0
chr1	0	116726444	1	0
chr1	1	11111169	0	0
chr1	1	237696455	0	0
chr1	0	94943247	1	0
chr1	0	184770295	0	0
chr1	0	21701339	0	0
chr1	0	116158010	0	0
chr1	0	93287311	0	0
chr1	1	112715671	1	0
chr1	1	156199819	1	1
chr1	1	219594789	0	1
chr1	1	205211934	1	0
chr1	0	41623030	0	0
chr1	1	37945773	0	0
chr1	0	20711881	0	1
chr1	1	154452980	0	1
chr1	1	155033974	1	0
chr1	1	220794341	1	0
chr1	0	171720439	0	0
chr1	1	164770862	0	0
chr1	0	134149066	0	0
chr1	1	103285818	0	1
chr1	0	6566064	0	1
chr1	0	209958830	0	0
chr1	0	101060317	0	1
chr1	0	235977030	1	0
chr1	0	110689905	0	0
chr1	0	24519252	0	0
chr1	1	150598673	0	0
chr1	0	185094888	0	0
chr1	1	65547828	0	0
chr1	0	68752893	0	1
chr1	1	68229194	0	0
chr1	0	15349138	0	0
chr1	1	243222734	0	0
chr1	1	88680978	0	0
chr1	1	22268202	0	0
chr1	0	68309186	0	0
chr1	0	63455284	0	0
chr1	0	190620320	0	0
chr1	1	150870220	0	1
chr1	0	201337415	0	0
chr1	0	157940927	0	0
chr1	0	229331797	0	0
chr1	1	169499904	0	0
chr1	0	181293855	0	0
chr1	0	58881909	0	1
chr1	1	247876149	0	0
chr1	0	81134016	0	0
chr1	1	151002495	0	0
chr1	1	62437203	0	1
chr1	0	154823539	0	0
chr1	0	15178205	0	0
chr1	1	16981663	0	0
chr1	1	179448645	0	0
chr1	1	116933093	1	0
chr1	0	147231776	0	0
chr1	0	76560674	0	0
chr1	1	214966544	1	0
chr1	0	104563743	0	0
chr1	0	100331494	0	0
chr1	1	247874344	1	1
chr1	1	56500678	0	0
chr1	0	238004249	1	0
chr1	1	96435899	0	0
chr1	1	26853597	1	0
chr1	0	91692180	0	1
chr1	1	118965789	0	1
chr1	1	21207744	1	1
chr1	1	36478315	0	0
chr1	0	98853053	0	0
chr1	1	205213435	0	0
chr1	1	40785289	0	0
chr1	0	145652257	0	0
chr1	0	120332693	0	0
chr1	1	11823474	0	0
chr1	0	1273064	0	0
chr1	1	9370814	0	0
chr1	1	224450088	0	0
chr1	1	230162032	1	1
chr1	1	36534655	0	0
chr1	1	235436814	0	1
chr1	0	111007541	0	0
chr1	0	88934801	0	0
chr1	0	129464461	0	0
chr1	0	1124671	1	0
chr1	0	91968889	0	0
chr1	1	100382413	1	0
chr1	0	86433057	0	0
chr1	0	164792628	1	0
chr1	0	134632173	1	0
chr1	1	161198399	0	0
chr1	0	200563933	0	0
chr1	0	91385239	0	0
chr1	1	152313385	0	0
chr1	1	86626873	1	0
chr1	1	247442297	1	0
